Registry,Country,ASN,Value,Date,Status
ripencc,AE,5384,1,19980805,allocated
ripencc,AE,8529,1,19971105,allocated
ripencc,AE,8959,1,19980903,allocated
ripencc,AE,8960,1,19980903,allocated
ripencc,AE,8961,1,19980903,allocated
ripencc,AE,8966,1,19980904,allocated
ripencc,AE,9098,1,20151006,allocated
ripencc,AE,12608,1,20110331,allocated
ripencc,AE,15802,1,20001017,allocated
ripencc,AE,16230,1,20010205,allocated
ripencc,AE,25465,1,20150617,allocated
ripencc,AE,30788,1,20031204,allocated
ripencc,AE,30981,1,20040301,allocated
ripencc,AE,33847,1,20111116,allocated
ripencc,AE,35086,1,20150409,allocated
ripencc,AE,39031,1,20110621,allocated
ripencc,AE,39368,1,20180118,allocated
ripencc,AE,44578,1,20231129,allocated
ripencc,AE,44703,1,20080226,allocated
ripencc,AE,44947,1,20231030,allocated
ripencc,AE,44978,1,20220318,allocated
ripencc,AE,45053,1,20231012,allocated
ripencc,AE,47201,1,20080515,allocated
ripencc,AE,47862,1,20080908,allocated
ripencc,AE,48456,1,20230406,allocated
ripencc,AE,48631,1,20081219,allocated
ripencc,AE,49626,1,20230321,allocated
ripencc,AE,49647,1,20200207,allocated
ripencc,AE,49832,1,20191230,allocated
ripencc,AE,50529,1,20230310,allocated
ripencc,AE,50602,1,20100217,allocated
ripencc,AE,50710,1,20100312,allocated
ripencc,AE,50811,1,20100329,allocated
ripencc,AE,50961,1,20200619,allocated
ripencc,AE,51182,1,20100616,allocated
ripencc,AE,52216,1,20110127,allocated
ripencc,AE,56442,1,20210202,allocated
ripencc,AE,56479,1,20110301,allocated
ripencc,AE,57000,1,20200128,allocated
ripencc,AE,57143,1,20110802,allocated
ripencc,AE,57163,1,20110810,allocated
ripencc,AE,57171,1,20110811,allocated
ripencc,AE,57187,1,20110815,allocated
ripencc,AE,57511,1,20210901,allocated
ripencc,AE,57568,1,20221031,allocated
ripencc,AE,57585,1,20111205,allocated
ripencc,AE,57702,1,20120119,allocated
ripencc,AE,58165,1,20210527,allocated
ripencc,AE,58283,1,20120614,allocated
ripencc,AE,58287,1,20120615,allocated
ripencc,AE,59605,1,20120817,allocated
ripencc,AE,59692,1,20230126,allocated
ripencc,AE,59695,1,20120926,allocated
ripencc,AE,59773,1,20141009,allocated
ripencc,AE,59868,1,20140828,allocated
