Registry,Country,ASN,Value,Date,Status
apnic,AF,17411,1,20050617,allocated
apnic,AF,38742,1,20070917,allocated
apnic,AF,45178,1,20080414,allocated
apnic,AF,55330,1,20091208,allocated
apnic,AF,55424,1,20100219,allocated
apnic,AF,55732,1,20100824,allocated
apnic,AF,55745,1,20100901,allocated
apnic,AF,58427,1,20110927,allocated
apnic,AF,58469,1,20190418,allocated
apnic,AF,58697,1,20120905,allocated
apnic,AF,59317,1,20140218,allocated
apnic,AF,59355,1,20140507,allocated
apnic,AF,59381,1,20140708,allocated
apnic,AF,131284,1,20091231,allocated
apnic,AF,132104,1,20210118,allocated
apnic,AF,132173,1,20120301,allocated
apnic,AF,132222,1,20160809,allocated
apnic,AF,132404,1,20120913,allocated
apnic,AF,132471,1,20121106,allocated
apnic,AF,133066,1,20130903,allocated
apnic,AF,133076,1,20130916,allocated
apnic,AF,133174,1,20131129,allocated
apnic,AF,133202,1,20131226,allocated
apnic,AF,133533,1,20140617,allocated
apnic,AF,133894,1,20141218,allocated
apnic,AF,134112,1,20150326,allocated
apnic,AF,134134,1,20150410,allocated
apnic,AF,135298,1,20160401,allocated
apnic,AF,135376,1,20160426,allocated
apnic,AF,136400,1,20170223,allocated
apnic,AF,136454,1,20170322,allocated
apnic,AF,136479,1,20170404,allocated
apnic,AF,136774,1,20231011,allocated
apnic,AF,136986,1,20200305,allocated
apnic,AF,137039,1,20171023,allocated
apnic,AF,137040,1,20171023,allocated
apnic,AF,137246,1,20171214,allocated
apnic,AF,137276,1,20171228,allocated
apnic,AF,137450,1,20230531,allocated
apnic,AF,137475,1,20200510,allocated
apnic,AF,137824,1,20180510,allocated
apnic,AF,137895,1,20180606,allocated
apnic,AF,137975,1,20180716,allocated
apnic,AF,138322,1,20180924,allocated
apnic,AF,139651,1,20190913,allocated
apnic,AF,139697,1,20191002,allocated
apnic,AF,139770,1,20191107,allocated
apnic,AF,139885,1,20191214,allocated
apnic,AF,140082,1,20200206,allocated
apnic,AF,140908,1,20200714,allocated
apnic,AF,141224,1,20200929,allocated
apnic,AF,141355,1,20201019,allocated
apnic,AF,141447,1,20201203,allocated
apnic,AF,142051,1,20210408,allocated
apnic,AF,142541,1,20210621,allocated
apnic,AF,142570,1,20240830,allocated
apnic,AF,149024,1,20250323,allocated
apnic,AF,149173,1,20211208,allocated
apnic,AF,149771,1,20220406,allocated
apnic,AF,150155,1,20220804,allocated
apnic,AF,150401,1,20221102,allocated
apnic,AF,151062,1,20250601,allocated
apnic,AF,151081,1,20250619,allocated
apnic,AF,151329,1,20230515,allocated
apnic,AF,152123,1,20231126,allocated
apnic,AF,153323,1,20240907,allocated
apnic,AF,153324,1,20240909,allocated
apnic,AF,153384,1,20241030,allocated
apnic,AF,153394,1,20241105,allocated
apnic,AF,153557,1,20250126,allocated
apnic,AF,153669,1,20250306,allocated
apnic,AF,153711,1,20250319,allocated
apnic,AF,153854,1,20250503,allocated
apnic,AF,153975,1,20250616,allocated
