Registry,Country,ASN,Value,Date,Status
arin,AG,11229,1,20101111,assigned
arin,AG,11594,1,20070523,assigned
arin,AG,19246,1,20001208,assigned
ripencc,AG,31500,1,20040528,allocated
ripencc,AG,35550,1,20050902,allocated
ripencc,AG,39102,1,20051214,allocated
ripencc,AG,39598,1,20060323,allocated
ripencc,AG,44720,1,20080228,allocated
ripencc,AG,50952,1,20100430,allocated
arin,AG,53312,1,20091207,assigned
arin,AG,396304,1,20170503,assigned
arin,AG,397529,1,20190430,assigned
arin,AG,397574,1,20250314,assigned
arin,AG,398228,1,20191216,assigned
arin,AG,398723,1,20200818,assigned
arin,AG,399478,1,20210324,assigned
arin,AG,401028,1,20240425,assigned
arin,AG,401034,1,20240426,assigned
arin,AG,401301,1,20240425,assigned
