Registry,Country,ASN,Value,Date,Status
ripencc,AL,5414,1,20151102,allocated
ripencc,AL,5576,1,20111101,allocated
ripencc,AL,6843,1,20151022,allocated
ripencc,AL,8661,1,20021015,allocated
ripencc,AL,12783,1,20090917,allocated
ripencc,AL,21183,1,20010918,allocated
ripencc,AL,21246,1,20011004,allocated
ripencc,AL,29170,1,20030620,allocated
ripencc,AL,29238,1,20090310,allocated
ripencc,AL,33924,1,20040907,allocated
ripencc,AL,33983,1,20040923,allocated
ripencc,AL,35047,1,20050523,allocated
ripencc,AL,35444,1,20050809,allocated
ripencc,AL,38916,1,20181113,allocated
ripencc,AL,39237,1,20060116,allocated
ripencc,AL,39611,1,20060324,allocated
ripencc,AL,41439,1,20150116,allocated
ripencc,AL,42313,1,20070131,allocated
ripencc,AL,42409,1,20070216,allocated
ripencc,AL,42460,1,20110321,allocated
ripencc,AL,43272,1,20070705,allocated
ripencc,AL,47394,1,20080612,allocated
ripencc,AL,47588,1,20080717,allocated
ripencc,AL,48014,1,20230728,allocated
ripencc,AL,48265,1,20081031,allocated
ripencc,AL,48510,1,20210722,allocated
ripencc,AL,50091,1,20091116,allocated
ripencc,AL,50616,1,20100218,allocated
ripencc,AL,50973,1,20100506,allocated
ripencc,AL,56468,1,20110228,allocated
ripencc,AL,56782,1,20110516,allocated
ripencc,AL,57070,1,20110712,allocated
ripencc,AL,57388,1,20111014,allocated
ripencc,AL,57961,1,20120320,allocated
ripencc,AL,58137,1,20180227,allocated
ripencc,AL,58166,1,20120518,allocated
ripencc,AL,60304,1,20130815,allocated
ripencc,AL,60352,1,20130805,allocated
ripencc,AL,60471,1,20130712,allocated
ripencc,AL,196838,1,20091021,allocated
ripencc,AL,197445,1,20230801,allocated
ripencc,AL,197706,1,20110401,allocated
ripencc,AL,198279,1,20111201,allocated
ripencc,AL,198890,1,20230414,allocated
ripencc,AL,199276,1,20130402,allocated
ripencc,AL,200045,1,20131023,allocated
ripencc,AL,201249,1,20141211,allocated
ripencc,AL,201524,1,20141002,allocated
ripencc,AL,201708,1,20140806,allocated
ripencc,AL,201967,1,20230412,allocated
ripencc,AL,202080,1,20221019,allocated
ripencc,AL,202179,1,20140319,allocated
ripencc,AL,202433,1,20180517,allocated
ripencc,AL,202558,1,20220930,allocated
ripencc,AL,202710,1,20220923,allocated
ripencc,AL,202821,1,20160526,allocated
ripencc,AL,203063,1,20160407,allocated
ripencc,AL,203675,1,20151120,allocated
ripencc,AL,204100,1,20150825,allocated
ripencc,AL,204285,1,20180410,allocated
ripencc,AL,204816,1,20220602,allocated
ripencc,AL,204894,1,20220531,allocated
ripencc,AL,205110,1,20171108,allocated
ripencc,AL,205140,1,20171101,allocated
ripencc,AL,205244,1,20171009,allocated
ripencc,AL,205278,1,20220502,allocated
ripencc,AL,205832,1,20170524,allocated
ripencc,AL,206088,1,20170328,allocated
ripencc,AL,206262,1,20170223,allocated
ripencc,AL,206358,1,20170206,allocated
ripencc,AL,207047,1,20170530,allocated
ripencc,AL,207330,1,20220315,allocated
ripencc,AL,207368,1,20250604,allocated
ripencc,AL,207385,1,20200213,allocated
ripencc,AL,207502,1,20220311,allocated
ripencc,AL,207876,1,20191112,allocated
ripencc,AL,208286,1,20190903,allocated
ripencc,AL,208630,1,20190701,allocated
ripencc,AL,208734,1,20190613,allocated
ripencc,AL,209240,1,20190313,allocated
ripencc,AL,209277,1,20190306,allocated
ripencc,AL,209302,1,20190301,allocated
ripencc,AL,209442,1,20190211,allocated
ripencc,AL,209465,1,20190206,allocated
ripencc,AL,209839,1,20181122,allocated
ripencc,AL,210003,1,20181026,allocated
ripencc,AL,210125,1,20181004,allocated
ripencc,AL,210693,1,20210929,allocated
ripencc,AL,210740,1,20210920,allocated
ripencc,AL,210748,1,20210917,allocated
ripencc,AL,210964,1,20210802,allocated
ripencc,AL,211080,1,20210702,allocated
ripencc,AL,211098,1,20210629,allocated
ripencc,AL,211147,1,20210617,allocated
ripencc,AL,211210,1,20210604,allocated
ripencc,AL,211356,1,20210506,allocated
ripencc,AL,211385,1,20210503,allocated
ripencc,AL,211458,1,20210419,allocated
ripencc,AL,211468,1,20210415,allocated
ripencc,AL,211470,1,20210415,allocated
ripencc,AL,211555,1,20210326,allocated
ripencc,AL,212637,1,20200918,allocated
ripencc,AL,212752,1,20200825,allocated
ripencc,AL,212766,1,20200820,allocated
ripencc,AL,212986,1,20200706,allocated
ripencc,AL,213206,1,20200520,allocated
ripencc,AL,213295,1,20200430,allocated
ripencc,AL,213363,1,20220613,allocated
ripencc,AL,213612,1,20250109,allocated
ripencc,AL,213683,1,20241219,allocated
ripencc,AL,213900,1,20241107,allocated
ripencc,AL,214345,1,20240816,allocated
ripencc,AL,214469,1,20240725,allocated
ripencc,AL,215025,1,20240426,allocated
ripencc,AL,215707,1,20240116,allocated
ripencc,AL,215773,1,20240105,allocated
ripencc,AL,215883,1,20231206,allocated
ripencc,AL,215910,1,20231204,allocated
ripencc,AL,215946,1,20231123,allocated
ripencc,AL,216046,1,20231102,allocated
ripencc,AL,216122,1,20231019,allocated
ripencc,AL,216280,1,20230920,allocated
ripencc,AL,216312,1,20230913,allocated
ripencc,AL,216325,1,20230911,allocated
