Registry,Country,ASN,Value,Date,Status
ripencc,AM,6682,1,20100312,allocated
ripencc,AM,8226,1,19970305,allocated
ripencc,AM,8932,1,20090112,allocated
ripencc,AM,12297,1,19990224,allocated
ripencc,AM,16190,1,20010118,allocated
ripencc,AM,21104,1,20010828,allocated
ripencc,AM,33852,1,20040818,allocated
ripencc,AM,34083,1,20100526,allocated
ripencc,AM,34492,1,20191127,allocated
ripencc,AM,35303,1,20050712,allocated
ripencc,AM,39344,1,20180525,allocated
ripencc,AM,39355,1,20180525,allocated
ripencc,AM,39863,1,20060508,allocated
ripencc,AM,41965,1,20061123,allocated
ripencc,AM,42031,1,20061207,allocated
ripencc,AM,42109,1,20061219,allocated
ripencc,AM,42688,1,20070402,allocated
ripencc,AM,42991,1,20070522,allocated
ripencc,AM,43733,1,20070920,allocated
ripencc,AM,44153,1,20071127,allocated
ripencc,AM,44395,1,20080115,allocated
ripencc,AM,44778,1,20160426,allocated
ripencc,AM,47623,1,20080723,allocated
ripencc,AM,47642,1,20080725,allocated
ripencc,AM,47975,1,20080923,allocated
ripencc,AM,48008,1,20080929,allocated
ripencc,AM,48110,1,20081014,allocated
ripencc,AM,48244,1,20081029,allocated
ripencc,AM,48675,1,20081230,allocated
ripencc,AM,48860,1,20090219,allocated
ripencc,AM,48861,1,20090219,allocated
ripencc,AM,49037,1,20090331,allocated
ripencc,AM,49363,1,20090526,allocated
ripencc,AM,49482,1,20220113,allocated
ripencc,AM,49800,1,20090914,allocated
ripencc,AM,50250,1,20191105,allocated
ripencc,AM,50496,1,20100128,allocated
ripencc,AM,50623,1,20100222,allocated
ripencc,AM,50635,1,20100224,allocated
ripencc,AM,51090,1,20100528,allocated
ripencc,AM,51225,1,20100625,allocated
ripencc,AM,51327,1,20220610,allocated
ripencc,AM,51342,1,20100727,allocated
ripencc,AM,51354,1,20160630,allocated
ripencc,AM,51493,1,20100908,allocated
ripencc,AM,51693,1,20101020,allocated
ripencc,AM,52160,1,20110117,allocated
ripencc,AM,56561,1,20110317,allocated
ripencc,AM,56862,1,20120120,allocated
ripencc,AM,56956,1,20110622,allocated
ripencc,AM,56974,1,20200618,allocated
ripencc,AM,57162,1,20110809,allocated
ripencc,AM,57203,1,20220127,allocated
ripencc,AM,57206,1,20180227,allocated
ripencc,AM,57491,1,20111110,allocated
ripencc,AM,57849,1,20120222,allocated
ripencc,AM,196709,1,20100312,allocated
ripencc,AM,197497,1,20101228,allocated
ripencc,AM,197805,1,20110819,allocated
ripencc,AM,197834,1,20110524,allocated
ripencc,AM,198265,1,20230607,allocated
ripencc,AM,198441,1,20230526,allocated
ripencc,AM,199062,1,20120731,allocated
ripencc,AM,199620,1,20121105,allocated
ripencc,AM,199673,1,20121011,allocated
ripencc,AM,199698,1,20230224,allocated
ripencc,AM,199968,1,20131121,allocated
ripencc,AM,200205,1,20230119,allocated
ripencc,AM,200526,1,20180720,allocated
ripencc,AM,200896,1,20150318,allocated
ripencc,AM,201063,1,20150206,allocated
ripencc,AM,201363,1,20221116,allocated
ripencc,AM,201589,1,20221104,allocated
ripencc,AM,201639,1,20140827,allocated
ripencc,AM,201884,1,20180626,allocated
ripencc,AM,201921,1,20140602,allocated
ripencc,AM,201986,1,20140512,allocated
ripencc,AM,202269,1,20180614,allocated
ripencc,AM,202515,1,20180502,allocated
ripencc,AM,203739,1,20180417,allocated
ripencc,AM,204194,1,20150730,allocated
ripencc,AM,204241,1,20150720,allocated
ripencc,AM,204267,1,20220630,allocated
ripencc,AM,204620,1,20220810,allocated
ripencc,AM,205277,1,20171002,allocated
ripencc,AM,205293,1,20220502,allocated
ripencc,AM,205368,1,20170913,allocated
ripencc,AM,206230,1,20250724,allocated
ripencc,AM,206543,1,20220401,allocated
ripencc,AM,206748,1,20161111,allocated
ripencc,AM,206783,1,20220325,allocated
ripencc,AM,207081,1,20180227,allocated
ripencc,AM,207400,1,20230411,allocated
ripencc,AM,207810,1,20191120,allocated
ripencc,AM,207980,1,20191022,allocated
ripencc,AM,207991,1,20191021,allocated
ripencc,AM,208339,1,20190822,allocated
ripencc,AM,208526,1,20190719,allocated
ripencc,AM,208997,1,20190429,allocated
ripencc,AM,209176,1,20190325,allocated
ripencc,AM,209262,1,20221227,allocated
ripencc,AM,209778,1,20230404,allocated
ripencc,AM,210131,1,20181004,allocated
ripencc,AM,210147,1,20181001,allocated
ripencc,AM,210315,1,20180824,allocated
ripencc,AM,210381,1,20250627,allocated
ripencc,AM,210520,1,20211108,allocated
ripencc,AM,210677,1,20211004,allocated
ripencc,AM,211092,1,20210630,allocated
ripencc,AM,211706,1,20210303,allocated
ripencc,AM,211793,1,20210216,allocated
ripencc,AM,212183,1,20201211,allocated
ripencc,AM,212505,1,20201014,allocated
ripencc,AM,212552,1,20201006,allocated
ripencc,AM,212749,1,20210927,allocated
ripencc,AM,212898,1,20220919,allocated
ripencc,AM,213134,1,20200604,allocated
ripencc,AM,213827,1,20241121,allocated
ripencc,AM,214198,1,20240913,allocated
ripencc,AM,214287,1,20240829,allocated
ripencc,AM,214729,1,20240611,allocated
ripencc,AM,214869,1,20240521,allocated
ripencc,AM,214977,1,20240503,allocated
ripencc,AM,215102,1,20240415,allocated
ripencc,AM,215157,1,20240405,allocated
ripencc,AM,215416,1,20240227,allocated
ripencc,AM,215421,1,20240226,allocated
ripencc,AM,215501,1,20240214,allocated
ripencc,AM,215644,1,20240125,allocated
ripencc,AM,215719,1,20240115,allocated
ripencc,AM,215972,1,20250617,allocated
