Registry,Country,ASN,Value,Date,Status
afrinic,AO,11259,1,19980604,allocated
afrinic,AO,17400,1,20000828,allocated
afrinic,AO,32717,1,20040709,allocated
afrinic,AO,36881,1,20051207,allocated
afrinic,AO,36907,1,20060609,allocated
afrinic,AO,36917,1,20061012,allocated
afrinic,AO,36936,1,20121217,allocated
afrinic,AO,36976,1,20070918,allocated
afrinic,AO,37011,1,20080314,allocated
afrinic,AO,37036,1,20080801,allocated
afrinic,AO,37059,1,20080929,allocated
afrinic,AO,37062,1,20081021,allocated
afrinic,AO,37081,1,20081230,allocated
afrinic,AO,37119,1,20090727,allocated
afrinic,AO,37147,1,20090916,allocated
afrinic,AO,37264,1,20101004,allocated
afrinic,AO,37267,1,20101019,allocated
afrinic,AO,37272,1,20101103,allocated
afrinic,AO,37318,1,20110418,allocated
afrinic,AO,37366,1,20110803,allocated
afrinic,AO,37383,1,20111012,allocated
afrinic,AO,37384,1,20111012,allocated
afrinic,AO,37432,1,20120315,allocated
afrinic,AO,37468,1,20120702,allocated
afrinic,AO,37590,1,20130416,allocated
afrinic,AO,37593,1,20130423,allocated
afrinic,AO,37603,1,20130725,allocated
afrinic,AO,37645,1,20131028,allocated
afrinic,AO,327691,1,20100811,allocated
afrinic,AO,327775,1,20140707,allocated
afrinic,AO,327788,1,20140901,allocated
afrinic,AO,327801,1,20141001,allocated
afrinic,AO,327806,1,20141013,allocated
afrinic,AO,327833,1,20150128,allocated
afrinic,AO,327918,1,20150811,allocated
afrinic,AO,327932,1,20150917,allocated
afrinic,AO,328111,1,20161208,allocated
afrinic,AO,328154,1,20170421,allocated
afrinic,AO,328165,1,20170515,allocated
afrinic,AO,328211,1,20170816,allocated
afrinic,AO,328273,1,20180129,allocated
afrinic,AO,328283,1,20180226,allocated
afrinic,AO,328509,1,20190701,allocated
afrinic,AO,328669,1,20200610,allocated
afrinic,AO,328718,1,20200821,allocated
afrinic,AO,328725,1,20200907,allocated
afrinic,AO,328792,1,20210126,allocated
afrinic,AO,328877,1,20210621,allocated
afrinic,AO,328886,1,20210714,allocated
afrinic,AO,328893,1,20210722,allocated
afrinic,AO,328907,1,20210806,allocated
afrinic,AO,328943,1,20210930,allocated
afrinic,AO,328979,1,20211119,allocated
afrinic,AO,329007,1,20220131,allocated
afrinic,AO,329011,1,20220209,allocated
afrinic,AO,329065,1,20220520,allocated
afrinic,AO,329108,1,20220722,allocated
afrinic,AO,329194,1,20221220,allocated
afrinic,AO,329209,1,20230124,allocated
afrinic,AO,329210,1,20230127,allocated
afrinic,AO,329270,1,20230606,allocated
afrinic,AO,329286,1,20230710,allocated
afrinic,AO,329330,1,20231002,allocated
afrinic,AO,329356,1,20231103,allocated
afrinic,AO,329357,1,20231103,allocated
afrinic,AO,329370,1,20231121,allocated
afrinic,AO,329412,1,20240312,allocated
afrinic,AO,329506,1,20241015,allocated
afrinic,AO,329536,1,20250626,allocated
afrinic,AO,329564,1,20250627,allocated
