Registry,Country,ASN,Value,Date,Status
lacnic,AR,676,1,19900523,allocated
lacnic,AR,3449,1,19940217,allocated
lacnic,AR,3597,1,19940518,allocated
lacnic,AR,3631,1,19940524,allocated
lacnic,AR,4270,1,19950118,allocated
lacnic,AR,4387,1,19950215,allocated
lacnic,AR,4926,1,19950508,allocated
lacnic,AR,4967,1,19950524,allocated
lacnic,AR,5648,1,19950723,allocated
lacnic,AR,5692,1,19950906,allocated
lacnic,AR,5745,1,19950920,allocated
lacnic,AR,6121,1,19951117,allocated
lacnic,AR,7005,1,19960724,allocated
lacnic,AR,7049,1,19960806,allocated
lacnic,AR,7303,1,20000609,allocated
lacnic,AR,7340,1,19961113,allocated
lacnic,AR,7417,1,19961205,allocated
lacnic,AR,7803,1,19970117,allocated
lacnic,AR,7908,1,19970212,allocated
lacnic,AR,7934,1,19970219,allocated
lacnic,AR,7980,1,19970311,allocated
lacnic,AR,8066,1,20000307,allocated
lacnic,AR,8178,1,19970513,allocated
lacnic,AR,10277,1,19970604,allocated
lacnic,AR,10318,1,19970625,allocated
lacnic,AR,10452,1,19970807,allocated
lacnic,AR,10481,1,19970820,allocated
lacnic,AR,10605,1,19971002,allocated
lacnic,AR,10606,1,19971006,allocated
lacnic,AR,10617,1,19971006,allocated
lacnic,AR,10640,1,19971013,allocated
lacnic,AR,10671,1,19971021,allocated
lacnic,AR,10697,1,19971029,allocated
lacnic,AR,10757,1,19971119,allocated
lacnic,AR,10785,1,19971125,allocated
lacnic,AR,10795,1,19971201,allocated
lacnic,AR,10834,1,19971208,allocated
lacnic,AR,10895,1,19971219,allocated
lacnic,AR,10964,1,19980217,allocated
lacnic,AR,10983,1,19980224,allocated
lacnic,AR,10992,1,19980302,allocated
lacnic,AR,11008,1,19980305,allocated
lacnic,AR,11014,1,19980309,allocated
lacnic,AR,11058,1,19980325,allocated
lacnic,AR,11063,1,19980327,allocated
lacnic,AR,11193,1,19980512,allocated
lacnic,AR,11256,1,19980603,allocated
lacnic,AR,11311,1,19980624,allocated
lacnic,AR,11315,1,19980625,allocated
lacnic,AR,11356,1,19980717,allocated
lacnic,AR,11373,1,19980728,allocated
lacnic,AR,11392,1,19980803,allocated
lacnic,AR,11411,1,19980814,allocated
lacnic,AR,11451,1,19980827,allocated
lacnic,AR,11498,1,19980911,allocated
lacnic,AR,11514,1,19980915,allocated
lacnic,AR,11571,1,19981008,allocated
lacnic,AR,11599,1,19981016,allocated
lacnic,AR,11642,1,19981030,allocated
lacnic,AR,11664,1,19981109,allocated
lacnic,AR,11750,1,19981207,allocated
lacnic,AR,11786,1,19981218,allocated
lacnic,AR,11815,1,19981230,allocated
lacnic,AR,12150,1,19990406,allocated
lacnic,AR,12264,1,19990505,allocated
lacnic,AR,13316,1,19990414,allocated
lacnic,AR,13318,1,19990414,allocated
lacnic,AR,13474,1,19990616,allocated
lacnic,AR,13514,1,19990625,allocated
lacnic,AR,13585,1,19990711,allocated
