Registry,Country,ASN,Value,Date,Status
ripencc,AT,679,1,19930901,allocated
ripencc,AT,760,1,19930901,allocated
ripencc,AT,1109,1,19930901,allocated
ripencc,AT,1110,1,19930901,allocated
ripencc,AT,1111,1,19930901,allocated
ripencc,AT,1112,1,19930901,allocated
ripencc,AT,1113,1,19930901,allocated
ripencc,AT,1114,1,19930901,allocated
ripencc,AT,1115,1,19930901,allocated
ripencc,AT,1116,1,19930901,allocated
ripencc,AT,1205,1,19930901,allocated
ripencc,AT,1764,1,19930901,allocated
ripencc,AT,1776,1,19930901,allocated
ripencc,AT,1853,1,19930901,allocated
ripencc,AT,1901,1,19921106,allocated
ripencc,AT,1921,1,19930901,allocated
ripencc,AT,2036,1,19930901,allocated
ripencc,AT,2049,1,19930901,allocated
ripencc,AT,2488,1,19930901,allocated
ripencc,AT,2494,1,19930901,allocated
ripencc,AT,2604,1,19931005,allocated
ripencc,AT,2871,1,20130408,allocated
ripencc,AT,3190,1,20120501,allocated
ripencc,AT,3201,1,20120502,allocated
ripencc,AT,3330,1,19950309,allocated
ripencc,AT,5385,1,19950713,allocated
ripencc,AT,5403,1,19950817,allocated
ripencc,AT,5404,1,19950817,allocated
ripencc,AT,5423,1,19950925,allocated
ripencc,AT,5424,1,19950925,allocated
ripencc,AT,6720,1,19960719,allocated
ripencc,AT,6753,1,20151023,allocated
ripencc,AT,6798,1,19961018,allocated
ripencc,AT,6883,1,19961230,allocated
ripencc,AT,8245,1,19970320,allocated
ripencc,AT,8333,1,19970604,allocated
ripencc,AT,8339,1,19970610,allocated
ripencc,AT,8387,1,19970718,allocated
ripencc,AT,8412,1,19970805,allocated
ripencc,AT,8437,1,19970822,allocated
ripencc,AT,8445,1,19970826,allocated
ripencc,AT,8447,1,19970827,allocated
ripencc,AT,8540,1,19971112,allocated
ripencc,AT,8547,1,19971113,allocated
ripencc,AT,8559,1,19971125,allocated
ripencc,AT,8562,1,19971126,allocated
ripencc,AT,8596,1,20030827,allocated
ripencc,AT,8666,1,20151012,allocated
ripencc,AT,8692,1,19980304,allocated
ripencc,AT,8787,1,19980514,allocated
ripencc,AT,8832,1,20091015,allocated
ripencc,AT,8971,1,19980909,allocated
ripencc,AT,9023,1,19981028,allocated
ripencc,AT,12311,1,19990303,allocated
ripencc,AT,12382,1,19990422,allocated
ripencc,AT,12401,1,19990504,allocated
ripencc,AT,12447,1,20100105,allocated
ripencc,AT,12453,1,20110331,allocated
ripencc,AT,12547,1,19990709,allocated
ripencc,AT,12577,1,19990802,allocated
ripencc,AT,12605,1,19990817,allocated
ripencc,AT,12635,1,19990906,allocated
ripencc,AT,12656,1,19990916,allocated
ripencc,AT,12762,1,19991029,allocated
ripencc,AT,12766,1,19991101,allocated
ripencc,AT,12793,1,19991111,allocated
ripencc,AT,12895,1,19991224,allocated
ripencc,AT,12930,1,20111006,allocated
ripencc,AT,12971,1,20000201,allocated
ripencc,AT,12991,1,20000211,allocated
ripencc,AT,13008,1,20000217,allocated
ripencc,AT,13022,1,20000221,allocated
ripencc,AT,13026,1,20110204,allocated
ripencc,AT,13042,1,20000225,allocated
ripencc,AT,13068,1,20000309,allocated
ripencc,AT,13292,1,20000525,allocated
ripencc,AT,13298,1,20021031,allocated
ripencc,AT,15498,1,20000717,allocated
ripencc,AT,15554,1,20000802,allocated
ripencc,AT,15733,1,20001002,allocated
ripencc,AT,15824,1,20001019,allocated
ripencc,AT,15910,1,20050316,allocated
ripencc,AT,15927,1,20001103,allocated
ripencc,AT,15939,1,20040618,allocated
ripencc,AT,16049,1,20001201,allocated
ripencc,AT,16051,1,20061204,allocated
ripencc,AT,16055,1,20150917,allocated
ripencc,AT,16099,1,20001220,allocated
ripencc,AT,16105,1,20001221,allocated
ripencc,AT,16195,1,20010119,allocated
ripencc,AT,16305,1,20010221,allocated
ripencc,AT,16311,1,20031208,allocated
ripencc,AT,16314,1,20010222,allocated
ripencc,AT,16364,1,20010309,allocated
ripencc,AT,16381,1,20010312,allocated
ripencc,AT,20537,1,20010327,allocated
ripencc,AT,20684,1,20010507,allocated
ripencc,AT,20704,1,20010510,allocated
ripencc,AT,20751,1,20010518,allocated
ripencc,AT,20863,1,20050908,allocated
ripencc,AT,20882,1,20010627,allocated
ripencc,AT,20935,1,20080408,allocated
ripencc,AT,21013,1,20011115,allocated
ripencc,AT,21039,1,20010803,allocated
ripencc,AT,21079,1,20010820,allocated
ripencc,AT,21285,1,20011016,allocated
ripencc,AT,21360,1,20011109,allocated
ripencc,AT,21362,1,20011112,allocated
ripencc,AT,21406,1,20011129,allocated
ripencc,AT,24647,1,20020205,allocated
