Registry,Country,ASN,Value,Date,Status
ripencc,AZ,8814,1,19980604,allocated
ripencc,AZ,13099,1,20000320,allocated
ripencc,AZ,15723,1,20000928,allocated
ripencc,AZ,15815,1,20001019,allocated
ripencc,AZ,28787,1,20030224,allocated
ripencc,AZ,29049,1,20030520,allocated
ripencc,AZ,29584,1,20031016,allocated
ripencc,AZ,31721,1,20040726,allocated
ripencc,AZ,34170,1,20041111,allocated
ripencc,AZ,34876,1,20090122,allocated
ripencc,AZ,39232,1,20060113,allocated
ripencc,AZ,39280,1,20060123,allocated
ripencc,AZ,39397,1,20060214,allocated
ripencc,AZ,41997,1,20061129,allocated
ripencc,AZ,42779,1,20070416,allocated
ripencc,AZ,44725,1,20080229,allocated
ripencc,AZ,48542,1,20230331,allocated
ripencc,AZ,48830,1,20090213,allocated
ripencc,AZ,49345,1,20220119,allocated
ripencc,AZ,50274,1,20091214,allocated
ripencc,AZ,50371,1,20170328,allocated
ripencc,AZ,50959,1,20210531,allocated
ripencc,AZ,57293,1,20110915,allocated
ripencc,AZ,57675,1,20120109,allocated
ripencc,AZ,57786,1,20151201,allocated
ripencc,AZ,59704,1,20230116,allocated
ripencc,AZ,60258,1,20130823,allocated
ripencc,AZ,61304,1,20121130,allocated
ripencc,AZ,196821,1,20090714,allocated
ripencc,AZ,196925,1,20100208,allocated
ripencc,AZ,196961,1,20100309,allocated
ripencc,AZ,197830,1,20110520,allocated
ripencc,AZ,198267,1,20230607,allocated
ripencc,AZ,198552,1,20230517,allocated
ripencc,AZ,198876,1,20120608,allocated
ripencc,AZ,199311,1,20130314,allocated
ripencc,AZ,199444,1,20230314,allocated
ripencc,AZ,199489,1,20230310,allocated
ripencc,AZ,199731,1,20140221,allocated
ripencc,AZ,199985,1,20131113,allocated
ripencc,AZ,199987,1,20131112,allocated
ripencc,AZ,200012,1,20230206,allocated
ripencc,AZ,200154,1,20130923,allocated
ripencc,AZ,200228,1,20230111,allocated
ripencc,AZ,200446,1,20221219,allocated
ripencc,AZ,200650,1,20221209,allocated
ripencc,AZ,200729,1,20150428,allocated
ripencc,AZ,201167,1,20150112,allocated
ripencc,AZ,201373,1,20221116,allocated
ripencc,AZ,201390,1,20221115,allocated
ripencc,AZ,202993,1,20160420,allocated
ripencc,AZ,203622,1,20151201,allocated
ripencc,AZ,203680,1,20230301,allocated
ripencc,AZ,203971,1,20150921,allocated
ripencc,AZ,204016,1,20220708,allocated
ripencc,AZ,204986,1,20171124,allocated
ripencc,AZ,205317,1,20170925,allocated
ripencc,AZ,205367,1,20170914,allocated
ripencc,AZ,205547,1,20220426,allocated
ripencc,AZ,206977,1,20221228,allocated
ripencc,AZ,207251,1,20160802,allocated
ripencc,AZ,207619,1,20220311,allocated
ripencc,AZ,207922,1,20191101,allocated
ripencc,AZ,208279,1,20250516,allocated
ripencc,AZ,208410,1,20220228,allocated
ripencc,AZ,208439,1,20190802,allocated
ripencc,AZ,209089,1,20250507,allocated
ripencc,AZ,209360,1,20220128,allocated
ripencc,AZ,209374,1,20190220,allocated
ripencc,AZ,209700,1,20181220,allocated
ripencc,AZ,210293,1,20180831,allocated
ripencc,AZ,210419,1,20220727,allocated
ripencc,AZ,210665,1,20211007,allocated
ripencc,AZ,211143,1,20250327,allocated
ripencc,AZ,211780,1,20250306,allocated
ripencc,AZ,211790,1,20210217,allocated
ripencc,AZ,211937,1,20210126,allocated
ripencc,AZ,211995,1,20210115,allocated
ripencc,AZ,212517,1,20201013,allocated
ripencc,AZ,213139,1,20200603,allocated
ripencc,AZ,213328,1,20200422,allocated
ripencc,AZ,213379,1,20200409,allocated
ripencc,AZ,213398,1,20200406,allocated
ripencc,AZ,213402,1,20200406,allocated
ripencc,AZ,213670,1,20241223,allocated
ripencc,AZ,213881,1,20241111,allocated
ripencc,AZ,214468,1,20240725,allocated
ripencc,AZ,214489,1,20240722,allocated
ripencc,AZ,214889,1,20240516,allocated
ripencc,AZ,214990,1,20240502,allocated
ripencc,AZ,215076,1,20240417,allocated
ripencc,AZ,215148,1,20250702,allocated
ripencc,AZ,215284,1,20240319,allocated
ripencc,AZ,215328,1,20240313,allocated
ripencc,AZ,215374,1,20240305,allocated
ripencc,AZ,215800,1,20231229,allocated
ripencc,AZ,215858,1,20250702,allocated
ripencc,AZ,216189,1,20231010,allocated
ripencc,AZ,216231,1,20230928,allocated
ripencc,AZ,216259,1,20230922,allocated
