Registry,Country,ASN,Value,Date,Status
ripencc,BA,8670,1,19980217,allocated
ripencc,BA,9146,1,19990112,allocated
ripencc,BA,16145,1,20010105,allocated
ripencc,BA,16178,1,20010115,allocated
ripencc,BA,20875,1,20010625,allocated
ripencc,BA,21107,1,20010829,allocated
ripencc,BA,25144,1,20020807,allocated
ripencc,BA,34943,1,20050503,allocated
ripencc,BA,35107,1,20190416,allocated
ripencc,BA,35567,1,20050906,allocated
ripencc,BA,39689,1,20090127,allocated
ripencc,BA,39826,1,20150123,allocated
ripencc,BA,42432,1,20070220,allocated
ripencc,BA,42450,1,20070222,allocated
ripencc,BA,42560,1,20070313,allocated
ripencc,BA,42571,1,20070314,allocated
ripencc,BA,42983,1,20070521,allocated
ripencc,BA,43179,1,20070620,allocated
ripencc,BA,43604,1,20070830,allocated
ripencc,BA,43752,1,20070921,allocated
ripencc,BA,43947,1,20071025,allocated
ripencc,BA,47840,1,20080901,allocated
ripencc,BA,47959,1,20080922,allocated
ripencc,BA,48059,1,20081003,allocated
ripencc,BA,48443,1,20190408,allocated
ripencc,BA,50249,1,20160722,allocated
ripencc,BA,50537,1,20100205,allocated
ripencc,BA,50938,1,20100428,allocated
ripencc,BA,51386,1,20100810,allocated
ripencc,BA,57869,1,20120229,allocated
ripencc,BA,59847,1,20140904,allocated
ripencc,BA,60588,1,20211227,allocated
ripencc,BA,197687,1,20110325,allocated
ripencc,BA,198252,1,20111125,allocated
ripencc,BA,198562,1,20230512,allocated
ripencc,BA,198994,1,20120711,allocated
ripencc,BA,199051,1,20120727,allocated
ripencc,BA,199525,1,20230309,allocated
ripencc,BA,200698,1,20150504,allocated
ripencc,BA,200914,1,20150312,allocated
ripencc,BA,201719,1,20140804,allocated
ripencc,BA,202632,1,20160707,allocated
ripencc,BA,203744,1,20151109,allocated
ripencc,BA,205913,1,20170508,allocated
ripencc,BA,206474,1,20171219,allocated
ripencc,BA,208881,1,20190517,allocated
ripencc,BA,209098,1,20190408,allocated
ripencc,BA,209271,1,20200102,allocated
ripencc,BA,209491,1,20190130,allocated
ripencc,BA,211154,1,20250326,allocated
ripencc,BA,211191,1,20250326,allocated
ripencc,BA,212572,1,20201001,allocated
ripencc,BA,214241,1,20240909,allocated
ripencc,BA,216160,1,20231012,allocated
ripencc,BA,216200,1,20231006,allocated
ripencc,BA,216468,1,20230814,allocated
