Registry,Country,ASN,Value,Date,Status
apnic,BD,4864,1,20160413,allocated
apnic,BD,7565,1,20080501,allocated
apnic,BD,9230,1,20000517,allocated
apnic,BD,9288,1,20170420,allocated
apnic,BD,9441,1,20110708,allocated
apnic,BD,9451,1,20160513,allocated
apnic,BD,9651,1,20110714,allocated
apnic,BD,9825,1,20030805,allocated
apnic,BD,9832,1,20000124,allocated
apnic,BD,9926,1,20160802,allocated
apnic,BD,10075,1,20181022,allocated
apnic,BD,17469,1,20001117,allocated
apnic,BD,17471,1,20050216,allocated
apnic,BD,17494,1,20001207,allocated
apnic,BD,17641,1,20050616,allocated
apnic,BD,17806,1,20080526,allocated
apnic,BD,17892,1,20071210,allocated
apnic,BD,18012,1,20050622,allocated
apnic,BD,18022,1,20170206,allocated
apnic,BD,18060,1,20240104,allocated
apnic,BD,18109,1,20170302,allocated
apnic,BD,18155,1,20210921,allocated
apnic,BD,18230,1,20021219,allocated
apnic,BD,23688,1,20030327,allocated
apnic,BD,23729,1,20170906,allocated
apnic,BD,23876,1,20051130,allocated
apnic,BD,23893,1,20101208,allocated
apnic,BD,23923,1,20031030,allocated
apnic,BD,23956,1,20050315,allocated
apnic,BD,23991,1,20040113,allocated
apnic,BD,24122,1,20040809,allocated
apnic,BD,24307,2,20041207,allocated
apnic,BD,24323,1,20041229,allocated
apnic,BD,24342,1,20050223,allocated
apnic,BD,24382,1,20190718,allocated
apnic,BD,24389,1,20050329,allocated
apnic,BD,24432,1,20050426,allocated
apnic,BD,24481,1,20051115,allocated
apnic,BD,24556,1,20060207,allocated
apnic,BD,37994,1,20060404,allocated
apnic,BD,38011,1,20060508,allocated
apnic,BD,38017,1,20060517,allocated
apnic,BD,38026,1,20060522,allocated
apnic,BD,38030,1,20060524,allocated
apnic,BD,38031,1,20060525,allocated
apnic,BD,38036,1,20060529,allocated
apnic,BD,38054,1,20060608,allocated
apnic,BD,38067,1,20060616,allocated
apnic,BD,38069,1,20060619,allocated
apnic,BD,38071,1,20060623,allocated
apnic,BD,38138,1,20060711,allocated
apnic,BD,38200,1,20060814,allocated
apnic,BD,38203,1,20060817,allocated
apnic,BD,38210,1,20060830,allocated
apnic,BD,38212,1,20131121,allocated
apnic,BD,38256,1,20061009,allocated
apnic,BD,38259,1,20061012,allocated
apnic,BD,38303,1,20160518,allocated
apnic,BD,38313,1,20061221,allocated
apnic,BD,38315,1,20061221,allocated
apnic,BD,38493,1,20070326,allocated
apnic,BD,38555,1,20070430,allocated
apnic,BD,38556,1,20070430,allocated
apnic,BD,38562,1,20070509,allocated
apnic,BD,38588,1,20210617,allocated
apnic,BD,38592,1,20070614,allocated
apnic,BD,38614,1,20070719,allocated
apnic,BD,38712,1,20070827,allocated
apnic,BD,38744,1,20070918,allocated
apnic,BD,45245,1,20080630,allocated
apnic,BD,45268,1,20080716,allocated
apnic,BD,45273,1,20080720,allocated
apnic,BD,45276,1,20080721,allocated
apnic,BD,45282,1,20080724,allocated
apnic,BD,45326,1,20080728,allocated
apnic,BD,45532,1,20081125,allocated
apnic,BD,45588,1,20081229,allocated
apnic,BD,45607,1,20090127,allocated
apnic,BD,45621,1,20090205,allocated
apnic,BD,45766,1,20090505,allocated
apnic,BD,45904,1,20090831,allocated
apnic,BD,45905,1,20090831,allocated
apnic,BD,45925,1,20091014,allocated
ripencc,BD,51447,1,20170925,allocated
apnic,BD,55344,1,20091218,allocated
apnic,BD,55406,1,20100205,allocated
apnic,BD,55425,1,20100222,allocated
apnic,BD,55492,1,20100421,allocated
apnic,BD,55531,1,20100601,allocated
apnic,BD,55550,1,20100615,allocated
apnic,BD,55828,1,20101022,allocated
apnic,BD,55846,1,20101102,allocated
apnic,BD,56031,1,20110112,allocated
apnic,BD,56032,1,20110113,allocated
apnic,BD,56054,1,20110127,allocated
apnic,BD,56115,1,20110302,allocated
apnic,BD,56121,1,20110307,allocated
apnic,BD,56138,1,20110317,allocated
apnic,BD,56264,1,20110504,allocated
apnic,BD,58420,1,20110909,allocated
apnic,BD,58445,1,20111025,allocated
apnic,BD,58454,1,20111115,allocated
apnic,BD,58527,1,20120210,allocated
apnic,BD,58581,1,20120413,allocated
apnic,BD,58587,1,20120424,allocated
apnic,BD,58599,1,20120511,allocated
apnic,BD,58601,1,20120511,allocated
apnic,BD,58615,1,20120528,allocated
apnic,BD,58616,1,20120529,allocated
apnic,BD,58623,1,20120605,allocated
apnic,BD,58629,1,20120620,allocated
apnic,BD,58642,1,20120711,allocated
apnic,BD,58655,1,20120716,allocated
apnic,BD,58656,1,20120716,allocated
apnic,BD,58657,1,20120716,allocated
apnic,BD,58665,1,20120718,allocated
apnic,BD,58668,1,20120719,allocated
apnic,BD,58670,1,20120725,allocated
apnic,BD,58672,1,20120731,allocated
apnic,BD,58682,1,20120816,allocated
apnic,BD,58684,1,20120824,allocated
apnic,BD,58685,1,20120824,allocated
apnic,BD,58688,1,20120828,allocated
apnic,BD,58689,1,20120828,allocated
apnic,BD,58691,1,20120828,allocated
apnic,BD,58695,1,20120904,allocated
apnic,BD,58701,1,20120914,allocated
apnic,BD,58704,1,20120917,allocated
apnic,BD,58715,1,20121003,allocated
apnic,BD,58717,1,20121010,allocated
apnic,BD,58732,1,20121106,allocated
apnic,BD,58736,1,20121114,allocated
apnic,BD,58737,1,20121114,allocated
apnic,BD,58749,1,20121129,allocated
apnic,BD,58752,1,20121206,allocated
apnic,BD,58768,1,20121212,allocated
apnic,BD,58778,1,20121218,allocated
apnic,BD,58781,1,20121220,allocated
apnic,BD,58782,1,20121220,allocated
apnic,BD,58800,1,20130110,allocated
apnic,BD,58803,1,20130116,allocated
apnic,BD,58805,1,20130130,allocated
apnic,BD,58813,1,20130225,allocated
apnic,BD,58814,1,20130226,allocated
apnic,BD,58826,1,20130306,allocated
apnic,BD,58886,1,20130402,allocated
apnic,BD,58889,1,20130408,allocated
apnic,BD,58890,1,20130409,allocated
apnic,BD,58892,1,20130409,allocated
apnic,BD,58911,1,20130429,allocated
apnic,BD,58912,1,20130429,allocated
apnic,BD,58918,1,20130506,allocated
apnic,BD,58923,1,20130510,allocated
apnic,BD,58926,1,20130515,allocated
apnic,BD,58935,1,20130531,allocated
apnic,BD,58945,1,20130619,allocated
apnic,BD,58946,1,20130620,allocated
apnic,BD,58947,1,20130620,allocated
apnic,BD,58953,1,20130703,allocated
apnic,BD,58959,1,20130716,allocated
apnic,BD,59203,1,20131004,allocated
apnic,BD,59209,1,20131014,allocated
apnic,BD,59236,1,20131118,allocated
apnic,BD,59239,1,20131121,allocated
apnic,BD,59242,1,20131127,allocated
apnic,BD,59249,1,20131205,allocated
apnic,BD,59259,1,20131224,allocated
apnic,BD,59315,1,20140217,allocated
apnic,BD,59316,1,20140217,allocated
apnic,BD,59321,1,20140226,allocated
apnic,BD,59332,1,20140320,allocated
apnic,BD,59340,1,20140407,allocated
apnic,BD,59341,1,20140409,allocated
apnic,BD,59350,1,20140428,allocated
apnic,BD,59353,1,20140502,allocated
apnic,BD,59359,1,20140512,allocated
apnic,BD,59361,1,20140514,allocated
apnic,BD,59362,1,20140514,allocated
apnic,BD,59363,1,20140515,allocated
apnic,BD,59365,1,20140520,allocated
apnic,BD,59375,1,20140618,allocated
apnic,BD,59378,1,20140625,allocated
apnic,BD,59382,1,20140710,allocated
apnic,BD,63520,1,20140806,allocated
apnic,BD,63526,1,20140811,allocated
apnic,BD,63826,1,20140930,allocated
apnic,BD,63840,1,20141021,allocated
apnic,BD,63843,1,20141021,allocated
apnic,BD,63844,1,20141027,allocated
apnic,BD,63851,1,20141107,allocated
apnic,BD,63890,1,20141118,allocated
apnic,BD,63914,1,20141127,allocated
apnic,BD,63923,1,20141204,allocated
apnic,BD,63932,1,20150114,allocated
apnic,BD,63939,1,20150203,allocated
apnic,BD,63944,1,20150212,allocated
apnic,BD,63957,1,20150310,allocated
apnic,BD,63961,1,20150316,allocated
apnic,BD,63963,1,20150323,allocated
apnic,BD,63964,1,20150323,allocated
apnic,BD,63965,1,20150324,allocated
apnic,BD,63967,1,20150326,allocated
apnic,BD,63969,1,20150331,allocated
apnic,BD,63980,1,20150511,allocated
apnic,BD,63984,1,20150521,allocated
apnic,BD,63987,1,20150526,allocated
apnic,BD,63996,1,20150615,allocated
apnic,BD,64005,1,20150716,allocated
apnic,BD,64012,1,20150731,allocated
apnic,BD,64018,1,20150824,allocated
apnic,BD,64037,1,20150929,allocated
apnic,BD,64039,1,20150929,allocated
apnic,BD,64043,1,20151012,allocated
apnic,BD,64046,1,20151013,allocated
apnic,BD,64053,1,20151020,allocated
apnic,BD,64058,1,20151029,allocated
apnic,BD,64059,1,20151029,allocated
apnic,BD,64063,1,20151116,allocated
apnic,BD,64065,1,20151118,allocated
apnic,BD,64072,1,20151211,allocated
apnic,BD,64074,1,20151214,allocated
apnic,BD,64075,1,20151218,allocated
apnic,BD,64077,1,20151231,allocated
apnic,BD,64092,1,20160303,allocated
apnic,BD,131102,1,20080124,allocated
apnic,BD,131108,1,20240806,allocated
apnic,BD,131179,1,20140818,allocated
apnic,BD,131183,1,20171120,allocated
apnic,BD,131216,1,20181216,allocated
apnic,BD,131242,1,20210915,allocated
apnic,BD,131243,1,20221121,allocated
apnic,BD,131247,1,20160703,allocated
apnic,BD,131278,1,20180307,allocated
apnic,BD,131304,1,20220508,allocated
apnic,BD,131340,1,20160911,allocated
apnic,BD,131464,1,20160716,allocated
apnic,BD,131474,1,20241219,allocated
apnic,BD,131686,1,20161008,allocated
apnic,BD,132008,1,20211218,allocated
apnic,BD,132031,1,20230205,allocated
apnic,BD,132034,1,20230205,allocated
apnic,BD,132073,1,20220409,allocated
apnic,BD,132082,1,20180201,allocated
apnic,BD,132092,1,20160728,allocated
apnic,BD,132099,1,20160801,allocated
apnic,BD,132106,1,20111228,allocated
apnic,BD,132123,1,20160802,allocated
apnic,BD,132129,1,20190216,allocated
apnic,BD,132159,1,20220801,allocated
apnic,BD,132169,1,20190502,allocated
apnic,BD,132216,1,20190711,allocated
apnic,BD,132267,1,20120515,allocated
apnic,BD,132275,1,20231112,allocated
apnic,BD,132290,1,20190623,allocated
apnic,BD,132294,1,20210415,allocated
apnic,BD,132295,1,20180903,allocated
apnic,BD,132298,1,20160828,allocated
apnic,BD,132305,1,20120615,allocated
apnic,BD,132306,1,20120618,allocated
apnic,BD,132339,1,20120724,allocated
apnic,BD,132340,1,20120724,allocated
apnic,BD,132341,1,20120726,allocated
apnic,BD,132352,1,20220523,allocated
apnic,BD,132359,1,20250601,allocated
apnic,BD,132365,1,20160817,allocated
apnic,BD,132366,1,20230719,allocated
apnic,BD,132381,1,20171102,allocated
apnic,BD,132408,1,20231119,allocated
apnic,BD,132427,1,20161212,allocated
apnic,BD,132436,1,20160823,allocated
apnic,BD,132438,1,20160823,allocated
apnic,BD,132442,1,20201122,allocated
apnic,BD,132443,1,20160824,allocated
apnic,BD,132475,1,20250518,allocated
apnic,BD,132489,1,20170202,allocated
apnic,BD,132490,1,20220310,allocated
apnic,BD,132502,1,20121127,allocated
apnic,BD,132561,1,20220727,allocated
apnic,BD,132575,1,20130114,allocated
apnic,BD,132580,1,20130117,allocated
apnic,BD,132598,1,20130201,allocated
apnic,BD,132601,1,20220214,allocated
apnic,BD,132602,1,20130206,allocated
apnic,BD,132604,1,20130211,allocated
apnic,BD,132606,1,20130208,allocated
apnic,BD,132607,1,20130211,allocated
apnic,BD,132608,1,20130212,allocated
apnic,BD,132622,1,20160830,allocated
apnic,BD,132684,1,20130305,allocated
apnic,BD,132735,1,20160831,allocated
apnic,BD,132800,1,20210214,allocated
apnic,BD,132801,1,20130426,allocated
apnic,BD,132806,1,20160905,allocated
apnic,BD,132817,1,20160907,allocated
apnic,BD,132846,1,20130527,allocated
apnic,BD,132855,1,20241021,allocated
apnic,BD,132869,1,20170724,allocated
apnic,BD,132884,1,20130626,allocated
apnic,BD,132897,1,20200830,allocated
apnic,BD,133022,1,20231227,allocated
apnic,BD,133031,1,20180906,allocated
apnic,BD,133034,1,20130802,allocated
apnic,BD,133070,1,20231112,allocated
apnic,BD,133083,1,20140311,allocated
apnic,BD,133099,1,20211004,allocated
apnic,BD,133109,1,20131220,allocated
apnic,BD,133112,1,20230119,allocated
apnic,BD,133148,1,20230111,allocated
apnic,BD,133155,1,20131111,allocated
apnic,BD,133168,1,20170130,allocated
apnic,BD,133181,1,20241213,allocated
apnic,BD,133191,1,20131215,allocated
apnic,BD,133209,1,20220416,allocated
apnic,BD,133211,1,20230312,allocated
apnic,BD,133213,1,20241216,allocated
apnic,BD,133325,1,20210412,allocated
apnic,BD,133331,1,20140204,allocated
apnic,BD,133368,1,20220615,allocated
apnic,BD,133395,1,20170224,allocated
apnic,BD,133410,1,20180630,allocated
apnic,BD,133430,1,20140326,allocated
apnic,BD,133443,1,20140408,allocated
apnic,BD,133446,1,20241217,allocated
apnic,BD,133450,1,20170605,allocated
apnic,BD,133468,1,20170703,allocated
apnic,BD,133477,1,20170615,allocated
apnic,BD,133496,1,20241219,allocated
apnic,BD,133528,1,20181018,allocated
apnic,BD,133539,1,20180812,allocated
apnic,BD,133542,1,20220707,allocated
apnic,BD,133547,1,20170327,allocated
apnic,BD,133605,1,20140718,allocated
apnic,BD,133610,1,20140724,allocated
apnic,BD,133633,1,20140912,allocated
apnic,BD,133738,1,20171102,allocated
apnic,BD,133766,1,20220122,allocated
apnic,BD,133770,1,20201005,allocated
apnic,BD,133854,1,20141121,allocated
apnic,BD,133866,1,20160927,allocated
apnic,BD,133867,1,20141203,allocated
apnic,BD,133890,1,20141216,allocated
apnic,BD,133899,1,20220528,allocated
