Registry,Country,ASN,Value,Date,Status
ripencc,BE,2611,1,19930827,allocated
ripencc,BE,3304,1,19941028,allocated
ripencc,BE,5406,1,19950817,allocated
ripencc,BE,5432,1,19951023,allocated
ripencc,BE,5463,1,19951106,allocated
ripencc,BE,5488,1,19951206,allocated
ripencc,BE,5560,1,19960227,allocated
ripencc,BE,6085,1,19930901,allocated
ripencc,BE,6696,1,19960701,allocated
ripencc,BE,6716,1,20080714,allocated
ripencc,BE,6774,1,19960924,allocated
ripencc,BE,6848,1,19961129,allocated
ripencc,BE,8201,1,19970210,allocated
ripencc,BE,8221,1,19970226,allocated
ripencc,BE,8227,1,19970305,allocated
ripencc,BE,8368,1,20060822,allocated
ripencc,BE,9031,1,19981028,allocated
ripencc,BE,9166,1,19990125,allocated
ripencc,BE,9208,1,19990222,allocated
ripencc,BE,9907,1,20000317,allocated
ripencc,BE,12392,1,19990428,allocated
ripencc,BE,12493,1,19990614,allocated
ripencc,BE,12763,1,19991029,allocated
ripencc,BE,12942,1,20060823,allocated
ripencc,BE,13226,1,20000511,allocated
ripencc,BE,15383,1,20000609,allocated
ripencc,BE,15776,1,20001012,allocated
ripencc,BE,15953,1,20001110,allocated
ripencc,BE,16194,1,20010118,allocated
ripencc,BE,16294,1,20010220,allocated
ripencc,BE,16326,1,20010227,allocated
ripencc,BE,20650,1,20010425,allocated
ripencc,BE,21108,1,20010829,allocated
ripencc,BE,21239,1,20011003,allocated
ripencc,BE,21373,1,20030117,allocated
ripencc,BE,21474,1,20011220,allocated
ripencc,BE,21489,1,20011228,allocated
ripencc,BE,25024,1,20020627,allocated
ripencc,BE,25065,1,20020716,allocated
ripencc,BE,25114,1,20020730,allocated
ripencc,BE,25136,1,20020802,allocated
ripencc,BE,25194,1,20020828,allocated
ripencc,BE,25344,1,20021010,allocated
ripencc,BE,25395,1,20021111,allocated
ripencc,BE,25428,1,20021119,allocated
ripencc,BE,25450,1,20150618,allocated
ripencc,BE,28704,1,20030204,allocated
ripencc,BE,28707,1,20030205,allocated
ripencc,BE,28747,1,20030213,allocated
ripencc,BE,28827,1,20030306,allocated
ripencc,BE,28988,1,20030501,allocated
ripencc,BE,29005,1,20030507,allocated
ripencc,BE,29435,1,20030908,allocated
ripencc,BE,29462,1,20030916,allocated
ripencc,BE,29529,1,20031006,allocated
ripencc,BE,29533,1,20031007,allocated
ripencc,BE,29587,1,20031016,allocated
ripencc,BE,29595,1,20031021,allocated
ripencc,BE,30961,1,20040127,allocated
ripencc,BE,31154,1,20040310,allocated
ripencc,BE,31241,1,20040329,allocated
ripencc,BE,31449,1,20040521,allocated
ripencc,BE,31511,1,20040602,allocated
ripencc,BE,31553,1,20040611,allocated
ripencc,BE,31612,1,20040622,allocated
ripencc,BE,31651,1,20040701,allocated
ripencc,BE,31713,1,20040723,allocated
ripencc,BE,33864,1,20040823,allocated
ripencc,BE,34106,1,20041026,allocated
ripencc,BE,34144,1,20041104,allocated
ripencc,BE,34196,1,20041116,allocated
ripencc,BE,34641,1,20191104,allocated
ripencc,BE,34762,1,20050331,allocated
ripencc,BE,34872,1,20190926,allocated
ripencc,BE,35001,1,20050517,allocated
ripencc,BE,35056,1,20050524,allocated
ripencc,BE,35084,1,20050601,allocated
ripencc,BE,35137,1,20190405,allocated
ripencc,BE,35219,1,20050627,allocated
ripencc,BE,35350,1,20050720,allocated
ripencc,BE,35593,1,20050913,allocated
ripencc,BE,35627,1,20050920,allocated
ripencc,BE,35660,1,20190122,allocated
ripencc,BE,35701,1,20051007,allocated
ripencc,BE,35733,1,20051013,allocated
ripencc,BE,39234,1,20060113,allocated
ripencc,BE,39436,1,20171213,allocated
ripencc,BE,39579,1,20060321,allocated
ripencc,BE,39628,1,20060329,allocated
ripencc,BE,39641,1,20060331,allocated
ripencc,BE,39721,1,20060413,allocated
ripencc,BE,39804,1,20060426,allocated
ripencc,BE,39842,1,20171206,allocated
ripencc,BE,39905,1,20060512,allocated
ripencc,BE,39923,1,20060518,allocated
ripencc,BE,41008,1,20060530,allocated
ripencc,BE,41035,1,20060602,allocated
ripencc,BE,41135,1,20060620,allocated
ripencc,BE,41471,1,20060828,allocated
ripencc,BE,41991,1,20061129,allocated
ripencc,BE,42018,1,20061205,allocated
ripencc,BE,42160,1,20061229,allocated
ripencc,BE,42165,1,20070103,allocated
ripencc,BE,42744,1,20070410,allocated
ripencc,BE,42851,1,20070425,allocated
ripencc,BE,43324,1,20070713,allocated
ripencc,BE,43640,1,20200306,allocated
ripencc,BE,44140,1,20071122,allocated
ripencc,BE,44216,1,20071205,allocated
ripencc,BE,44311,1,20240105,allocated
ripencc,BE,44312,1,20071221,allocated
ripencc,BE,44641,1,20231127,allocated
ripencc,BE,44806,1,20080313,allocated
ripencc,BE,44862,1,20141125,allocated
ripencc,BE,44944,1,20080404,allocated
ripencc,BE,45049,1,20231018,allocated
ripencc,BE,47346,1,20230919,allocated
ripencc,BE,47377,1,20080610,allocated
ripencc,BE,47504,1,20230915,allocated
ripencc,BE,47555,1,20180702,allocated
ripencc,BE,47630,1,20161026,allocated
ripencc,BE,47688,1,20180629,allocated
ripencc,BE,47780,1,20180914,allocated
ripencc,BE,47861,1,20080908,allocated
ripencc,BE,48075,1,20081008,allocated
ripencc,BE,48137,1,20081016,allocated
ripencc,BE,48192,1,20180412,allocated
ripencc,BE,48260,1,20141119,allocated
ripencc,BE,48408,1,20081124,allocated
ripencc,BE,48517,1,20081205,allocated
ripencc,BE,48638,1,20081219,allocated
ripencc,BE,48647,1,20160229,allocated
ripencc,BE,48977,1,20090316,allocated
ripencc,BE,49046,1,20090331,allocated
ripencc,BE,49268,1,20191210,allocated
ripencc,BE,49285,1,20090512,allocated
ripencc,BE,49333,1,20090520,allocated
ripencc,BE,49399,1,20090603,allocated
ripencc,BE,49621,1,20090715,allocated
ripencc,BE,49677,1,20090818,allocated
ripencc,BE,49703,1,20230208,allocated
ripencc,BE,49752,1,20191028,allocated
ripencc,BE,49884,1,20220527,allocated
ripencc,BE,49935,1,20191210,allocated
ripencc,BE,49964,1,20091019,allocated
ripencc,BE,50083,1,20150108,allocated
ripencc,BE,50309,1,20160721,allocated
ripencc,BE,50675,1,20100308,allocated
ripencc,BE,50838,1,20150112,allocated
ripencc,BE,50857,1,20100409,allocated
ripencc,BE,50906,1,20100419,allocated
ripencc,BE,50998,1,20100511,allocated
ripencc,BE,51006,1,20171228,allocated
ripencc,BE,51345,1,20221104,allocated
ripencc,BE,51462,1,20100831,allocated
ripencc,BE,51466,1,20100831,allocated
ripencc,BE,51696,1,20221028,allocated
ripencc,BE,51736,1,20220628,allocated
ripencc,BE,51796,1,20101105,allocated
ripencc,BE,51797,1,20101105,allocated
ripencc,BE,56369,1,20200930,allocated
ripencc,BE,56501,1,20220823,allocated
ripencc,BE,56675,1,20110426,allocated
ripencc,BE,56837,1,20110524,allocated
ripencc,BE,57225,1,20230501,allocated
ripencc,BE,57265,1,20171113,allocated
ripencc,BE,57402,1,20111018,allocated
ripencc,BE,57909,1,20160601,allocated
ripencc,BE,57933,1,20180306,allocated
ripencc,BE,57948,1,20120319,allocated
ripencc,BE,58122,1,20120509,allocated
ripencc,BE,58123,1,20120509,allocated
ripencc,BE,59505,1,20201230,allocated
ripencc,BE,59827,1,20140915,allocated
ripencc,BE,59943,1,20160524,allocated
ripencc,BE,60436,1,20130718,allocated
ripencc,BE,60650,1,20130605,allocated
ripencc,BE,60853,1,20130424,allocated
ripencc,BE,61023,1,20130312,allocated
ripencc,BE,62058,1,20160607,allocated
ripencc,BE,62098,1,20200706,allocated
ripencc,BE,62383,1,20131014,allocated
ripencc,BE,62392,1,20131010,allocated
ripencc,BE,62437,1,20130920,allocated
ripencc,BE,64478,1,20160810,allocated
ripencc,BE,196755,1,20090831,allocated
ripencc,BE,196987,1,20100916,allocated
ripencc,BE,197429,1,20101125,allocated
ripencc,BE,197690,1,20110714,allocated
ripencc,BE,197949,1,20110713,allocated
ripencc,BE,198011,1,20230627,allocated
ripencc,BE,198148,1,20111014,allocated
ripencc,BE,198559,1,20120712,allocated
ripencc,BE,198664,1,20120713,allocated
ripencc,BE,198708,1,20230428,allocated
ripencc,BE,198847,1,20120907,allocated
ripencc,BE,198912,1,20120619,allocated
ripencc,BE,199095,1,20120810,allocated
ripencc,BE,199207,1,20120914,allocated
ripencc,BE,199541,1,20121204,allocated
ripencc,BE,199670,1,20121012,allocated
ripencc,BE,199756,1,20140207,allocated
ripencc,BE,199796,1,20140122,allocated
ripencc,BE,199839,1,20230215,allocated
ripencc,BE,199942,1,20131129,allocated
ripencc,BE,199998,1,20131107,allocated
ripencc,BE,200057,1,20230202,allocated
ripencc,BE,200133,1,20130927,allocated
ripencc,BE,200353,1,20180801,allocated
ripencc,BE,200510,1,20221214,allocated
ripencc,BE,200585,1,20150529,allocated
ripencc,BE,200869,1,20150323,allocated
ripencc,BE,200884,1,20150319,allocated
ripencc,BE,200911,1,20150313,allocated
ripencc,BE,201004,1,20150223,allocated
ripencc,BE,201042,1,20221130,allocated
ripencc,BE,201050,1,20150211,allocated
ripencc,BE,201067,1,20150206,allocated
ripencc,BE,201168,1,20150112,allocated
ripencc,BE,201189,1,20180709,allocated
ripencc,BE,201205,1,20141223,allocated
ripencc,BE,201338,1,20141120,allocated
ripencc,BE,201366,1,20141113,allocated
ripencc,BE,201859,1,20140624,allocated
ripencc,BE,201887,1,20140612,allocated
ripencc,BE,201894,1,20140611,allocated
ripencc,BE,201984,1,20140513,allocated
ripencc,BE,202191,1,20140318,allocated
ripencc,BE,202272,1,20180613,allocated
ripencc,BE,202495,1,20180507,allocated
ripencc,BE,202598,1,20160715,allocated
ripencc,BE,202688,1,20180426,allocated
ripencc,BE,202708,1,20160617,allocated
ripencc,BE,202713,1,20160616,allocated
ripencc,BE,202830,1,20160524,allocated
