Registry,Country,ASN,Value,Date,Status
afrinic,BF,25543,1,20070920,allocated
afrinic,BF,37008,1,20080304,allocated
afrinic,BF,37073,1,20081114,allocated
afrinic,BF,37163,1,20091224,allocated
afrinic,BF,37526,1,20121122,allocated
afrinic,BF,37577,1,20130321,allocated
afrinic,BF,37648,1,20131003,allocated
afrinic,BF,37716,1,20160429,allocated
afrinic,BF,37721,1,20180928,allocated
afrinic,BF,37734,1,20230214,allocated
afrinic,BF,327871,1,20150408,allocated
afrinic,BF,328010,1,20160429,allocated
afrinic,BF,328215,1,20170823,allocated
afrinic,BF,328245,1,20171113,allocated
afrinic,BF,328316,1,20180514,allocated
afrinic,BF,328330,1,20211013,allocated
afrinic,BF,328424,1,20190128,allocated
afrinic,BF,328432,1,20190208,allocated
afrinic,BF,328448,1,20190313,allocated
afrinic,BF,328472,1,20190419,allocated
afrinic,BF,328534,1,20190902,allocated
afrinic,BF,328627,1,20200316,allocated
afrinic,BF,328716,1,20200818,allocated
afrinic,BF,328721,1,20200824,allocated
afrinic,BF,328898,1,20210726,allocated
afrinic,BF,328967,1,20211026,allocated
afrinic,BF,329041,1,20220331,allocated
afrinic,BF,329306,1,20230818,allocated
afrinic,BF,329440,1,20240611,allocated
afrinic,BF,329485,1,20240830,allocated
