Registry,Country,ASN,Value,Date,Status
ripencc,BG,2111,1,20090114,allocated
ripencc,BG,3187,1,20120427,allocated
ripencc,BG,3245,1,19940724,allocated
ripencc,BG,3264,1,19941024,allocated
ripencc,BG,5421,1,19950925,allocated
ripencc,BG,5472,1,20151030,allocated
ripencc,BG,6802,1,19961025,allocated
ripencc,BG,8262,1,19970408,allocated
ripencc,BG,8431,1,19970819,allocated
ripencc,BG,8628,1,20151014,allocated
ripencc,BG,8672,1,19980217,allocated
ripencc,BG,8717,1,19980319,allocated
ripencc,BG,8734,1,20100301,allocated
ripencc,BG,8739,1,20061011,allocated
ripencc,BG,8745,1,19980407,allocated
ripencc,BG,8795,1,19980526,allocated
ripencc,BG,8808,1,19980602,allocated
ripencc,BG,8860,1,19980630,allocated
ripencc,BG,8866,1,19980702,allocated
ripencc,BG,8877,1,19980708,allocated
ripencc,BG,8880,1,19980708,allocated
ripencc,BG,8967,1,20091007,allocated
ripencc,BG,9028,1,20031219,allocated
ripencc,BG,9070,1,19981125,allocated
ripencc,BG,9127,1,19990104,allocated
ripencc,BG,12436,1,20090917,allocated
ripencc,BG,12564,1,19990723,allocated
ripencc,BG,12591,1,20010302,allocated
ripencc,BG,12615,1,20040421,allocated
ripencc,BG,12716,1,19991008,allocated
ripencc,BG,12756,1,20060907,allocated
ripencc,BG,12792,1,19991111,allocated
ripencc,BG,12795,1,20040204,allocated
ripencc,BG,12796,1,20080826,allocated
ripencc,BG,12815,1,20041102,allocated
ripencc,BG,12829,1,19991201,allocated
ripencc,BG,12962,1,20010306,allocated
ripencc,BG,12982,1,20000207,allocated
ripencc,BG,13124,1,20000324,allocated
ripencc,BG,13147,1,20000406,allocated
ripencc,BG,13172,1,20050204,allocated
ripencc,BG,13236,1,20000512,allocated
ripencc,BG,13306,1,20021028,allocated
ripencc,BG,15362,1,20080611,allocated
ripencc,BG,15504,1,20090820,allocated
ripencc,BG,15534,1,20000728,allocated
ripencc,BG,15669,1,20090730,allocated
ripencc,BG,15941,1,20070226,allocated
ripencc,BG,16045,1,20070315,allocated
ripencc,BG,16154,1,20010109,allocated
ripencc,BG,16193,1,20010118,allocated
ripencc,BG,16226,1,20010202,allocated
ripencc,BG,16328,1,20010227,allocated
ripencc,BG,16344,1,20010306,allocated
ripencc,BG,20657,1,20010427,allocated
ripencc,BG,20665,1,20010502,allocated
ripencc,BG,20682,1,20010507,allocated
ripencc,BG,20750,1,20071101,allocated
ripencc,BG,20818,1,20150803,allocated
ripencc,BG,20911,1,20020204,allocated
ripencc,BG,20956,1,20010712,allocated
ripencc,BG,21230,1,20011002,allocated
ripencc,BG,21249,1,20011005,allocated
ripencc,BG,21337,1,20011105,allocated
ripencc,BG,21415,1,20021029,allocated
ripencc,BG,24693,1,20020222,allocated
ripencc,BG,24750,1,20020314,allocated
ripencc,BG,24770,1,20020320,allocated
ripencc,BG,24964,1,20020610,allocated
ripencc,BG,25076,1,20020719,allocated
ripencc,BG,25147,1,20020808,allocated
ripencc,BG,25166,1,20020819,allocated
ripencc,BG,25206,1,20020902,allocated
ripencc,BG,25211,1,20150624,allocated
ripencc,BG,25224,1,20020905,allocated
ripencc,BG,25332,1,20041104,allocated
ripencc,BG,25374,1,20021101,allocated
ripencc,BG,25407,1,20021113,allocated
ripencc,BG,25554,1,20030109,allocated
ripencc,BG,28819,1,20110831,allocated
ripencc,BG,28820,1,20030304,allocated
ripencc,BG,28909,1,20030403,allocated
ripencc,BG,28949,1,20030416,allocated
ripencc,BG,29030,1,20030514,allocated
ripencc,BG,29080,1,20030528,allocated
ripencc,BG,29084,1,20030528,allocated
ripencc,BG,29122,1,20030610,allocated
ripencc,BG,29210,1,20030701,allocated
ripencc,BG,29244,1,20030708,allocated
ripencc,BG,29343,1,20030808,allocated
ripencc,BG,29366,1,20030820,allocated
ripencc,BG,29390,1,20030827,allocated
