Registry,Country,ASN,Value,Date,Status
ripencc,BH,5416,1,19950912,allocated
ripencc,BH,5584,1,19960318,allocated
ripencc,BH,15539,1,20050117,allocated
ripencc,BH,30882,1,20080422,allocated
ripencc,BH,31452,1,20040521,allocated
ripencc,BH,35019,1,20050518,allocated
ripencc,BH,35313,1,20050713,allocated
ripencc,BH,35457,1,20050812,allocated
ripencc,BH,35546,1,20050901,allocated
ripencc,BH,35568,1,20050906,allocated
ripencc,BH,35729,1,20051012,allocated
ripencc,BH,39015,1,20051128,allocated
ripencc,BH,39273,1,20060123,allocated
ripencc,BH,48109,1,20081014,allocated
ripencc,BH,51375,1,20100804,allocated
ripencc,BH,51429,1,20200710,allocated
ripencc,BH,56494,1,20110303,allocated
ripencc,BH,62123,1,20140205,allocated
ripencc,BH,201998,1,20180625,allocated
ripencc,BH,204200,1,20220720,allocated
ripencc,BH,209004,1,20190426,allocated
ripencc,BH,209752,1,20181211,allocated
ripencc,BH,210968,1,20210802,allocated
ripencc,BH,215287,1,20240319,allocated
