Registry,Country,ASN,Value,Date,Status
afrinic,BJ,28683,1,20100311,allocated
afrinic,BJ,37090,1,20090302,allocated
afrinic,BJ,37136,1,20090826,allocated
afrinic,BJ,37292,1,20110225,allocated
afrinic,BJ,37424,1,20191010,allocated
afrinic,BJ,37805,1,20250627,allocated
afrinic,BJ,327818,1,20141112,allocated
afrinic,BJ,328092,1,20161027,allocated
afrinic,BJ,328098,1,20161109,allocated
afrinic,BJ,328133,1,20170227,allocated
afrinic,BJ,328228,1,20170929,allocated
afrinic,BJ,328653,1,20200507,allocated
afrinic,BJ,328702,1,20200715,allocated
afrinic,BJ,329085,1,20220614,allocated
afrinic,BJ,329086,1,20220620,allocated
afrinic,BJ,329107,1,20220721,allocated
afrinic,BJ,329156,1,20221013,allocated
afrinic,BJ,329217,1,20230213,allocated
afrinic,BJ,329512,1,20241021,allocated
afrinic,BJ,329544,1,20250627,allocated
