Registry,Country,ASN,Value,Date,Status
arin,BM,3855,1,19940926,assigned
arin,BM,10388,1,19970722,assigned
arin,BM,11269,1,19980605,assigned
arin,BM,13802,1,19990820,assigned
arin,BM,16413,1,20000426,assigned
arin,BM,19626,1,20010126,assigned
arin,BM,21958,1,20231012,assigned
arin,BM,23313,1,20171003,assigned
arin,BM,26559,1,20061222,assigned
arin,BM,32020,1,20040211,assigned
arin,BM,47053,1,20090612,assigned
arin,BM,47060,1,20090615,assigned
arin,BM,55159,1,20230217,assigned
ripencc,BM,206154,1,20170317,allocated
arin,BM,393440,1,20140513,assigned
arin,BM,394478,1,20150922,assigned
arin,BM,395705,1,20161117,assigned
arin,BM,395838,1,20170103,assigned
arin,BM,399084,1,20201207,assigned
arin,BM,399926,1,20210804,assigned
arin,BM,401184,1,20240617,assigned
