Registry,Country,ASN,Value,Date,Status
lacnic,BO,6568,1,19960528,allocated
lacnic,BO,11585,1,19981014,allocated
lacnic,BO,13521,1,19990628,allocated
lacnic,BO,22541,1,20011012,allocated
lacnic,BO,25620,1,20020410,allocated
lacnic,BO,26210,1,20020725,allocated
lacnic,BO,27714,1,20030814,allocated
lacnic,BO,27828,1,20060531,allocated
lacnic,BO,27839,1,20060622,allocated
lacnic,BO,27882,1,20070215,allocated
lacnic,BO,28024,1,20081218,allocated
lacnic,BO,52250,1,20100527,allocated
lacnic,BO,52338,1,20110809,allocated
lacnic,BO,52340,1,20110817,allocated
lacnic,BO,52355,1,20111206,allocated
lacnic,BO,52495,1,20131124,allocated
lacnic,BO,52499,1,20140206,allocated
lacnic,BO,61458,1,20140710,allocated
lacnic,BO,61475,1,20140801,allocated
lacnic,BO,61488,1,20140901,allocated
lacnic,BO,64119,1,20191107,allocated
ripencc,BO,199343,1,20230317,allocated
ripencc,BO,204655,1,20221130,allocated
ripencc,BO,211397,1,20210503,allocated
lacnic,BO,262159,1,20110414,allocated
lacnic,BO,262161,1,20110301,allocated
lacnic,BO,263242,1,20140530,allocated
lacnic,BO,263709,1,20141127,allocated
lacnic,BO,264612,1,20151005,allocated
lacnic,BO,264690,1,20160406,allocated
lacnic,BO,264747,1,20160803,allocated
lacnic,BO,264789,1,20161004,allocated
lacnic,BO,264855,1,20170111,allocated
lacnic,BO,264858,1,20170120,allocated
lacnic,BO,265647,1,20170208,allocated
lacnic,BO,265670,1,20170309,allocated
lacnic,BO,265756,1,20170628,allocated
lacnic,BO,265779,1,20170731,allocated
lacnic,BO,265814,1,20170905,allocated
lacnic,BO,265880,1,20171120,allocated
lacnic,BO,266671,1,20171212,allocated
lacnic,BO,266723,1,20180205,allocated
lacnic,BO,266745,1,20180228,allocated
lacnic,BO,266804,1,20180517,allocated
lacnic,BO,267685,1,20180926,allocated
lacnic,BO,267765,1,20190131,allocated
lacnic,BO,267770,1,20190212,allocated
lacnic,BO,269797,1,20191003,allocated
lacnic,BO,269959,1,20200303,allocated
lacnic,BO,270038,1,20200623,allocated
lacnic,BO,270045,1,20200630,allocated
lacnic,BO,270080,1,20200812,allocated
lacnic,BO,270090,1,20200817,allocated
lacnic,BO,271801,1,20200917,allocated
lacnic,BO,271906,1,20210428,allocated
lacnic,BO,271987,1,20210929,allocated
lacnic,BO,272036,1,20211230,allocated
lacnic,BO,272041,1,20220111,allocated
lacnic,BO,272127,1,20220422,allocated
lacnic,BO,272840,1,20220810,allocated
lacnic,BO,272892,1,20221020,allocated
lacnic,BO,272913,1,20221115,allocated
lacnic,BO,273161,1,20240116,allocated
lacnic,BO,273835,1,20240521,allocated
lacnic,BO,273984,1,20241118,allocated
lacnic,BO,274026,1,20250115,allocated
