Registry,Country,ASN,Value,Date,Status
lacnic,BR,1251,1,19991112,allocated
lacnic,BR,1916,1,19991116,allocated
lacnic,BR,2715,1,20000216,allocated
lacnic,BR,2716,1,20081128,allocated
lacnic,BR,4230,1,19991116,allocated
lacnic,BR,5772,1,19991116,allocated
lacnic,BR,6125,1,20130401,allocated
lacnic,BR,6505,1,20220311,allocated
lacnic,BR,7048,1,20090424,allocated
lacnic,BR,7063,1,19991117,allocated
lacnic,BR,7162,1,19991228,allocated
lacnic,BR,7298,1,19991116,allocated
lacnic,BR,7313,1,20010801,allocated
lacnic,BR,7365,1,19991118,allocated
lacnic,BR,7465,1,20000128,allocated
lacnic,BR,7738,1,19991116,allocated
lacnic,BR,7890,1,20130401,allocated
lacnic,BR,8055,1,20030211,allocated
lacnic,BR,8141,1,19991117,allocated
lacnic,BR,8167,1,19991117,allocated
lacnic,BR,10285,1,20130401,allocated
lacnic,BR,10362,1,19991116,allocated
lacnic,BR,10412,1,19991117,allocated
lacnic,BR,10417,1,20000215,allocated
lacnic,BR,10429,1,19991116,allocated
lacnic,BR,10454,1,20130401,allocated
lacnic,BR,10531,1,19991118,allocated
lacnic,BR,10670,1,19991117,allocated
lacnic,BR,10688,1,19991118,allocated
lacnic,BR,10704,1,20000914,allocated
lacnic,BR,10715,1,20000216,allocated
lacnic,BR,10733,1,19991117,allocated
lacnic,BR,10841,1,20130401,allocated
lacnic,BR,10875,1,19991122,allocated
lacnic,BR,10881,1,19991215,allocated
lacnic,BR,10897,1,19991118,allocated
lacnic,BR,10906,1,19991116,allocated
lacnic,BR,10938,1,20000216,allocated
lacnic,BR,10954,1,19991117,allocated
lacnic,BR,11097,1,19991117,allocated
lacnic,BR,11242,1,20000216,allocated
lacnic,BR,11271,1,19991118,allocated
lacnic,BR,11284,1,19991117,allocated
lacnic,BR,11295,1,20000118,allocated
lacnic,BR,11335,1,20130401,allocated
lacnic,BR,11338,1,20160613,allocated
lacnic,BR,11390,1,20130401,allocated
lacnic,BR,11415,1,19991116,allocated
lacnic,BR,11419,1,19991117,allocated
lacnic,BR,11431,1,20190812,allocated
lacnic,BR,11432,1,19991117,allocated
lacnic,BR,11592,1,20130401,allocated
lacnic,BR,11644,1,19991118,allocated
lacnic,BR,11706,1,19991112,allocated
lacnic,BR,11751,1,20000215,allocated
lacnic,BR,11752,1,19991118,allocated
lacnic,BR,11801,1,20130401,allocated
lacnic,BR,11802,1,19991118,allocated
lacnic,BR,11844,1,20000612,allocated
lacnic,BR,11896,1,19991118,allocated
lacnic,BR,11921,1,19991118,allocated
lacnic,BR,11993,1,20070213,allocated
lacnic,BR,12136,1,19991118,allocated
lacnic,BR,13357,1,19991118,allocated
lacnic,BR,13459,1,20000413,allocated
lacnic,BR,13495,1,19991118,allocated
lacnic,BR,13522,1,20000804,allocated
lacnic,BR,13584,1,20130401,allocated
lacnic,BR,13874,1,20130716,allocated
lacnic,BR,13878,1,20000930,allocated
lacnic,BR,13914,1,19991118,allocated
lacnic,BR,14026,1,20080904,allocated
lacnic,BR,14030,1,20130401,allocated
lacnic,BR,14204,1,19991118,allocated
lacnic,BR,14282,1,20000322,allocated
lacnic,BR,14346,1,20000218,allocated
lacnic,BR,14457,1,20130422,allocated
lacnic,BR,14463,1,20000126,allocated
lacnic,BR,14553,1,20130322,allocated
lacnic,BR,14571,1,20000113,allocated
lacnic,BR,14624,1,20130401,allocated
lacnic,BR,14650,1,20000223,allocated
lacnic,BR,14723,1,20010702,allocated
lacnic,BR,14840,1,20090721,allocated
lacnic,BR,14868,1,20000322,allocated
lacnic,BR,14886,1,20000224,allocated
lacnic,BR,15180,1,20000530,allocated
lacnic,BR,15201,1,20000403,allocated
lacnic,BR,15256,1,20000516,allocated
lacnic,BR,16397,1,20000503,allocated
lacnic,BR,16594,1,20000825,allocated
lacnic,BR,16685,1,20000522,allocated
lacnic,BR,16735,1,20000817,allocated
lacnic,BR,16885,1,20000630,allocated
lacnic,BR,16891,1,20000626,allocated
lacnic,BR,16911,1,20010618,allocated
lacnic,BR,17108,1,20130422,allocated
lacnic,BR,17208,1,20130401,allocated
lacnic,BR,17222,1,20000817,allocated
lacnic,BR,17379,1,20000915,allocated
lacnic,BR,18479,1,20000912,allocated
lacnic,BR,18547,1,20000921,allocated
lacnic,BR,18644,1,20130401,allocated
lacnic,BR,18739,1,20001207,allocated
lacnic,BR,18782,1,20130401,allocated
lacnic,BR,18836,1,20010301,allocated
lacnic,BR,18881,1,20001023,allocated
lacnic,BR,19089,1,20001122,allocated
lacnic,BR,19182,1,20010620,allocated
lacnic,BR,19200,1,20090601,allocated
lacnic,BR,19611,1,20010130,allocated
lacnic,BR,19723,1,20010308,allocated
lacnic,BR,19763,1,20010516,allocated
lacnic,BR,19990,1,20140613,allocated
lacnic,BR,20044,1,20010322,allocated
lacnic,BR,20116,1,20010420,allocated
lacnic,BR,20121,1,20090429,allocated
lacnic,BR,21506,1,20130322,allocated
lacnic,BR,21571,1,20011120,allocated
lacnic,BR,21574,1,20010607,allocated
lacnic,BR,21612,1,20130322,allocated
lacnic,BR,21741,1,20010618,allocated
lacnic,BR,21911,1,20010716,allocated
lacnic,BR,22055,1,20010806,allocated
lacnic,BR,22085,1,20010807,allocated
lacnic,BR,22092,1,20130401,allocated
lacnic,BR,22128,1,20010813,allocated
lacnic,BR,22129,1,20010813,allocated
lacnic,BR,22133,1,20011018,allocated
lacnic,BR,22148,1,20010828,allocated
lacnic,BR,22177,1,20010820,allocated
lacnic,BR,22250,1,20010913,allocated
lacnic,BR,22341,1,20010925,allocated
lacnic,BR,22356,1,20010925,allocated
lacnic,BR,22371,1,20011018,allocated
lacnic,BR,22381,1,20020405,allocated
lacnic,BR,22407,1,20020327,allocated
lacnic,BR,22431,1,20011018,allocated
lacnic,BR,22515,1,20011105,allocated
lacnic,BR,22548,1,20011016,allocated
lacnic,BR,22689,1,20011106,allocated
lacnic,BR,22706,1,20011109,allocated
lacnic,BR,22745,1,20011122,allocated
lacnic,BR,22819,1,20021206,allocated
lacnic,BR,22876,1,20130401,allocated
lacnic,BR,23002,1,20020107,allocated
lacnic,BR,23074,1,20120504,allocated
lacnic,BR,23105,1,20020128,allocated
lacnic,BR,23106,1,20020214,allocated
lacnic,BR,23128,1,20020129,allocated
lacnic,BR,23202,1,20130401,allocated
lacnic,BR,23289,1,20020222,allocated
