Registry,Country,ASN,Value,Date,Status
arin,BS,8014,1,19960826,assigned
arin,BS,15146,1,20000324,assigned
arin,BS,18635,1,20061116,assigned
arin,BS,19128,1,20001121,assigned
arin,BS,19377,1,20150320,assigned
arin,BS,22357,1,20210922,assigned
arin,BS,26855,1,20021209,assigned
arin,BS,26929,1,20230614,assigned
arin,BS,33035,1,20110311,assigned
arin,BS,394601,1,20151027,assigned
arin,BS,397914,1,20190906,assigned
arin,BS,397972,1,20190924,assigned
arin,BS,398165,1,20191114,assigned
arin,BS,398340,1,20200430,assigned
arin,BS,401451,1,20241028,assigned
