Registry,Country,ASN,Value,Date,Status
apnic,BT,7615,1,20180904,allocated
apnic,BT,17482,1,20190612,allocated
apnic,BT,17660,1,20010821,allocated
apnic,BT,18024,1,20180226,allocated
apnic,BT,18025,1,20180227,allocated
apnic,BT,18205,1,20181221,allocated
apnic,BT,23955,1,20180724,allocated
apnic,BT,38004,1,20060503,allocated
apnic,BT,38740,1,20070917,allocated
apnic,BT,59219,1,20131025,allocated
apnic,BT,132232,1,20120405,allocated
apnic,BT,132894,1,20241022,allocated
apnic,BT,134715,1,20151009,allocated
apnic,BT,135666,1,20161102,allocated
apnic,BT,136039,1,20161129,allocated
apnic,BT,137412,1,20180116,allocated
apnic,BT,137925,1,20180621,allocated
apnic,BT,137994,1,20180723,allocated
apnic,BT,138529,1,20181227,allocated
apnic,BT,138558,1,20240826,allocated
apnic,BT,138920,1,20190321,allocated
apnic,BT,140695,1,20200603,allocated
apnic,BT,141680,1,20210120,allocated
apnic,BT,151498,1,20230706,allocated
apnic,BT,151955,1,20231011,allocated
apnic,BT,152308,1,20240109,allocated
apnic,BT,152309,1,20240109,allocated
apnic,BT,152310,1,20240109,allocated
apnic,BT,152311,1,20240109,allocated
apnic,BT,152312,1,20240109,allocated
apnic,BT,152313,1,20240109,allocated
apnic,BT,152314,1,20240109,allocated
apnic,BT,152315,1,20240109,allocated
apnic,BT,152316,1,20240109,allocated
apnic,BT,152317,1,20240109,allocated
apnic,BT,152318,1,20240109,allocated
apnic,BT,153740,1,20250326,allocated
apnic,BT,153779,1,20250414,allocated
