Registry,Country,ASN,Value,Date,Status
afrinic,BW,14988,1,20000302,allocated
afrinic,BW,32279,1,20050915,allocated
afrinic,BW,33781,1,20050706,allocated
afrinic,BW,36963,1,20070717,allocated
afrinic,BW,37014,1,20080401,allocated
afrinic,BW,37051,1,20080905,allocated
afrinic,BW,37257,1,20100909,allocated
afrinic,BW,37395,1,20111117,allocated
afrinic,BW,37604,1,20130729,allocated
afrinic,BW,37678,1,20130710,allocated
afrinic,BW,37711,1,20150317,allocated
afrinic,BW,37771,1,20160617,allocated
afrinic,BW,327696,1,20160617,allocated
afrinic,BW,327716,1,20131216,allocated
afrinic,BW,327757,1,20140505,allocated
afrinic,BW,327760,1,20140528,allocated
afrinic,BW,327776,1,20140716,allocated
afrinic,BW,327830,1,20150116,allocated
afrinic,BW,328070,1,20160920,allocated
afrinic,BW,328181,1,20170619,allocated
afrinic,BW,328348,1,20180813,allocated
afrinic,BW,328459,1,20190403,allocated
afrinic,BW,328737,1,20200917,allocated
afrinic,BW,328757,1,20201103,allocated
afrinic,BW,328869,1,20210609,allocated
afrinic,BW,328996,1,20220121,allocated
afrinic,BW,329078,1,20220610,allocated
afrinic,BW,329185,1,20221208,allocated
afrinic,BW,329301,1,20230809,allocated
afrinic,BW,329339,1,20231016,allocated
afrinic,BW,329381,1,20231214,allocated
afrinic,BW,329473,1,20240808,allocated
afrinic,BW,329581,1,20250716,allocated
