Registry,Country,ASN,Value,Date,Status
ripencc,BY,5498,1,19951215,allocated
ripencc,BY,6697,1,19960701,allocated
ripencc,BY,12406,1,19991118,allocated
ripencc,BY,13171,1,20010213,allocated
ripencc,BY,20852,1,20010619,allocated
ripencc,BY,21062,1,20010813,allocated
ripencc,BY,21274,1,20011012,allocated
ripencc,BY,21305,1,20011025,allocated
ripencc,BY,25106,1,20020726,allocated
ripencc,BY,28737,1,20030212,allocated
ripencc,BY,28849,1,20030314,allocated
ripencc,BY,30945,1,20040123,allocated
ripencc,BY,31143,1,20040309,allocated
ripencc,BY,31345,1,20040420,allocated
ripencc,BY,33973,1,20040920,allocated
ripencc,BY,34421,1,20050117,allocated
ripencc,BY,35587,1,20150320,allocated
ripencc,BY,35594,1,20050913,allocated
ripencc,BY,35647,1,20050923,allocated
ripencc,BY,35668,1,20050929,allocated
ripencc,BY,38980,1,20051122,allocated
ripencc,BY,41245,1,20150120,allocated
ripencc,BY,41793,1,20170703,allocated
ripencc,BY,42772,1,20070413,allocated
ripencc,BY,43232,1,20170202,allocated
ripencc,BY,44031,1,20161202,allocated
ripencc,BY,44087,1,20071115,allocated
ripencc,BY,44272,1,20150211,allocated
ripencc,BY,44288,1,20071218,allocated
ripencc,BY,44397,1,20080115,allocated
ripencc,BY,48107,1,20210924,allocated
ripencc,BY,48340,1,20170606,allocated
ripencc,BY,49091,1,20141208,allocated
ripencc,BY,49243,1,20090506,allocated
ripencc,BY,49526,1,20090624,allocated
ripencc,BY,49682,1,20160919,allocated
ripencc,BY,49711,1,20090826,allocated
ripencc,BY,50155,1,20091123,allocated
ripencc,BY,50176,1,20091125,allocated
ripencc,BY,50205,1,20160921,allocated
ripencc,BY,50294,1,20170306,allocated
ripencc,BY,50334,1,20091221,allocated
ripencc,BY,50345,1,20091222,allocated
ripencc,BY,50438,1,20100406,allocated
ripencc,BY,50492,1,20100128,allocated
ripencc,BY,50590,1,20100215,allocated
ripencc,BY,50593,1,20100216,allocated
ripencc,BY,50685,1,20100309,allocated
ripencc,BY,50765,1,20160715,allocated
ripencc,BY,50929,1,20100426,allocated
ripencc,BY,50934,1,20100427,allocated
ripencc,BY,51276,1,20100708,allocated
ripencc,BY,51365,1,20100802,allocated
ripencc,BY,51584,1,20101004,allocated
ripencc,BY,51936,1,20220819,allocated
ripencc,BY,56497,1,20110303,allocated
ripencc,BY,56740,1,20110506,allocated
ripencc,BY,56742,1,20110506,allocated
ripencc,BY,56920,1,20110610,allocated
ripencc,BY,57135,1,20151208,allocated
ripencc,BY,57184,1,20151208,allocated
ripencc,BY,57192,1,20110816,allocated
ripencc,BY,57331,1,20110927,allocated
ripencc,BY,58076,1,20120417,allocated
ripencc,BY,59770,1,20141009,allocated
ripencc,BY,59860,1,20140901,allocated
ripencc,BY,59861,1,20140901,allocated
ripencc,BY,60280,1,20130820,allocated
ripencc,BY,60330,1,20130812,allocated
ripencc,BY,60337,1,20130809,allocated
ripencc,BY,60367,1,20130801,allocated
ripencc,BY,60591,1,20201110,allocated
ripencc,BY,60611,1,20130614,allocated
ripencc,BY,60744,1,20130521,allocated
ripencc,BY,60769,1,20130515,allocated
ripencc,BY,60770,1,20130515,allocated
ripencc,BY,60857,1,20130423,allocated
ripencc,BY,61235,1,20121227,allocated
ripencc,BY,62170,1,20140115,allocated
ripencc,BY,62197,1,20140103,allocated
ripencc,BY,62208,1,20170523,allocated
ripencc,BY,62351,1,20131028,allocated
ripencc,BY,199102,1,20120813,allocated
ripencc,BY,199561,1,20121123,allocated
ripencc,BY,201992,1,20180625,allocated
ripencc,BY,202090,1,20140411,allocated
ripencc,BY,202387,1,20180523,allocated
ripencc,BY,202925,1,20220907,allocated
ripencc,BY,203808,1,20151026,allocated
ripencc,BY,205155,1,20171030,allocated
ripencc,BY,205820,1,20170526,allocated
ripencc,BY,206047,1,20170406,allocated
ripencc,BY,206053,1,20170404,allocated
ripencc,BY,206428,1,20170120,allocated
ripencc,BY,207229,1,20250606,allocated
ripencc,BY,207587,1,20200109,allocated
ripencc,BY,208009,1,20220302,allocated
ripencc,BY,208217,1,20230404,allocated
ripencc,BY,208407,1,20190808,allocated
ripencc,BY,209283,1,20190305,allocated
ripencc,BY,210153,1,20180928,allocated
ripencc,BY,210843,1,20210825,allocated
ripencc,BY,210845,1,20210825,allocated
ripencc,BY,210871,1,20210820,allocated
ripencc,BY,211089,1,20210701,allocated
ripencc,BY,211263,1,20210527,allocated
ripencc,BY,211487,1,20210413,allocated
ripencc,BY,211973,1,20210120,allocated
ripencc,BY,211976,1,20210120,allocated
ripencc,BY,212108,1,20250303,allocated
ripencc,BY,212172,1,20201214,allocated
ripencc,BY,212619,1,20200923,allocated
ripencc,BY,213664,1,20241227,allocated
ripencc,BY,213860,1,20241114,allocated
ripencc,BY,215100,1,20240415,allocated
ripencc,BY,215119,1,20240410,allocated
ripencc,BY,215272,1,20240320,allocated
