Registry,Country,ASN,Value,Date,Status
arin,CA,58,1,19851218,assigned
arin,CA,74,1,19860505,assigned
arin,CA,239,1,19880920,assigned
arin,CA,271,1,19890224,assigned
arin,CA,376,1,19890727,assigned
arin,CA,542,1,19891011,assigned
arin,CA,549,1,19891109,assigned
arin,CA,566,1,19900713,assigned
arin,CA,577,1,19990303,assigned
arin,CA,591,1,19900228,assigned
arin,CA,601,1,19990303,assigned
arin,CA,602,1,19990303,assigned
arin,CA,611,1,20180614,assigned
arin,CA,684,1,19900614,assigned
arin,CA,691,1,19900723,assigned
arin,CA,802,1,00000000,assigned
arin,CA,803,1,20020115,assigned
arin,CA,804,1,19901109,assigned
arin,CA,806,1,19910617,assigned
arin,CA,808,1,00000000,assigned
arin,CA,810,1,19920819,assigned
arin,CA,811,1,19920819,assigned
arin,CA,812,1,20020724,assigned
arin,CA,818,1,19930421,assigned
arin,CA,819,1,20010830,assigned
arin,CA,820,1,19940121,assigned
arin,CA,821,1,19940222,assigned
arin,CA,822,1,19940309,assigned
arin,CA,823,1,19940311,assigned
arin,CA,825,1,19940504,assigned
arin,CA,826,1,19940506,assigned
arin,CA,827,1,19940512,assigned
arin,CA,828,1,19940601,assigned
arin,CA,829,1,19940601,assigned
arin,CA,830,1,19940601,assigned
arin,CA,831,1,19940601,assigned
arin,CA,832,1,19940601,assigned
arin,CA,835,1,20220616,assigned
arin,CA,837,1,00000000,assigned
arin,CA,838,5,00000000,assigned
arin,CA,851,1,00000000,assigned
arin,CA,852,1,19980416,assigned
arin,CA,855,1,19900807,assigned
arin,CA,856,1,00000000,assigned
arin,CA,857,29,19900807,assigned
arin,CA,900,1,20220608,assigned
arin,CA,905,1,20220610,assigned
arin,CA,909,1,20220610,assigned
arin,CA,912,1,20220613,assigned
arin,CA,913,1,20220613,assigned
arin,CA,922,1,20220613,assigned
arin,CA,933,1,20220616,assigned
arin,CA,956,1,20220622,assigned
arin,CA,957,1,20220622,assigned
arin,CA,958,1,20220622,assigned
arin,CA,967,1,20220622,assigned
arin,CA,977,1,20220624,assigned
arin,CA,981,1,20220627,assigned
arin,CA,991,1,20220627,assigned
arin,CA,1011,1,20220629,assigned
arin,CA,1024,1,20210203,assigned
arin,CA,1038,1,20220706,assigned
arin,CA,1039,1,20220706,assigned
arin,CA,1043,1,20220706,assigned
arin,CA,1048,1,20220712,assigned
arin,CA,1061,1,20220715,assigned
arin,CA,1070,1,20220721,assigned
arin,CA,1071,1,20220721,assigned
arin,CA,1076,1,20220725,assigned
arin,CA,1085,1,20220729,assigned
arin,CA,1100,1,20220914,assigned
arin,CA,1403,1,20090728,assigned
arin,CA,1418,1,20090731,assigned
arin,CA,1604,1,20090807,assigned
arin,CA,1633,1,20090812,assigned
arin,CA,1634,1,20190208,assigned
arin,CA,1645,1,20121219,assigned
arin,CA,1691,1,20000505,assigned
arin,CA,1730,1,20090821,assigned
arin,CA,1824,1,20090826,assigned
