Registry,Country,ASN,Value,Date,Status
afrinic,CD,37020,1,20080523,allocated
afrinic,CD,37102,1,20090602,allocated
afrinic,CD,37414,1,20120126,allocated
afrinic,CD,37415,1,20120131,allocated
afrinic,CD,37431,1,20120308,allocated
afrinic,CD,37447,1,20190213,allocated
afrinic,CD,37453,1,20120604,allocated
afrinic,CD,37483,1,20120724,allocated
afrinic,CD,37571,1,20130311,allocated
afrinic,CD,37598,1,20130517,allocated
afrinic,CD,37638,1,20131014,allocated
afrinic,CD,37677,1,20220107,allocated
afrinic,CD,37785,1,20190325,allocated
afrinic,CD,37788,1,20210211,allocated
afrinic,CD,37799,1,20230323,allocated
afrinic,CD,327738,1,20140313,allocated
afrinic,CD,327797,1,20140924,allocated
afrinic,CD,327870,1,20150407,allocated
afrinic,CD,327875,1,20150506,allocated
afrinic,CD,327879,1,20150504,allocated
afrinic,CD,327937,1,20150930,allocated
afrinic,CD,327978,1,20160302,allocated
afrinic,CD,328000,1,20160413,allocated
afrinic,CD,328003,1,20160414,allocated
afrinic,CD,328004,1,20160415,allocated
afrinic,CD,328238,1,20171025,allocated
afrinic,CD,328249,1,20171124,allocated
afrinic,CD,328344,1,20180727,allocated
afrinic,CD,328442,1,20190225,allocated
afrinic,CD,328443,1,20190301,allocated
afrinic,CD,328445,1,20190301,allocated
afrinic,CD,328452,1,20190325,allocated
afrinic,CD,328470,1,20190417,allocated
afrinic,CD,328542,1,20190918,allocated
afrinic,CD,328551,1,20191011,allocated
afrinic,CD,328552,1,20191014,allocated
afrinic,CD,328566,1,20191031,allocated
afrinic,CD,328569,1,20191108,allocated
afrinic,CD,328601,1,20200113,allocated
afrinic,CD,328618,1,20200217,allocated
afrinic,CD,328796,1,20210211,allocated
afrinic,CD,328928,1,20210906,allocated
afrinic,CD,328981,1,20211126,allocated
afrinic,CD,329017,1,20220302,allocated
afrinic,CD,329096,1,20220706,allocated
afrinic,CD,329269,1,20230606,allocated
afrinic,CD,329287,1,20230710,allocated
afrinic,CD,329342,1,20231017,allocated
afrinic,CD,329362,1,20231113,allocated
afrinic,CD,329364,1,20231113,allocated
afrinic,CD,329430,1,20240508,allocated
afrinic,CD,329489,1,20240916,allocated
afrinic,CD,329500,1,20241004,allocated
afrinic,CD,329526,1,20250626,allocated
afrinic,CD,329542,1,20250627,allocated
afrinic,CD,329573,1,20250708,allocated
