Registry,Country,ASN,Value,Date,Status
afrinic,CG,37281,1,20190208,allocated
afrinic,CG,37322,1,20190211,allocated
afrinic,CG,37451,1,20130529,allocated
afrinic,CG,37463,1,20120619,allocated
afrinic,CG,37481,1,20120716,allocated
afrinic,CG,37548,1,20130122,allocated
afrinic,CG,37550,1,20130204,allocated
afrinic,CG,37782,1,20181002,allocated
afrinic,CG,327829,1,20141230,allocated
afrinic,CG,328329,1,20180618,allocated
afrinic,CG,328379,1,20181002,allocated
afrinic,CG,328500,1,20190624,allocated
afrinic,CG,328857,1,20210521,allocated
afrinic,CG,329423,1,20240418,allocated
