Registry,Country,ASN,Value,Date,Status
ripencc,CH,513,1,19921117,allocated
ripencc,CH,559,1,19930901,allocated
ripencc,CH,695,1,19930901,allocated
ripencc,CH,696,1,19930901,allocated
ripencc,CH,1297,1,19930901,allocated
ripencc,CH,1624,1,20090812,allocated
ripencc,CH,1836,1,19930901,allocated
ripencc,CH,2047,1,19940526,allocated
ripencc,CH,2612,1,19931104,allocated
ripencc,CH,2613,1,20151123,allocated
ripencc,CH,3083,1,19930901,allocated
ripencc,CH,3084,1,19930901,allocated
ripencc,CH,3085,1,19930901,allocated
ripencc,CH,3086,1,19930901,allocated
ripencc,CH,3087,1,19930901,allocated
ripencc,CH,3088,1,19930901,allocated
ripencc,CH,3089,1,19930901,allocated
ripencc,CH,3090,1,19930901,allocated
ripencc,CH,3091,1,19930901,allocated
ripencc,CH,3092,1,19930901,allocated
ripencc,CH,3093,1,19930901,allocated
ripencc,CH,3094,1,19930901,allocated
ripencc,CH,3095,1,19930901,allocated
ripencc,CH,3096,1,19930901,allocated
ripencc,CH,3097,1,19930901,allocated
ripencc,CH,3098,1,19930901,allocated
ripencc,CH,3099,1,19930901,allocated
ripencc,CH,3100,1,19930901,allocated
ripencc,CH,3101,1,19930901,allocated
ripencc,CH,3102,1,19930901,allocated
ripencc,CH,3103,1,19930901,allocated
ripencc,CH,3104,1,19930901,allocated
ripencc,CH,3105,1,19930901,allocated
ripencc,CH,3106,1,19930901,allocated
ripencc,CH,3107,1,19930901,allocated
ripencc,CH,3108,1,19930901,allocated
ripencc,CH,3109,1,19930901,allocated
ripencc,CH,3173,1,20120426,allocated
ripencc,CH,3250,1,20151116,allocated
ripencc,CH,3303,1,19941028,allocated
ripencc,CH,3334,1,19950110,allocated
ripencc,CH,3412,1,19930901,allocated
ripencc,CH,3413,1,19930901,allocated
ripencc,CH,3414,1,19930901,allocated
ripencc,CH,3415,1,19930901,allocated
ripencc,CH,4405,1,19930901,allocated
ripencc,CH,4406,1,19930901,allocated
ripencc,CH,4407,1,19930901,allocated
ripencc,CH,4408,1,19930901,allocated
ripencc,CH,4409,1,19930901,allocated
ripencc,CH,4410,1,19930901,allocated
ripencc,CH,4411,1,19930901,allocated
ripencc,CH,4412,1,19930901,allocated
ripencc,CH,4413,1,19930901,allocated
ripencc,CH,4414,1,19930901,allocated
ripencc,CH,4415,1,19930901,allocated
ripencc,CH,4416,1,19930901,allocated
ripencc,CH,4417,1,19930901,allocated
ripencc,CH,4418,1,19930901,allocated
ripencc,CH,4419,1,19930901,allocated
ripencc,CH,4420,1,19930901,allocated
ripencc,CH,4421,1,19930901,allocated
ripencc,CH,4422,1,19930901,allocated
ripencc,CH,4423,1,19930901,allocated
ripencc,CH,4424,1,19930901,allocated
ripencc,CH,4425,1,19930901,allocated
ripencc,CH,4426,1,19930901,allocated
ripencc,CH,4427,1,19930901,allocated
ripencc,CH,4428,1,19930901,allocated
ripencc,CH,4429,1,19930901,allocated
ripencc,CH,4430,1,19930901,allocated
ripencc,CH,5426,1,19950926,allocated
ripencc,CH,5529,1,20090121,allocated
ripencc,CH,6730,1,19960730,allocated
ripencc,CH,6732,1,19960731,allocated
ripencc,CH,6772,1,19960924,allocated
ripencc,CH,6775,1,19960926,allocated
ripencc,CH,6776,1,19960926,allocated
ripencc,CH,6837,1,19961119,allocated
ripencc,CH,6893,1,19970107,allocated
ripencc,CH,6898,1,20080401,allocated
ripencc,CH,6907,1,20020904,allocated
ripencc,CH,8231,1,19970306,allocated
ripencc,CH,8235,1,20000804,allocated
ripencc,CH,8243,1,19970320,allocated
ripencc,CH,8247,1,19970324,allocated
ripencc,CH,8271,1,19970414,allocated
ripencc,CH,8298,1,19970506,allocated
ripencc,CH,8300,1,19970507,allocated
ripencc,CH,8302,1,19970507,allocated
ripencc,CH,8404,1,19970801,allocated
ripencc,CH,8414,1,19970806,allocated
ripencc,CH,8453,1,20090728,allocated
ripencc,CH,8556,1,20090728,allocated
ripencc,CH,8640,1,19980203,allocated
ripencc,CH,8659,1,19980210,allocated
ripencc,CH,8729,1,19980325,allocated
ripencc,CH,8758,1,19980417,allocated
ripencc,CH,8803,1,19980528,allocated
ripencc,CH,8821,1,19980608,allocated
ripencc,CH,8833,1,19980611,allocated
ripencc,CH,8843,1,19980617,allocated
ripencc,CH,8883,1,19980710,allocated
ripencc,CH,8982,1,19980917,allocated
ripencc,CH,9025,1,19981026,allocated
ripencc,CH,9042,1,19981104,allocated
ripencc,CH,9044,1,19981105,allocated
ripencc,CH,9092,1,19981210,allocated
ripencc,CH,9096,1,19981211,allocated
ripencc,CH,9100,1,20000829,allocated
ripencc,CH,9108,1,19981218,allocated
ripencc,CH,9214,1,19990222,allocated
apnic,CH,10100,1,20000706,allocated
ripencc,CH,11868,1,20120921,allocated
ripencc,CH,12307,1,20150930,allocated
ripencc,CH,12333,1,19990319,allocated
ripencc,CH,12342,1,20090819,allocated
ripencc,CH,12347,1,20080611,allocated
ripencc,CH,12350,1,19990330,allocated
ripencc,CH,12387,1,20070427,allocated
ripencc,CH,12429,1,19990517,allocated
ripencc,CH,12511,1,19990623,allocated
ripencc,CH,12553,1,20100105,allocated
ripencc,CH,12620,1,19990825,allocated
ripencc,CH,12649,1,19990910,allocated
ripencc,CH,12651,1,19990910,allocated
ripencc,CH,12750,1,19991026,allocated
ripencc,CH,12776,1,19991105,allocated
ripencc,CH,12799,1,19991115,allocated
ripencc,CH,12928,1,20000110,allocated
ripencc,CH,13030,1,20000222,allocated
ripencc,CH,13154,1,20100301,allocated
ripencc,CH,13250,1,20000516,allocated
ripencc,CH,13267,1,20000518,allocated
ripencc,CH,13283,1,20000524,allocated
ripencc,CH,15361,1,20000531,allocated
ripencc,CH,15398,1,20000620,allocated
ripencc,CH,15432,1,20000628,allocated
ripencc,CH,15513,1,20000724,allocated
ripencc,CH,15517,1,20000724,allocated
ripencc,CH,15532,1,20000727,allocated
ripencc,CH,15547,1,20000801,allocated
