Registry,Country,ASN,Value,Date,Status
afrinic,CI,29571,1,20171229,allocated
afrinic,CI,36924,1,20160620,allocated
afrinic,CI,36946,1,20070424,allocated
afrinic,CI,36974,1,20141006,allocated
afrinic,CI,36995,1,20071217,allocated
afrinic,CI,37190,1,20100325,allocated
afrinic,CI,37381,1,20110923,allocated
afrinic,CI,327710,1,20171229,allocated
afrinic,CI,327746,1,20140407,allocated
afrinic,CI,327773,1,20140703,allocated
afrinic,CI,327974,1,20160215,allocated
afrinic,CI,328025,1,20160603,allocated
afrinic,CI,328193,1,20170720,allocated
afrinic,CI,328290,1,20180316,allocated
afrinic,CI,328355,1,20180817,allocated
afrinic,CI,328406,1,20181128,allocated
afrinic,CI,328620,1,20200220,allocated
afrinic,CI,328635,1,20200402,allocated
afrinic,CI,328729,1,20200909,allocated
afrinic,CI,328809,1,20210303,allocated
afrinic,CI,328903,1,20210730,allocated
afrinic,CI,328992,1,20211223,allocated
afrinic,CI,329037,1,20220331,allocated
afrinic,CI,329250,1,20230418,allocated
afrinic,CI,329353,1,20231030,allocated
afrinic,CI,329372,1,20231129,allocated
afrinic,CI,329586,1,20250722,allocated
