Registry,Country,ASN,Value,Date,Status
lacnic,CL,1296,1,19910611,allocated
lacnic,CL,4995,1,19950531,allocated
lacnic,CL,6240,1,19870101,allocated
lacnic,CL,6429,1,20010419,allocated
lacnic,CL,6471,1,19960425,allocated
lacnic,CL,6535,1,20000301,allocated
lacnic,CL,7004,1,19960724,allocated
lacnic,CL,7418,1,20000306,allocated
lacnic,CL,7993,1,19970318,allocated
lacnic,CL,10778,1,19971121,allocated
lacnic,CL,11340,1,19981109,allocated
lacnic,CL,13381,1,19990525,allocated
lacnic,CL,13424,1,19990602,allocated
lacnic,CL,13643,1,19990721,allocated
lacnic,CL,13774,1,19990816,allocated
lacnic,CL,14117,1,19991022,allocated
lacnic,CL,14259,1,20010516,allocated
lacnic,CL,14318,1,19991124,allocated
lacnic,CL,14560,1,20000105,allocated
lacnic,CL,14708,1,20000128,allocated
lacnic,CL,14795,1,20000208,allocated
lacnic,CL,14966,1,20000301,allocated
lacnic,CL,15208,1,20000404,allocated
lacnic,CL,15311,1,20000414,allocated
lacnic,CL,16471,1,20000501,allocated
lacnic,CL,16629,1,20000530,allocated
lacnic,CL,16742,1,20000605,allocated
lacnic,CL,16780,1,20000607,allocated
lacnic,CL,16847,1,20000620,allocated
lacnic,CL,16849,1,20000620,allocated
lacnic,CL,16874,1,20000622,allocated
lacnic,CL,16990,1,20000711,allocated
lacnic,CL,17126,1,20000727,allocated
lacnic,CL,17147,1,20000731,allocated
lacnic,CL,17257,1,20000811,allocated
lacnic,CL,18492,1,20000906,allocated
lacnic,CL,18822,1,20001016,allocated
lacnic,CL,18941,1,20001030,allocated
lacnic,CL,19077,1,20001116,allocated
lacnic,CL,19196,1,20001204,allocated
lacnic,CL,19228,1,20001206,allocated
lacnic,CL,19338,1,20001219,allocated
lacnic,CL,19411,1,20010103,allocated
lacnic,CL,19632,1,20010126,allocated
lacnic,CL,20015,1,20010314,allocated
lacnic,CL,20191,1,20010404,allocated
lacnic,CL,20256,1,20010413,allocated
lacnic,CL,20361,1,20010427,allocated
lacnic,CL,21614,1,20010531,allocated
lacnic,CL,21753,1,20010615,allocated
lacnic,CL,21765,1,20010618,allocated
lacnic,CL,21862,1,20010703,allocated
lacnic,CL,22047,1,20010730,allocated
lacnic,CL,22661,1,20011031,allocated
lacnic,CL,22860,1,20011206,allocated
lacnic,CL,22924,1,20011214,allocated
lacnic,CL,22975,1,20011226,allocated
lacnic,CL,23140,1,20020130,allocated
lacnic,CL,23416,1,20020314,allocated
