Registry,Country,ASN,Value,Date,Status
afrinic,CM,15964,1,20070920,allocated
afrinic,CM,30992,1,20100212,allocated
afrinic,CM,36905,1,20060601,allocated
afrinic,CM,36912,1,20060808,allocated
afrinic,CM,36955,1,20201029,allocated
afrinic,CM,37089,1,20090220,allocated
afrinic,CM,37641,1,20131021,allocated
afrinic,CM,37672,1,20130418,allocated
afrinic,CM,37718,1,20161027,allocated
afrinic,CM,37790,1,20210816,allocated
afrinic,CM,327741,1,20140327,allocated
afrinic,CM,327820,1,20141113,allocated
afrinic,CM,327920,1,20150812,allocated
afrinic,CM,328091,1,20161027,allocated
afrinic,CM,328352,1,20180817,allocated
afrinic,CM,328481,1,20190508,allocated
afrinic,CM,328666,1,20200602,allocated
afrinic,CM,328840,1,20210422,allocated
afrinic,CM,328866,1,20210607,allocated
afrinic,CM,328878,1,20210623,allocated
afrinic,CM,328909,1,20210813,allocated
afrinic,CM,328913,1,20210816,allocated
afrinic,CM,328920,1,20210825,allocated
afrinic,CM,328937,1,20210916,allocated
afrinic,CM,328995,1,20220113,allocated
afrinic,CM,329077,1,20220608,allocated
afrinic,CM,329375,1,20231204,allocated
afrinic,CM,329380,1,20231211,allocated
afrinic,CM,329432,1,20240517,allocated
afrinic,CM,329457,1,20240715,allocated
afrinic,CM,329469,1,20240802,allocated
afrinic,CM,329470,1,20240806,allocated
