Registry,Country,ASN,Value,Date,Status
apnic,CN,3460,1,20020801,allocated
apnic,CN,3717,1,20020801,allocated
apnic,CN,4134,1,20020801,allocated
apnic,CN,4538,1,20020801,allocated
apnic,CN,4611,1,19950930,allocated
apnic,CN,4659,1,19960206,allocated
apnic,CN,4751,1,20031107,allocated
apnic,CN,4789,1,19961028,allocated
apnic,CN,4798,1,19960223,allocated
apnic,CN,4799,1,19960104,allocated
apnic,CN,4808,1,19960109,allocated
apnic,CN,4809,2,19960109,allocated
apnic,CN,4811,1,19990512,allocated
apnic,CN,4812,2,19960109,allocated
apnic,CN,4814,1,19960109,allocated
apnic,CN,4815,2,19960109,allocated
apnic,CN,4835,1,20010913,allocated
apnic,CN,4837,1,20010917,allocated
apnic,CN,4839,2,20010919,allocated
apnic,CN,4842,1,20190614,allocated
apnic,CN,4843,1,20010924,allocated
apnic,CN,4847,1,19960910,allocated
apnic,CN,4859,1,19961219,allocated
apnic,CN,7497,1,19970408,allocated
apnic,CN,7547,2,19970502,allocated
apnic,CN,7549,1,19970506,allocated
apnic,CN,7576,1,19970529,allocated
apnic,CN,7586,1,20211128,allocated
apnic,CN,7609,1,20211223,allocated
apnic,CN,7638,4,19971008,allocated
apnic,CN,7653,1,20211223,allocated
apnic,CN,7692,1,19971202,allocated
apnic,CN,7721,1,20220112,allocated
apnic,CN,9298,1,20020111,allocated
apnic,CN,9305,4,19980417,allocated
apnic,CN,9384,1,20220428,allocated
apnic,CN,9388,8,19980827,allocated
apnic,CN,9401,7,19980915,allocated
apnic,CN,9425,1,20230621,allocated
apnic,CN,9535,1,20100615,allocated
apnic,CN,9721,1,20060907,allocated
apnic,CN,9800,8,20000110,allocated
apnic,CN,9808,1,20000110,allocated
apnic,CN,9809,11,20000110,allocated
apnic,CN,9929,1,20000405,allocated
apnic,CN,9936,1,20160803,allocated
apnic,CN,9939,1,20000411,allocated
apnic,CN,10095,1,20160816,allocated
apnic,CN,10111,1,20200331,allocated
apnic,CN,10206,1,20000911,allocated
apnic,CN,10212,1,20000921,allocated
apnic,CN,17428,5,20001019,allocated
apnic,CN,17442,1,20001031,allocated
apnic,CN,17490,1,20001130,allocated
apnic,CN,17620,4,20010118,allocated
apnic,CN,17629,1,20021118,allocated
apnic,CN,17633,1,20021118,allocated
apnic,CN,17638,1,20021118,allocated
apnic,CN,17655,1,20010308,allocated
apnic,CN,17672,1,20021118,allocated
apnic,CN,17735,1,20050203,allocated
apnic,CN,17739,1,20020429,allocated
apnic,CN,17767,1,20161215,allocated
apnic,CN,17772,10,20010601,allocated
apnic,CN,17782,1,20161215,allocated
apnic,CN,17785,1,20021118,allocated
apnic,CN,17788,4,20010618,allocated
apnic,CN,17799,1,20021118,allocated
apnic,CN,17816,1,20010711,allocated
apnic,CN,17883,1,20021118,allocated
apnic,CN,17896,2,20021118,allocated
apnic,CN,17923,1,20021118,allocated
apnic,CN,17962,8,20010925,allocated
apnic,CN,17997,1,20021120,allocated
apnic,CN,18011,1,20050621,allocated
apnic,CN,18118,1,20020312,allocated
apnic,CN,18238,10,20020614,allocated
apnic,CN,18257,1,20160530,allocated
apnic,CN,18344,1,20020708,allocated
apnic,CN,18387,1,20170613,allocated
apnic,CN,23610,1,20030130,allocated
apnic,CN,23611,1,20170613,allocated
apnic,CN,23650,1,20030214,allocated
apnic,CN,23662,1,20170613,allocated
apnic,CN,23724,1,20030422,allocated
apnic,CN,23771,1,20030625,allocated
apnic,CN,23839,15,20030627,allocated
apnic,CN,23910,1,20031014,allocated
apnic,CN,23911,2,20031016,allocated
apnic,CN,23924,1,20160616,allocated
apnic,CN,24059,1,20051011,allocated
apnic,CN,24133,11,20040823,allocated
apnic,CN,24144,1,20190628,allocated
apnic,CN,24145,8,20040823,allocated
apnic,CN,24239,1,20190312,allocated
apnic,CN,24301,1,20041105,allocated
apnic,CN,24302,1,20190329,allocated
apnic,CN,24310,1,20041208,allocated
apnic,CN,24311,1,20041208,allocated
apnic,CN,24348,25,20050303,allocated
apnic,CN,24376,1,20050311,allocated
apnic,CN,24400,1,20050419,allocated
apnic,CN,24401,30,20050422,allocated
apnic,CN,24444,2,20050511,allocated
apnic,CN,24460,1,20050525,allocated
apnic,CN,24489,2,20051124,allocated
