Registry,Country,ASN,Value,Date,Status
lacnic,CO,3603,1,19940518,allocated
lacnic,CO,3816,1,19940909,allocated
lacnic,CO,5722,1,19950906,allocated
lacnic,CO,7087,1,19960815,allocated
lacnic,CO,7157,1,19960924,allocated
lacnic,CO,7195,1,19961007,allocated
lacnic,CO,7199,1,19961008,allocated
lacnic,CO,7437,1,19961212,allocated
lacnic,CO,7953,1,19970228,allocated
lacnic,CO,7997,1,19970318,allocated
lacnic,CO,8026,1,19960828,allocated
lacnic,CO,8054,1,19970325,allocated
lacnic,CO,8065,1,19970331,allocated
lacnic,CO,8096,1,19970409,allocated
lacnic,CO,8163,1,19970505,allocated
lacnic,CO,10299,1,19970620,allocated
lacnic,CO,10502,1,20010516,allocated
lacnic,CO,10620,1,19971006,allocated
lacnic,CO,10691,1,19971028,allocated
lacnic,CO,11237,1,19980526,allocated
lacnic,CO,11581,1,19981012,allocated
lacnic,CO,13489,1,19990618,allocated
lacnic,CO,14080,1,19991015,allocated
lacnic,CO,14084,1,19991018,allocated
lacnic,CO,14187,1,19991104,allocated
lacnic,CO,14664,1,20010226,allocated
lacnic,CO,14759,1,20000203,allocated
lacnic,CO,14867,1,20000216,allocated
lacnic,CO,14970,1,20000301,allocated
lacnic,CO,15066,1,20000314,allocated
lacnic,CO,16663,1,20000515,allocated
lacnic,CO,18678,1,20000928,allocated
lacnic,CO,18869,1,20001020,allocated
lacnic,CO,19429,1,20010105,allocated
lacnic,CO,19731,1,20010208,allocated
lacnic,CO,20244,1,20010411,allocated
lacnic,CO,21578,1,20010525,allocated
lacnic,CO,22368,1,20010918,allocated
lacnic,CO,22453,1,20010928,allocated
lacnic,CO,23246,1,20020305,allocated
lacnic,CO,26603,1,20020916,allocated
lacnic,CO,26605,1,20040722,allocated
lacnic,CO,26611,1,20021101,allocated
lacnic,CO,26619,1,20041011,allocated
lacnic,CO,27650,1,20030312,allocated
lacnic,CO,27663,1,20041110,allocated
lacnic,CO,27670,1,20030904,allocated
lacnic,CO,27695,1,20041129,allocated
lacnic,CO,27698,1,20030605,allocated
lacnic,CO,27721,1,20031020,allocated
lacnic,CO,27731,1,20040225,allocated
lacnic,CO,27753,1,20041222,allocated
lacnic,CO,27758,1,20050221,allocated
lacnic,CO,27763,1,20050401,allocated
lacnic,CO,27798,1,20051116,allocated
lacnic,CO,27803,1,20060116,allocated
lacnic,CO,27805,1,20060131,allocated
lacnic,CO,27810,1,20060222,allocated
lacnic,CO,27817,1,20060329,allocated
lacnic,CO,27831,1,20060605,allocated
lacnic,CO,27837,1,20060621,allocated
lacnic,CO,27845,1,20060809,allocated
lacnic,CO,27852,1,20060920,allocated
lacnic,CO,27855,1,20061002,allocated
lacnic,CO,27864,1,20061013,allocated
lacnic,CO,27886,1,20070312,allocated
lacnic,CO,27921,1,20070817,allocated
lacnic,CO,27937,1,20071011,allocated
lacnic,CO,27941,1,20071030,allocated
lacnic,CO,27951,1,20080117,allocated
lacnic,CO,27975,1,20080610,allocated
lacnic,CO,27989,1,20080821,allocated
lacnic,CO,27992,1,20080821,allocated
lacnic,CO,28013,1,20081023,allocated
lacnic,CO,28039,1,20090225,allocated
lacnic,CO,28070,1,20090722,allocated
lacnic,CO,28083,1,20090911,allocated
lacnic,CO,28085,1,20090923,allocated
lacnic,CO,52247,1,20100507,allocated
lacnic,CO,52256,1,20100608,allocated
lacnic,CO,52258,1,20100618,allocated
lacnic,CO,52269,1,20100728,allocated
lacnic,CO,52272,1,20100816,allocated
lacnic,CO,52320,1,20110405,allocated
lacnic,CO,52330,1,20110620,allocated
lacnic,CO,52334,1,20110719,allocated
lacnic,CO,52335,1,20110722,allocated
lacnic,CO,52434,1,20130110,allocated
lacnic,CO,52456,1,20130408,allocated
lacnic,CO,52464,1,20130429,allocated
lacnic,CO,52467,1,20130506,allocated
lacnic,CO,52488,1,20130620,allocated
lacnic,CO,61450,1,20140702,allocated
lacnic,CO,61454,1,20140704,allocated
lacnic,CO,61457,1,20140710,allocated
lacnic,CO,61463,1,20140717,allocated
lacnic,CO,61467,1,20140724,allocated
lacnic,CO,61498,1,20150506,allocated
lacnic,CO,61499,1,20150528,allocated
lacnic,CO,64122,1,20200309,allocated
lacnic,CO,64124,1,20200618,allocated
lacnic,CO,64140,1,20220617,allocated
lacnic,CO,64141,1,20220823,allocated
lacnic,CO,64142,1,20220823,allocated
lacnic,CO,64148,1,20230504,allocated
lacnic,CO,64149,1,20230504,allocated
apnic,CO,134388,1,20150715,allocated
lacnic,CO,262158,1,20120223,allocated
lacnic,CO,262160,1,20110922,allocated
lacnic,CO,262186,1,20120716,allocated
lacnic,CO,262191,1,20111003,allocated
lacnic,CO,262214,1,20120120,allocated
lacnic,CO,262215,1,20120201,allocated
lacnic,CO,262220,1,20120927,allocated
lacnic,CO,262226,1,20120720,allocated
lacnic,CO,262236,1,20120604,allocated
lacnic,CO,262245,1,20121004,allocated
lacnic,CO,262261,1,20130730,allocated
lacnic,CO,262928,1,20140307,allocated
lacnic,CO,262929,1,20140317,allocated
lacnic,CO,262930,1,20140422,allocated
lacnic,CO,263191,1,20131115,allocated
lacnic,CO,263195,1,20131127,allocated
lacnic,CO,263199,1,20131219,allocated
lacnic,CO,263202,1,20140102,allocated
lacnic,CO,263210,1,20140123,allocated
lacnic,CO,263227,1,20140505,allocated
lacnic,CO,263680,1,20140909,allocated
lacnic,CO,263691,1,20141006,allocated
lacnic,CO,263710,1,20151215,allocated
lacnic,CO,263719,1,20150102,allocated
lacnic,CO,263731,1,20150219,allocated
lacnic,CO,263743,1,20150318,allocated
lacnic,CO,263798,1,20151208,allocated
lacnic,CO,263802,1,20150722,allocated
lacnic,CO,263804,1,20150724,allocated
lacnic,CO,263819,1,20150811,allocated
lacnic,CO,263836,1,20150917,allocated
lacnic,CO,264646,1,20151130,allocated
lacnic,CO,264647,1,20151208,allocated
lacnic,CO,264648,1,20151209,allocated
lacnic,CO,264653,1,20151223,allocated
lacnic,CO,264659,1,20160111,allocated
lacnic,CO,264682,1,20160310,allocated
lacnic,CO,264693,1,20160420,allocated
lacnic,CO,264706,1,20160518,allocated
lacnic,CO,264714,1,20160602,allocated
lacnic,CO,264718,1,20160609,allocated
lacnic,CO,264762,1,20160829,allocated
lacnic,CO,264782,1,20160921,allocated
lacnic,CO,264796,1,20161019,allocated
lacnic,CO,264799,1,20161025,allocated
lacnic,CO,264803,1,20161101,allocated
lacnic,CO,264804,1,20161101,allocated
lacnic,CO,264805,1,20161103,allocated
lacnic,CO,264829,1,20161208,allocated
lacnic,CO,264835,1,20161215,allocated
lacnic,CO,264842,1,20161226,allocated
lacnic,CO,265652,1,20170209,allocated
lacnic,CO,265682,1,20170323,allocated
lacnic,CO,265688,1,20170324,allocated
lacnic,CO,265693,1,20170331,allocated
lacnic,CO,265696,1,20170403,allocated
lacnic,CO,265705,1,20170421,allocated
lacnic,CO,265833,1,20171003,allocated
lacnic,CO,265855,1,20171025,allocated
lacnic,CO,265861,1,20171030,allocated
lacnic,CO,266669,1,20171211,allocated
lacnic,CO,266698,1,20180115,allocated
lacnic,CO,266736,1,20180220,allocated
lacnic,CO,266737,1,20180221,allocated
lacnic,CO,266747,1,20180305,allocated
lacnic,CO,266770,1,20180412,allocated
lacnic,CO,266774,1,20180416,allocated
lacnic,CO,266816,1,20180528,allocated
lacnic,CO,266832,1,20180621,allocated
lacnic,CO,266848,1,20180712,allocated
lacnic,CO,266849,1,20180713,allocated
lacnic,CO,266860,1,20180720,allocated
lacnic,CO,266862,1,20180724,allocated
lacnic,CO,266868,1,20180727,allocated
lacnic,CO,266869,1,20180727,allocated
lacnic,CO,266877,1,20180807,allocated
lacnic,CO,266903,1,20180910,allocated
lacnic,CO,266906,1,20180911,allocated
lacnic,CO,267678,1,20180917,allocated
