Registry,Country,ASN,Value,Date,Status
lacnic,CR,2146,1,19930114,allocated
lacnic,CR,3790,1,19940825,allocated
lacnic,CR,11830,1,19990106,allocated
lacnic,CR,16973,1,20000707,allocated
lacnic,CR,17182,1,20000803,allocated
lacnic,CR,17376,1,20000824,allocated
lacnic,CR,18998,1,20001107,allocated
lacnic,CR,27876,1,20070117,allocated
lacnic,CR,27908,1,20070611,allocated
lacnic,CR,28022,1,20081209,allocated
lacnic,CR,28050,1,20090402,allocated
lacnic,CR,28081,1,20090827,allocated
lacnic,CR,28086,1,20090928,allocated
lacnic,CR,28110,1,20100111,allocated
lacnic,CR,28317,1,20140317,allocated
lacnic,CR,52228,1,20100302,allocated
lacnic,CR,52263,1,20100702,allocated
lacnic,CR,52342,1,20110822,allocated
lacnic,CR,52356,1,20111222,allocated
lacnic,CR,52385,1,20120802,allocated
lacnic,CR,52392,1,20120828,allocated
lacnic,CR,52395,1,20120903,allocated
lacnic,CR,52408,1,20120928,allocated
lacnic,CR,52423,1,20121115,allocated
lacnic,CR,52429,1,20121214,allocated
lacnic,CR,52463,1,20130424,allocated
lacnic,CR,52470,1,20130510,allocated
lacnic,CR,52476,1,20130522,allocated
lacnic,CR,61462,1,20140716,allocated
lacnic,CR,61464,1,20140723,allocated
lacnic,CR,61479,1,20140807,allocated
lacnic,CR,61489,1,20140902,allocated
lacnic,CR,64102,1,20161103,allocated
lacnic,CR,262145,1,20110810,allocated
lacnic,CR,262149,1,20101208,allocated
lacnic,CR,262152,1,20110201,allocated
lacnic,CR,262171,1,20110727,allocated
lacnic,CR,262172,1,20110722,allocated
lacnic,CR,262184,1,20110919,allocated
lacnic,CR,262197,1,20130709,allocated
lacnic,CR,262202,1,20120316,allocated
lacnic,CR,262217,1,20120207,allocated
lacnic,CR,262241,1,20120629,allocated
lacnic,CR,262242,1,20120725,allocated
lacnic,CR,262252,1,20121115,allocated
lacnic,CR,263220,1,20140408,allocated
lacnic,CR,263232,1,20140508,allocated
lacnic,CR,263246,1,20140606,allocated
lacnic,CR,263248,1,20140612,allocated
lacnic,CR,263683,1,20140916,allocated
lacnic,CR,263698,1,20141022,allocated
lacnic,CR,263713,1,20141208,allocated
lacnic,CR,263749,1,20150331,allocated
lacnic,CR,263762,1,20150504,allocated
lacnic,CR,263779,1,20150610,allocated
lacnic,CR,263785,1,20150616,allocated
lacnic,CR,263796,1,20150710,allocated
lacnic,CR,263831,1,20150831,allocated
lacnic,CR,263832,1,20150901,allocated
lacnic,CR,264615,1,20151009,allocated
lacnic,CR,264621,1,20151016,allocated
lacnic,CR,264644,1,20151123,allocated
lacnic,CR,264654,1,20151228,allocated
lacnic,CR,264686,1,20160315,allocated
lacnic,CR,264763,1,20160831,allocated
lacnic,CR,264820,1,20161128,allocated
lacnic,CR,265636,1,20170127,allocated
lacnic,CR,265766,1,20170706,allocated
lacnic,CR,265797,1,20170821,allocated
lacnic,CR,265873,1,20171114,allocated
lacnic,CR,266665,1,20171206,allocated
lacnic,CR,266717,1,20180131,allocated
lacnic,CR,266718,1,20180131,allocated
lacnic,CR,266719,1,20180131,allocated
lacnic,CR,266720,1,20180131,allocated
lacnic,CR,266746,1,20180302,allocated
lacnic,CR,266853,1,20180716,allocated
lacnic,CR,266875,1,20180802,allocated
lacnic,CR,266882,1,20180815,allocated
lacnic,CR,266907,1,20180913,allocated
lacnic,CR,267692,1,20180928,allocated
lacnic,CR,267698,1,20181005,allocated
lacnic,CR,267740,1,20181212,allocated
lacnic,CR,267744,1,20181228,allocated
lacnic,CR,267858,1,20190520,allocated
lacnic,CR,269787,1,20190923,allocated
lacnic,CR,269841,1,20191118,allocated
lacnic,CR,269863,1,20191204,allocated
lacnic,CR,269884,1,20191223,allocated
lacnic,CR,270058,1,20200716,allocated
lacnic,CR,270087,1,20200817,allocated
lacnic,CR,271847,1,20210107,allocated
lacnic,CR,271889,1,20210323,allocated
lacnic,CR,271891,1,20210323,allocated
lacnic,CR,271960,1,20210817,allocated
lacnic,CR,271972,1,20210831,allocated
lacnic,CR,271999,1,20211028,allocated
lacnic,CR,272000,1,20211022,allocated
lacnic,CR,272023,1,20211213,allocated
lacnic,CR,272108,1,20220401,allocated
lacnic,CR,272130,1,20220426,allocated
lacnic,CR,272821,1,20220712,allocated
lacnic,CR,272888,1,20221017,allocated
lacnic,CR,272900,1,20221031,allocated
lacnic,CR,273139,1,20231130,allocated
lacnic,CR,273147,1,20231213,allocated
lacnic,CR,273213,1,20240409,allocated
lacnic,CR,273214,1,20240409,allocated
lacnic,CR,273215,1,20240409,allocated
lacnic,CR,273216,1,20240409,allocated
lacnic,CR,273830,1,20240517,allocated
lacnic,CR,273929,1,20240912,allocated
lacnic,CR,273939,1,20240923,allocated
lacnic,CR,273987,1,20241121,allocated
lacnic,CR,274016,1,20250102,allocated
lacnic,CR,274032,1,20250121,allocated
lacnic,CR,274079,1,20250324,allocated
lacnic,CR,274108,1,20250502,allocated
lacnic,CR,274133,1,20250609,allocated
lacnic,CR,274158,1,20250702,allocated
