Registry,Country,ASN,Value,Date,Status
lacnic,CW,4964,1,19950524,allocated
lacnic,CW,11081,1,19980402,allocated
lacnic,CW,13991,1,19990929,allocated
lacnic,CW,14179,1,19991103,allocated
lacnic,CW,14316,1,19991124,allocated
lacnic,CW,26173,1,20020718,allocated
lacnic,CW,26434,1,20020918,allocated
lacnic,CW,26505,1,20021003,allocated
lacnic,CW,27660,1,20030224,allocated
lacnic,CW,27728,1,20031218,allocated
lacnic,CW,27748,1,20040617,allocated
lacnic,CW,27752,1,20040805,allocated
lacnic,CW,27762,1,20050328,allocated
lacnic,CW,27970,1,20080521,allocated
lacnic,CW,28017,1,20081113,allocated
ripencc,CW,52165,1,20170116,allocated
lacnic,CW,52233,1,20100408,allocated
lacnic,CW,52249,1,20100518,allocated
lacnic,CW,52301,1,20101207,allocated
lacnic,CW,52344,1,20110906,allocated
lacnic,CW,52391,1,20120827,allocated
lacnic,CW,52462,1,20130419,allocated
ripencc,CW,60906,1,20180907,allocated
lacnic,CW,61473,1,20140730,allocated
lacnic,CW,61474,1,20140730,allocated
ripencc,CW,199160,1,20230324,allocated
ripencc,CW,199174,1,20230324,allocated
ripencc,CW,202955,1,20160426,allocated
lacnic,CW,262162,1,20110818,allocated
lacnic,CW,262164,1,20111111,allocated
lacnic,CW,262177,1,20110907,allocated
lacnic,CW,262238,1,20120605,allocated
lacnic,CW,263706,1,20141114,allocated
lacnic,CW,265825,1,20170921,allocated
lacnic,CW,266780,1,20180418,allocated
lacnic,CW,272996,1,20230504,allocated
lacnic,CW,274034,1,20250123,allocated
lacnic,CW,274122,1,20250522,allocated
lacnic,CW,274149,1,20250618,allocated
