Registry,Country,ASN,Value,Date,Status
ripencc,CY,3268,1,19941114,allocated
ripencc,CY,5425,1,19950925,allocated
ripencc,CY,5504,1,19951228,allocated
ripencc,CY,5531,1,20090121,allocated
ripencc,CY,6866,1,19961211,allocated
ripencc,CY,8544,1,19971112,allocated
ripencc,CY,8639,1,20151013,allocated
ripencc,CY,9139,1,19990107,allocated
ripencc,CY,12567,1,20150925,allocated
ripencc,CY,12678,1,20110615,allocated
ripencc,CY,15805,1,20001017,allocated
ripencc,CY,16229,1,20010202,allocated
ripencc,CY,21427,1,20150909,allocated
ripencc,CY,24655,1,20020207,allocated
ripencc,CY,24672,1,20020213,allocated
ripencc,CY,25425,1,20021119,allocated
ripencc,CY,29171,1,20030620,allocated
ripencc,CY,29639,1,20031029,allocated
ripencc,CY,30916,1,20040115,allocated
ripencc,CY,34480,1,20050131,allocated
ripencc,CY,34775,1,20050401,allocated
ripencc,CY,35432,1,20050805,allocated
ripencc,CY,39666,1,20060405,allocated
ripencc,CY,39935,1,20060519,allocated
ripencc,CY,40809,1,20140514,allocated
ripencc,CY,41657,1,20060929,allocated
ripencc,CY,41697,1,20061010,allocated
ripencc,CY,42913,1,20170308,allocated
ripencc,CY,43644,1,20070906,allocated
ripencc,CY,43779,1,20150213,allocated
ripencc,CY,44364,1,20161110,allocated
ripencc,CY,44550,1,20231130,allocated
ripencc,CY,44559,1,20231129,allocated
ripencc,CY,47583,1,20110404,allocated
ripencc,CY,48285,1,20081104,allocated
ripencc,CY,48623,1,20081218,allocated
ripencc,CY,48988,1,20230228,allocated
ripencc,CY,49338,1,20090522,allocated
ripencc,CY,49768,1,20220405,allocated
ripencc,CY,49921,1,20091013,allocated
ripencc,CY,50007,1,20181211,allocated
ripencc,CY,50233,1,20091208,allocated
ripencc,CY,50769,1,20221221,allocated
ripencc,CY,50996,1,20100511,allocated
ripencc,CY,51228,1,20100625,allocated
ripencc,CY,51297,1,20100716,allocated
ripencc,CY,51351,1,20210715,allocated
ripencc,CY,51606,1,20101006,allocated
ripencc,CY,51609,1,20210701,allocated
ripencc,CY,52080,1,20180321,allocated
ripencc,CY,56355,1,20110209,allocated
ripencc,CY,56418,1,20181127,allocated
ripencc,CY,56528,1,20110311,allocated
ripencc,CY,56860,1,20151211,allocated
ripencc,CY,56884,1,20221227,allocated
ripencc,CY,57104,1,20110720,allocated
ripencc,CY,58181,1,20120523,allocated
ripencc,CY,59406,1,20230627,allocated
