Registry,Country,ASN,Value,Date,Status
ripencc,CZ,2118,1,19930217,allocated
arin,CZ,2571,1,19930407,assigned
ripencc,CZ,2605,1,19931006,allocated
ripencc,CZ,2819,1,19931122,allocated
ripencc,CZ,2852,1,19931220,allocated
ripencc,CZ,3161,1,20120425,allocated
ripencc,CZ,3234,1,19940628,allocated
ripencc,CZ,5588,1,19960328,allocated
ripencc,CZ,5610,1,19960425,allocated
ripencc,CZ,6740,1,19960815,allocated
ripencc,CZ,6881,1,19961223,allocated
ripencc,CZ,8251,1,20060717,allocated
ripencc,CZ,8646,1,20151013,allocated
ripencc,CZ,8747,1,19980407,allocated
ripencc,CZ,8882,1,19980709,allocated
ripencc,CZ,8913,1,19980731,allocated
ripencc,CZ,9053,1,20110113,allocated
ripencc,CZ,9080,1,19981201,allocated
ripencc,CZ,12344,1,20150930,allocated
ripencc,CZ,12570,1,19990728,allocated
ripencc,CZ,12767,1,19991102,allocated
ripencc,CZ,12984,1,20150922,allocated
ripencc,CZ,13036,1,20000224,allocated
ripencc,CZ,13199,1,20150916,allocated
ripencc,CZ,15380,1,20021104,allocated
ripencc,CZ,15425,1,20040714,allocated
ripencc,CZ,15485,1,20000713,allocated
ripencc,CZ,15512,1,20000724,allocated
ripencc,CZ,15614,1,20020516,allocated
ripencc,CZ,15685,1,20000911,allocated
ripencc,CZ,15935,1,20001107,allocated
ripencc,CZ,16019,1,20001124,allocated
ripencc,CZ,16246,1,20010207,allocated
ripencc,CZ,20609,1,20150807,allocated
ripencc,CZ,20643,1,20150807,allocated
ripencc,CZ,20701,1,20010510,allocated
ripencc,CZ,20708,1,20010511,allocated
ripencc,CZ,20723,1,20010514,allocated
ripencc,CZ,20884,1,20010627,allocated
ripencc,CZ,21045,1,20010806,allocated
ripencc,CZ,21082,1,20010820,allocated
ripencc,CZ,21142,1,20010907,allocated
ripencc,CZ,21241,1,20011004,allocated
ripencc,CZ,21430,1,20011207,allocated
ripencc,CZ,24641,1,20020201,allocated
ripencc,CZ,24806,1,20020404,allocated
ripencc,CZ,24971,1,20020611,allocated
ripencc,CZ,25036,1,20020704,allocated
ripencc,CZ,25093,1,20020723,allocated
ripencc,CZ,25192,1,20020828,allocated
ripencc,CZ,25234,1,20020909,allocated
ripencc,CZ,25238,1,20020910,allocated
ripencc,CZ,25248,1,20020911,allocated
ripencc,CZ,25321,1,20021001,allocated
ripencc,CZ,25424,1,20021119,allocated
ripencc,CZ,25512,1,20021217,allocated
ripencc,CZ,28725,1,20030210,allocated
ripencc,CZ,28755,1,20030217,allocated
ripencc,CZ,28892,1,20030327,allocated
ripencc,CZ,28905,1,20030401,allocated
ripencc,CZ,28972,1,20030424,allocated
ripencc,CZ,29086,1,20030530,allocated
ripencc,CZ,29113,1,20030606,allocated
ripencc,CZ,29134,1,20030612,allocated
ripencc,CZ,29208,1,20030701,allocated
ripencc,CZ,29321,1,20030731,allocated
ripencc,CZ,29401,1,20150528,allocated
ripencc,CZ,29504,1,20150527,allocated
ripencc,CZ,29583,1,20031016,allocated
ripencc,CZ,30738,1,20100312,allocated
ripencc,CZ,30764,1,20031127,allocated
ripencc,CZ,31246,1,20040330,allocated
ripencc,CZ,31349,1,20150518,allocated
ripencc,CZ,31461,1,20040524,allocated
ripencc,CZ,31559,1,20111220,allocated
ripencc,CZ,33877,1,20150507,allocated
ripencc,CZ,33883,1,20040831,allocated
ripencc,CZ,33943,1,20040914,allocated
ripencc,CZ,34040,1,20041007,allocated
ripencc,CZ,34049,1,20041011,allocated
ripencc,CZ,34070,1,20090807,allocated
ripencc,CZ,34080,1,20041019,allocated
ripencc,CZ,34222,1,20041122,allocated
ripencc,CZ,34315,1,20041215,allocated
ripencc,CZ,34475,1,20191128,allocated
ripencc,CZ,34487,1,20191127,allocated
ripencc,CZ,34596,1,20191115,allocated
ripencc,CZ,34819,1,20190927,allocated
ripencc,CZ,34911,1,20150414,allocated
ripencc,CZ,34955,1,20111209,allocated
ripencc,CZ,35046,1,20050523,allocated
ripencc,CZ,35096,1,20050602,allocated
ripencc,CZ,35136,1,20190405,allocated
ripencc,CZ,35214,1,20050624,allocated
ripencc,CZ,35236,1,20050629,allocated
ripencc,CZ,35361,1,20050722,allocated
ripencc,CZ,35592,1,20050913,allocated
ripencc,CZ,35613,1,20050916,allocated
ripencc,CZ,38952,1,20051117,allocated
ripencc,CZ,39050,1,20201211,allocated
ripencc,CZ,39392,1,20060214,allocated
ripencc,CZ,39453,1,20060227,allocated
ripencc,CZ,39455,1,20150129,allocated
ripencc,CZ,39736,1,20171027,allocated
ripencc,CZ,39761,1,20060421,allocated
ripencc,CZ,39790,1,20060425,allocated
ripencc,CZ,39791,1,20060425,allocated
ripencc,CZ,39817,1,20060428,allocated
ripencc,CZ,39896,1,20150123,allocated
ripencc,CZ,39904,1,20060512,allocated
ripencc,CZ,39906,1,20060512,allocated
ripencc,CZ,40964,1,20060522,allocated
ripencc,CZ,41030,1,20110331,allocated
ripencc,CZ,41046,1,20060606,allocated
ripencc,CZ,41088,1,20060612,allocated
ripencc,CZ,41359,1,20170914,allocated
ripencc,CZ,41453,1,20060823,allocated
ripencc,CZ,41456,1,20060824,allocated
ripencc,CZ,41509,1,20060905,allocated
ripencc,CZ,41670,1,20061004,allocated
ripencc,CZ,41711,1,20061012,allocated
ripencc,CZ,41779,1,20170704,allocated
ripencc,CZ,41824,1,20061031,allocated
ripencc,CZ,42000,1,20061130,allocated
ripencc,CZ,42189,1,20070110,allocated
ripencc,CZ,42306,1,20070130,allocated
ripencc,CZ,42422,1,20210305,allocated
ripencc,CZ,42726,1,20170320,allocated
ripencc,CZ,42908,1,20070509,allocated
ripencc,CZ,43037,1,20070529,allocated
ripencc,CZ,43070,1,20070601,allocated
ripencc,CZ,43413,1,20070727,allocated
ripencc,CZ,43500,1,20170217,allocated
ripencc,CZ,43507,1,20070814,allocated
ripencc,CZ,43523,1,20070816,allocated
ripencc,CZ,43541,1,20070820,allocated
ripencc,CZ,43542,1,20070820,allocated
ripencc,CZ,43614,1,20110202,allocated
ripencc,CZ,43708,1,20070917,allocated
ripencc,CZ,43709,1,20070918,allocated
ripencc,CZ,43757,1,20070924,allocated
ripencc,CZ,43866,1,20071011,allocated
ripencc,CZ,43895,1,20071017,allocated
ripencc,CZ,44002,1,20071101,allocated
ripencc,CZ,44065,1,20071113,allocated
ripencc,CZ,44070,1,20071113,allocated
ripencc,CZ,44104,1,20090806,allocated
ripencc,CZ,44424,1,20080117,allocated
ripencc,CZ,44430,1,20080118,allocated
ripencc,CZ,44489,1,20080128,allocated
ripencc,CZ,44500,1,20141210,allocated
ripencc,CZ,44546,1,20080205,allocated
ripencc,CZ,44672,1,20080222,allocated
ripencc,CZ,44712,1,20120821,allocated
ripencc,CZ,44770,1,20080306,allocated
ripencc,CZ,44984,1,20161028,allocated
ripencc,CZ,46553,1,20170906,allocated
ripencc,CZ,47110,1,20160413,allocated
ripencc,CZ,47114,1,20080428,allocated
ripencc,CZ,47131,1,20080502,allocated
ripencc,CZ,47200,1,20080515,allocated
ripencc,CZ,47232,1,20080521,allocated
ripencc,CZ,47269,1,20080527,allocated
ripencc,CZ,47317,1,20080602,allocated
ripencc,CZ,47493,1,20080625,allocated
ripencc,CZ,47627,1,20141209,allocated
ripencc,CZ,47681,1,20080731,allocated
ripencc,CZ,47727,1,20080808,allocated
ripencc,CZ,47749,1,20080813,allocated
ripencc,CZ,47767,1,20080815,allocated
ripencc,CZ,47834,1,20080829,allocated
ripencc,CZ,47868,1,20080908,allocated
ripencc,CZ,47949,1,20080919,allocated
ripencc,CZ,48091,1,20081010,allocated
ripencc,CZ,48131,1,20191009,allocated
ripencc,CZ,48298,1,20081107,allocated
ripencc,CZ,48364,1,20081118,allocated
ripencc,CZ,48405,1,20081121,allocated
ripencc,CZ,48417,1,20081125,allocated
ripencc,CZ,48451,1,20081127,allocated
ripencc,CZ,48574,1,20081211,allocated
ripencc,CZ,48602,1,20160229,allocated
ripencc,CZ,48661,1,20081224,allocated
ripencc,CZ,48889,1,20190801,allocated
ripencc,CZ,48926,1,20090302,allocated
ripencc,CZ,48960,1,20090310,allocated
ripencc,CZ,49013,1,20160216,allocated
ripencc,CZ,49025,1,20090326,allocated
ripencc,CZ,49095,1,20191009,allocated
ripencc,CZ,49101,1,20090414,allocated
ripencc,CZ,49121,1,20160929,allocated
ripencc,CZ,49142,1,20160222,allocated
ripencc,CZ,49244,1,20211104,allocated
ripencc,CZ,49262,1,20200207,allocated
ripencc,CZ,49573,1,20170710,allocated
ripencc,CZ,49580,1,20090708,allocated
ripencc,CZ,49767,1,20090908,allocated
ripencc,CZ,49890,1,20091005,allocated
ripencc,CZ,49931,1,20091014,allocated
ripencc,CZ,49985,1,20091021,allocated
ripencc,CZ,50067,1,20200310,allocated
ripencc,CZ,50097,1,20091116,allocated
ripencc,CZ,50100,1,20220404,allocated
ripencc,CZ,50163,1,20091124,allocated
ripencc,CZ,50301,1,20091216,allocated
ripencc,CZ,50338,1,20231102,allocated
ripencc,CZ,50348,1,20091222,allocated
ripencc,CZ,50398,1,20100916,allocated
ripencc,CZ,50415,1,20180507,allocated
ripencc,CZ,50491,1,20100128,allocated
ripencc,CZ,50651,1,20211214,allocated
ripencc,CZ,50695,1,20100310,allocated
ripencc,CZ,50698,1,20100310,allocated
ripencc,CZ,50784,1,20160714,allocated
ripencc,CZ,50825,1,20100331,allocated
ripencc,CZ,50833,1,20110203,allocated
ripencc,CZ,50971,1,20100504,allocated
ripencc,CZ,50975,1,20100506,allocated
ripencc,CZ,50980,1,20160107,allocated
ripencc,CZ,51025,1,20100519,allocated
ripencc,CZ,51134,1,20100607,allocated
ripencc,CZ,51210,1,20100623,allocated
ripencc,CZ,51248,1,20100630,allocated
ripencc,CZ,51278,1,20100709,allocated
ripencc,CZ,51331,1,20180301,allocated
ripencc,CZ,51382,1,20100805,allocated
ripencc,CZ,51400,1,20100813,allocated
ripencc,CZ,51420,1,20100819,allocated
ripencc,CZ,51424,1,20100820,allocated
ripencc,CZ,51449,1,20141104,allocated
ripencc,CZ,51463,1,20100831,allocated
ripencc,CZ,51521,1,20100916,allocated
ripencc,CZ,51524,1,20100917,allocated
ripencc,CZ,51586,1,20230117,allocated
ripencc,CZ,51661,1,20221102,allocated
ripencc,CZ,51727,1,20101026,allocated
ripencc,CZ,51744,1,20101029,allocated
ripencc,CZ,51800,1,20101105,allocated
ripencc,CZ,51968,1,20101208,allocated
ripencc,CZ,52029,1,20101217,allocated
ripencc,CZ,52058,1,20101221,allocated
ripencc,CZ,52084,1,20101223,allocated
ripencc,CZ,52092,1,20101227,allocated
ripencc,CZ,52095,1,20101227,allocated
ripencc,CZ,52115,1,20101229,allocated
ripencc,CZ,52130,1,20110105,allocated
ripencc,CZ,52154,1,20110110,allocated
ripencc,CZ,52176,1,20110120,allocated
ripencc,CZ,54444,1,20120222,allocated
ripencc,CZ,56344,1,20110208,allocated
ripencc,CZ,56353,1,20110209,allocated
ripencc,CZ,56360,1,20110210,allocated
ripencc,CZ,56427,1,20110218,allocated
ripencc,CZ,56450,1,20110223,allocated
ripencc,CZ,56456,1,20110224,allocated
ripencc,CZ,56566,1,20110321,allocated
ripencc,CZ,56624,1,20110412,allocated
ripencc,CZ,56717,1,20110503,allocated
ripencc,CZ,56821,1,20180918,allocated
ripencc,CZ,56827,1,20110523,allocated
ripencc,CZ,56891,1,20110606,allocated
ripencc,CZ,56973,1,20110627,allocated
ripencc,CZ,57007,1,20110701,allocated
ripencc,CZ,57069,1,20110712,allocated
ripencc,CZ,57077,1,20110714,allocated
ripencc,CZ,57081,1,20160113,allocated
ripencc,CZ,57158,1,20110809,allocated
ripencc,CZ,57188,1,20110815,allocated
ripencc,CZ,57279,1,20110914,allocated
ripencc,CZ,57287,1,20110914,allocated
ripencc,CZ,57288,1,20110914,allocated
ripencc,CZ,57294,1,20110915,allocated
ripencc,CZ,57472,1,20111104,allocated
ripencc,CZ,57496,1,20111114,allocated
ripencc,CZ,57560,1,20111129,allocated
ripencc,CZ,57707,1,20120120,allocated
ripencc,CZ,57728,1,20191021,allocated
ripencc,CZ,57823,1,20120216,allocated
ripencc,CZ,57825,1,20210108,allocated
ripencc,CZ,57904,1,20120308,allocated
ripencc,CZ,58215,1,20120529,allocated
ripencc,CZ,58220,1,20160527,allocated
ripencc,CZ,58239,1,20120601,allocated
ripencc,CZ,59479,1,20120720,allocated
ripencc,CZ,59664,1,20120914,allocated
ripencc,CZ,59747,1,20220228,allocated
ripencc,CZ,59871,1,20140826,allocated
ripencc,CZ,59925,1,20140807,allocated
ripencc,CZ,59959,1,20180126,allocated
ripencc,CZ,59970,1,20140717,allocated
ripencc,CZ,59984,1,20140710,allocated
ripencc,CZ,60086,1,20140526,allocated
ripencc,CZ,60143,1,20140430,allocated
ripencc,CZ,60208,1,20130904,allocated
ripencc,CZ,60218,1,20130903,allocated
ripencc,CZ,60266,1,20130822,allocated
ripencc,CZ,60275,1,20130821,allocated
ripencc,CZ,60529,1,20130702,allocated
ripencc,CZ,60584,1,20211019,allocated
ripencc,CZ,60592,1,20130619,allocated
ripencc,CZ,60606,1,20181207,allocated
ripencc,CZ,60724,1,20161221,allocated
ripencc,CZ,60727,1,20130529,allocated
ripencc,CZ,61110,1,20130213,allocated
ripencc,CZ,61169,1,20130124,allocated
ripencc,CZ,61195,1,20130116,allocated
ripencc,CZ,61296,1,20170227,allocated
ripencc,CZ,61425,1,20121015,allocated
ripencc,CZ,61973,1,20170613,allocated
ripencc,CZ,61981,1,20140404,allocated
ripencc,CZ,62011,1,20140325,allocated
ripencc,CZ,62083,1,20140220,allocated
ripencc,CZ,62099,1,20140214,allocated
ripencc,CZ,62102,1,20140213,allocated
ripencc,CZ,62159,1,20140121,allocated
ripencc,CZ,62176,1,20140113,allocated
ripencc,CZ,62178,1,20140113,allocated
ripencc,CZ,62298,1,20200106,allocated
ripencc,CZ,62405,1,20131007,allocated
arin,CZ,63113,1,20140718,assigned
ripencc,CZ,196653,1,20100423,allocated
ripencc,CZ,196684,1,20091207,allocated
ripencc,CZ,196735,1,20090825,allocated
ripencc,CZ,196762,1,20110203,allocated
ripencc,CZ,196815,1,20091019,allocated
ripencc,CZ,196822,1,20090714,allocated
ripencc,CZ,196843,1,20091027,allocated
ripencc,CZ,196849,1,20111102,allocated
ripencc,CZ,196861,1,20091130,allocated
ripencc,CZ,196873,1,20091216,allocated
ripencc,CZ,196916,1,20100201,allocated
ripencc,CZ,196943,1,20100219,allocated
ripencc,CZ,196952,1,20100304,allocated
ripencc,CZ,197013,1,20100408,allocated
ripencc,CZ,197019,1,20100722,allocated
ripencc,CZ,197029,1,20100420,allocated
ripencc,CZ,197046,1,20100503,allocated
ripencc,CZ,197083,1,20110414,allocated
ripencc,CZ,197197,1,20100728,allocated
ripencc,CZ,197206,1,20110204,allocated
ripencc,CZ,197277,1,20100920,allocated
ripencc,CZ,197296,1,20110118,allocated
ripencc,CZ,197307,1,20101011,allocated
ripencc,CZ,197353,1,20110127,allocated
ripencc,CZ,197376,1,20101109,allocated
ripencc,CZ,197393,1,20101115,allocated
ripencc,CZ,197412,1,20101119,allocated
ripencc,CZ,197426,1,20230802,allocated
ripencc,CZ,197444,1,20101206,allocated
ripencc,CZ,197451,1,20101208,allocated
ripencc,CZ,197542,1,20110127,allocated
ripencc,CZ,197550,1,20110128,allocated
ripencc,CZ,197565,1,20110209,allocated
ripencc,CZ,197566,1,20110209,allocated
ripencc,CZ,197694,1,20110328,allocated
ripencc,CZ,197798,1,20110506,allocated
ripencc,CZ,197846,1,20110526,allocated
ripencc,CZ,197875,1,20110930,allocated
ripencc,CZ,197879,1,20110608,allocated
ripencc,CZ,197895,1,20110615,allocated
ripencc,CZ,197920,1,20110627,allocated
