Registry,Country,ASN,Value,Date,Status
ripencc,DE,28,1,19930901,allocated
ripencc,DE,288,1,19930901,allocated
ripencc,DE,553,1,19930901,allocated
ripencc,DE,680,1,19930901,allocated
ripencc,DE,1754,1,19930901,allocated
ripencc,DE,1893,1,19930901,allocated
ripencc,DE,1895,1,19920825,allocated
ripencc,DE,1898,1,19921005,allocated
ripencc,DE,2117,1,19930211,allocated
ripencc,DE,2125,1,19930304,allocated
ripencc,DE,2773,1,19930823,allocated
ripencc,DE,2775,1,19930823,allocated
ripencc,DE,2776,1,19930823,allocated
ripencc,DE,2777,1,19930823,allocated
ripencc,DE,2778,1,19930823,allocated
ripencc,DE,2780,1,19930823,allocated
ripencc,DE,2782,1,19930823,allocated
ripencc,DE,2792,1,19930823,allocated
ripencc,DE,2822,1,19931125,allocated
ripencc,DE,2851,1,20151119,allocated
ripencc,DE,2857,1,19931227,allocated
ripencc,DE,2861,1,19940127,allocated
ripencc,DE,3163,1,20120425,allocated
ripencc,DE,3209,1,19940406,allocated
ripencc,DE,3211,1,19940406,allocated
ripencc,DE,3214,1,20151116,allocated
ripencc,DE,3247,1,19940809,allocated
ripencc,DE,3271,1,19941121,allocated
ripencc,DE,3278,1,20010619,allocated
ripencc,DE,3320,1,19950223,allocated
ripencc,DE,3331,1,20151105,allocated
ripencc,DE,3337,1,20151104,allocated
ripencc,DE,3624,1,20151102,allocated
ripencc,DE,5401,1,19950815,allocated
ripencc,DE,5405,1,19950817,allocated
ripencc,DE,5409,1,19950907,allocated
ripencc,DE,5430,1,19951006,allocated
ripencc,DE,5501,1,19951215,allocated
ripencc,DE,5517,1,19960116,allocated
ripencc,DE,5520,1,19960123,allocated
ripencc,DE,5521,1,19960123,allocated
ripencc,DE,5539,1,19960205,allocated
ripencc,DE,5549,1,19960215,allocated
ripencc,DE,5605,1,19960423,allocated
ripencc,DE,6659,1,19960530,allocated
ripencc,DE,6666,1,19960610,allocated
ripencc,DE,6687,1,20090723,allocated
ripencc,DE,6695,1,19960628,allocated
ripencc,DE,6724,1,20021120,allocated
ripencc,DE,6733,1,19960801,allocated
ripencc,DE,6735,1,19960802,allocated
ripencc,DE,6751,1,19960828,allocated
ripencc,DE,6766,1,20151023,allocated
ripencc,DE,6786,1,19961009,allocated
ripencc,DE,6787,1,19961010,allocated
ripencc,DE,6805,1,19961029,allocated
ripencc,DE,6825,1,19961111,allocated
ripencc,DE,6833,1,20090716,allocated
ripencc,DE,6878,1,19961218,allocated
ripencc,DE,6900,1,19970116,allocated
ripencc,DE,8196,1,19970204,allocated
ripencc,DE,8204,1,19970211,allocated
ripencc,DE,8208,1,19970212,allocated
ripencc,DE,8222,1,19970226,allocated
ripencc,DE,8268,1,20151021,allocated
ripencc,DE,8292,1,20090819,allocated
ripencc,DE,8303,1,19970507,allocated
ripencc,DE,8319,1,19970527,allocated
ripencc,DE,8351,1,19970618,allocated
ripencc,DE,8354,1,19970620,allocated
ripencc,DE,8360,1,19970627,allocated
ripencc,DE,8365,1,19970630,allocated
ripencc,DE,8373,1,19970704,allocated
ripencc,DE,8375,1,19970708,allocated
ripencc,DE,8391,1,19970722,allocated
ripencc,DE,8405,1,19970804,allocated
ripencc,DE,8422,1,19970814,allocated
ripencc,DE,8454,1,20090728,allocated
ripencc,DE,8469,1,19970910,allocated
ripencc,DE,8481,1,19970919,allocated
ripencc,DE,8489,1,20110803,allocated
ripencc,DE,8495,1,19971008,allocated
ripencc,DE,8519,1,19971023,allocated
ripencc,DE,8520,1,19971023,allocated
ripencc,DE,8549,1,19971114,allocated
ripencc,DE,8560,1,19971126,allocated
ripencc,DE,8561,1,19971126,allocated
ripencc,DE,8569,1,19971203,allocated
ripencc,DE,8590,1,19971218,allocated
ripencc,DE,8638,1,19980129,allocated
ripencc,DE,8648,1,19980206,allocated
ripencc,DE,8649,1,20100301,allocated
ripencc,DE,8687,1,19980227,allocated
ripencc,DE,8731,1,19980326,allocated
ripencc,DE,8735,1,19980327,allocated
ripencc,DE,8741,1,19980407,allocated
ripencc,DE,8763,1,19980424,allocated
ripencc,DE,8767,1,19980428,allocated
ripencc,DE,8792,1,19980526,allocated
ripencc,DE,8793,1,20111109,allocated
ripencc,DE,8794,1,19980526,allocated
ripencc,DE,8804,1,19980529,allocated
ripencc,DE,8820,1,19980608,allocated
ripencc,DE,8823,1,19980609,allocated
ripencc,DE,8826,1,19980609,allocated
ripencc,DE,8859,1,19980629,allocated
ripencc,DE,8874,1,20151008,allocated
ripencc,DE,8875,1,20040727,allocated
ripencc,DE,8878,1,20090925,allocated
ripencc,DE,8879,1,19980708,allocated
ripencc,DE,8881,1,19980708,allocated
ripencc,DE,8885,1,20020613,allocated
ripencc,DE,8893,1,19980721,allocated
ripencc,DE,8899,1,19980723,allocated
ripencc,DE,8925,1,19980812,allocated
ripencc,DE,8937,1,19980820,allocated
ripencc,DE,8940,1,19980821,allocated
ripencc,DE,8956,1,19980831,allocated
ripencc,DE,8972,1,20011012,allocated
ripencc,DE,9007,1,19981007,allocated
ripencc,DE,9020,1,19981022,allocated
ripencc,DE,9022,1,20040809,allocated
ripencc,DE,9030,1,19981028,allocated
ripencc,DE,9033,1,19981028,allocated
ripencc,DE,9063,1,19981118,allocated
ripencc,DE,9066,1,19981119,allocated
ripencc,DE,9067,1,19981120,allocated
ripencc,DE,9083,1,19981203,allocated
ripencc,DE,9099,1,19981214,allocated
ripencc,DE,9132,1,19990105,allocated
ripencc,DE,9135,1,19990106,allocated
ripencc,DE,9136,1,19990106,allocated
ripencc,DE,9145,1,19990111,allocated
