Registry,Country,ASN,Value,Date,Status
ripencc,DK,692,1,19900723,allocated
ripencc,DK,2109,1,19921113,allocated
ripencc,DK,2603,1,19930930,allocated
ripencc,DK,3240,1,19980806,allocated
ripencc,DK,3272,1,19941121,allocated
ripencc,DK,3292,1,19950117,allocated
ripencc,DK,3321,1,19950223,allocated
ripencc,DK,3342,1,20151102,allocated
ripencc,DK,5491,1,20111130,allocated
ripencc,DK,5599,1,19960419,allocated
ripencc,DK,5624,1,19960508,allocated
ripencc,DK,6785,1,19961008,allocated
ripencc,DK,6811,1,19961101,allocated
ripencc,DK,6834,1,19961118,allocated
ripencc,DK,8273,1,20061115,allocated
ripencc,DK,8322,1,19970528,allocated
ripencc,DK,8502,1,20151015,allocated
ripencc,DK,8526,1,19971029,allocated
ripencc,DK,8989,1,19980925,allocated
ripencc,DK,9120,1,19981229,allocated
ripencc,DK,9158,1,19990119,allocated
ripencc,DK,9171,1,20100806,allocated
ripencc,DK,12483,1,19990611,allocated
ripencc,DK,12617,1,20090730,allocated
ripencc,DK,12834,1,19991201,allocated
ripencc,DK,13057,1,20000306,allocated
ripencc,DK,15411,1,20000622,allocated
ripencc,DK,15423,1,20000627,allocated
ripencc,DK,15459,1,20151112,allocated
ripencc,DK,15516,1,20000725,allocated
ripencc,DK,15687,1,20000912,allocated
ripencc,DK,15849,1,20001024,allocated
ripencc,DK,16095,1,20001219,allocated
ripencc,DK,16245,1,20010207,allocated
ripencc,DK,20618,1,20010420,allocated
ripencc,DK,20681,1,20010507,allocated
ripencc,DK,20984,1,20010717,allocated
ripencc,DK,21060,1,20010810,allocated
ripencc,DK,21456,1,20011214,allocated
ripencc,DK,21465,1,20011218,allocated
ripencc,DK,24584,1,20020108,allocated
ripencc,DK,24800,1,20150709,allocated
ripencc,DK,24853,1,20020423,allocated
ripencc,DK,24969,1,20020611,allocated
ripencc,DK,25111,1,20020729,allocated
ripencc,DK,25352,1,20021014,allocated
ripencc,DK,25384,1,20021107,allocated
ripencc,DK,28717,1,20030206,allocated
ripencc,DK,28826,1,20030305,allocated
ripencc,DK,29100,1,20030604,allocated
ripencc,DK,29139,1,20030613,allocated
ripencc,DK,29156,1,20030617,allocated
ripencc,DK,29266,1,20030716,allocated
ripencc,DK,29331,1,20030804,allocated
ripencc,DK,29542,1,20031008,allocated
ripencc,DK,30736,1,20031231,allocated
ripencc,DK,30772,1,20031201,allocated
ripencc,DK,31027,1,20040210,allocated
ripencc,DK,31130,1,20040305,allocated
ripencc,DK,31131,1,20040305,allocated
ripencc,DK,31590,1,20040618,allocated
ripencc,DK,31709,1,20040722,allocated
ripencc,DK,33796,1,20040802,allocated
ripencc,DK,33916,1,20040906,allocated
ripencc,DK,34027,1,20041004,allocated
ripencc,DK,34165,1,20041109,allocated
ripencc,DK,34482,1,20050128,allocated
ripencc,DK,34506,1,20130619,allocated
ripencc,DK,34670,1,20191031,allocated
ripencc,DK,34705,1,20050321,allocated
ripencc,DK,34848,1,20050418,allocated
ripencc,DK,34932,1,20050502,allocated
ripencc,DK,35028,1,20050519,allocated
ripencc,DK,35033,1,20050519,allocated
ripencc,DK,35127,1,20190411,allocated
ripencc,DK,35158,1,20050615,allocated
ripencc,DK,35376,1,20050726,allocated
ripencc,DK,35589,1,20050912,allocated
ripencc,DK,35637,1,20050921,allocated
ripencc,DK,35678,1,20051004,allocated
ripencc,DK,35789,1,20051026,allocated
ripencc,DK,35817,1,20181121,allocated
ripencc,DK,39026,1,20051130,allocated
ripencc,DK,39500,1,20060308,allocated
ripencc,DK,39554,1,20060317,allocated
ripencc,DK,39590,1,20060322,allocated
ripencc,DK,39642,1,20060331,allocated
ripencc,DK,39672,1,20060406,allocated
ripencc,DK,39839,1,20060503,allocated
ripencc,DK,39880,1,20171012,allocated
ripencc,DK,41014,1,20060530,allocated
ripencc,DK,41016,1,20060531,allocated
ripencc,DK,41076,1,20060609,allocated
ripencc,DK,41240,1,20060706,allocated
ripencc,DK,41306,1,20170817,allocated
ripencc,DK,41629,1,20060926,allocated
ripencc,DK,41707,1,20061012,allocated
ripencc,DK,41741,1,20061017,allocated
ripencc,DK,41746,1,20061018,allocated
ripencc,DK,41795,1,20061025,allocated
ripencc,DK,42236,1,20070119,allocated
ripencc,DK,42355,1,20070207,allocated
ripencc,DK,42418,1,20070219,allocated
ripencc,DK,42525,1,20070307,allocated
ripencc,DK,42541,1,20091113,allocated
ripencc,DK,42553,1,20070309,allocated
ripencc,DK,42638,1,20070326,allocated
ripencc,DK,42659,1,20070328,allocated
ripencc,DK,42686,1,20170321,allocated
ripencc,DK,42697,1,20070403,allocated
ripencc,DK,42789,1,20070417,allocated
ripencc,DK,42876,1,20070502,allocated
ripencc,DK,42903,1,20070508,allocated
ripencc,DK,43088,1,20070604,allocated
ripencc,DK,43167,1,20070618,allocated
ripencc,DK,43196,1,20070622,allocated
ripencc,DK,43220,1,20070626,allocated
ripencc,DK,43337,1,20141204,allocated
ripencc,DK,43557,1,20070822,allocated
ripencc,DK,43790,1,20161222,allocated
ripencc,DK,43806,1,20071002,allocated
ripencc,DK,43869,1,20071011,allocated
ripencc,DK,43986,1,20071031,allocated
ripencc,DK,44134,1,20071121,allocated
ripencc,DK,44328,1,20071224,allocated
ripencc,DK,44338,1,20071227,allocated
ripencc,DK,44398,1,20080115,allocated
ripencc,DK,44433,1,20080121,allocated
ripencc,DK,44508,1,20080129,allocated
ripencc,DK,44803,1,20231107,allocated
ripencc,DK,44869,1,20080325,allocated
ripencc,DK,45024,1,20190926,allocated
ripencc,DK,45032,1,20080423,allocated
ripencc,DK,47173,1,20080509,allocated
ripencc,DK,47198,1,20080514,allocated
ripencc,DK,47199,1,20080515,allocated
ripencc,DK,47249,1,20080526,allocated
ripencc,DK,47289,1,20200220,allocated
ripencc,DK,47292,1,20080529,allocated
ripencc,DK,47304,1,20080530,allocated
ripencc,DK,47454,1,20201209,allocated
ripencc,DK,47501,1,20160329,allocated
ripencc,DK,47527,1,20080702,allocated
ripencc,DK,47715,1,20080807,allocated
ripencc,DK,47765,1,20080815,allocated
ripencc,DK,48288,1,20211122,allocated
ripencc,DK,48374,1,20160303,allocated
ripencc,DK,48564,1,20081210,allocated
ripencc,DK,48726,1,20090119,allocated
ripencc,DK,48805,1,20090210,allocated
ripencc,DK,48854,1,20090218,allocated
ripencc,DK,49010,1,20090324,allocated
ripencc,DK,49051,1,20211124,allocated
ripencc,DK,49309,1,20090515,allocated
ripencc,DK,49362,1,20090526,allocated
ripencc,DK,49417,1,20090604,allocated
ripencc,DK,49475,1,20180220,allocated
ripencc,DK,49514,1,20090622,allocated
ripencc,DK,49522,1,20090623,allocated
ripencc,DK,49630,1,20160205,allocated
ripencc,DK,49930,1,20091014,allocated
ripencc,DK,49974,1,20091021,allocated
ripencc,DK,50021,1,20091028,allocated
ripencc,DK,50134,1,20111111,allocated
ripencc,DK,50323,1,20091218,allocated
ripencc,DK,50346,1,20091222,allocated
ripencc,DK,50364,1,20230808,allocated
ripencc,DK,50457,1,20100825,allocated
ripencc,DK,50490,1,20150629,allocated
ripencc,DK,50630,1,20180613,allocated
ripencc,DK,50708,1,20100311,allocated
ripencc,DK,50757,1,20220603,allocated
ripencc,DK,50783,1,20100324,allocated
ripencc,DK,51000,1,20100512,allocated
ripencc,DK,51008,1,20221215,allocated
ripencc,DK,51049,1,20100525,allocated
ripencc,DK,51073,1,20100526,allocated
ripencc,DK,51251,1,20100630,allocated
ripencc,DK,51377,1,20170803,allocated
ripencc,DK,51432,1,20100825,allocated
ripencc,DK,51468,1,20100901,allocated
ripencc,DK,51482,1,20100906,allocated
ripencc,DK,51510,1,20100914,allocated
ripencc,DK,51595,1,20101005,allocated
