Registry,Country,ASN,Value,Date,Status
lacnic,DO,6400,1,19960329,allocated
lacnic,DO,12066,1,19990315,allocated
lacnic,DO,27824,1,20060524,allocated
lacnic,DO,27847,1,20060821,allocated
lacnic,DO,27887,1,20070326,allocated
lacnic,DO,27896,1,20070403,allocated
lacnic,DO,27991,1,20160129,allocated
lacnic,DO,28045,1,20090324,allocated
lacnic,DO,28053,1,20090415,allocated
lacnic,DO,28115,1,20100205,allocated
lacnic,DO,28118,1,20100211,allocated
arin,DO,46198,1,20080711,assigned
lacnic,DO,52412,1,20121019,allocated
lacnic,DO,52471,1,20130510,allocated
lacnic,DO,61477,1,20140801,allocated
lacnic,DO,64125,1,20200708,allocated
lacnic,DO,64126,1,20200708,allocated
lacnic,DO,64134,1,20211028,allocated
lacnic,DO,64153,1,20230922,allocated
lacnic,DO,64156,1,20231109,allocated
lacnic,DO,64168,1,20250207,allocated
ripencc,DO,207036,1,20160915,allocated
lacnic,DO,262148,1,20101118,allocated
lacnic,DO,262178,1,20110830,allocated
lacnic,DO,262221,1,20120326,allocated
lacnic,DO,262247,1,20121026,allocated
lacnic,DO,262931,1,20140319,allocated
lacnic,DO,263212,1,20140131,allocated
lacnic,DO,263216,1,20140212,allocated
lacnic,DO,263689,1,20141003,allocated
lacnic,DO,263723,1,20150116,allocated
lacnic,DO,263730,1,20150219,allocated
lacnic,DO,263748,1,20150326,allocated
lacnic,DO,264605,1,20150917,allocated
lacnic,DO,264750,1,20160805,allocated
lacnic,DO,264817,1,20161128,allocated
lacnic,DO,264821,1,20161129,allocated
lacnic,DO,265695,1,20170403,allocated
lacnic,DO,265721,1,20170517,allocated
lacnic,DO,265742,1,20170608,allocated
lacnic,DO,266709,1,20180125,allocated
lacnic,DO,266730,1,20180209,allocated
lacnic,DO,266734,1,20180219,allocated
lacnic,DO,266798,1,20180511,allocated
lacnic,DO,266815,1,20180525,allocated
lacnic,DO,267700,1,20181008,allocated
lacnic,DO,267705,1,20181022,allocated
lacnic,DO,267838,1,20190425,allocated
lacnic,DO,267845,1,20190507,allocated
lacnic,DO,267846,1,20190507,allocated
lacnic,DO,267853,1,20190513,allocated
lacnic,DO,267862,1,20190521,allocated
lacnic,DO,267896,1,20190613,allocated
lacnic,DO,269816,1,20191018,allocated
lacnic,DO,269868,1,20191209,allocated
lacnic,DO,269908,1,20200117,allocated
lacnic,DO,269921,1,20200127,allocated
lacnic,DO,269931,1,20200206,allocated
lacnic,DO,269950,1,20200226,allocated
lacnic,DO,269965,1,20200309,allocated
lacnic,DO,269983,1,20200415,allocated
