Registry,Country,ASN,Value,Date,Status
afrinic,DZ,3208,1,20090928,allocated
afrinic,DZ,16214,1,20071226,allocated
afrinic,DZ,21391,1,20070920,allocated
afrinic,DZ,33774,1,20050506,allocated
afrinic,DZ,33779,1,20050608,allocated
afrinic,DZ,36891,1,20060214,allocated
afrinic,DZ,36947,1,20070427,allocated
afrinic,DZ,327712,1,20131114,allocated
afrinic,DZ,327877,1,20150424,allocated
afrinic,DZ,327931,1,20150916,allocated
afrinic,DZ,328393,1,20181024,allocated
afrinic,DZ,328921,1,20210826,allocated
afrinic,DZ,329494,1,20240925,allocated
