Registry,Country,ASN,Value,Date,Status
lacnic,EC,2277,1,19930114,allocated
lacnic,EC,7315,1,19961107,allocated
lacnic,EC,14420,1,19991209,allocated
lacnic,EC,14522,1,19991228,allocated
lacnic,EC,19114,1,20001120,allocated
lacnic,EC,19169,1,20001130,allocated
lacnic,EC,19582,1,20010122,allocated
lacnic,EC,22724,1,20011112,allocated
lacnic,EC,23031,1,20020104,allocated
lacnic,EC,23216,1,20020208,allocated
lacnic,EC,23487,1,20020327,allocated
lacnic,EC,26600,1,20050112,allocated
lacnic,EC,26613,1,20021024,allocated
lacnic,EC,27668,1,20030321,allocated
lacnic,EC,27738,1,20040525,allocated
lacnic,EC,27740,1,20040503,allocated
lacnic,EC,27757,1,20050221,allocated
lacnic,EC,27784,1,20050913,allocated
lacnic,EC,27814,1,20060321,allocated
lacnic,EC,27820,1,20060420,allocated
lacnic,EC,27841,1,20060719,allocated
lacnic,EC,27844,1,20060804,allocated
lacnic,EC,27902,1,20070507,allocated
lacnic,EC,27919,1,20161104,allocated
lacnic,EC,27947,1,20071221,allocated
lacnic,EC,27948,1,20071226,allocated
lacnic,EC,27958,1,20080208,allocated
lacnic,EC,27968,1,20080414,allocated
lacnic,EC,27998,1,20080919,allocated
lacnic,EC,28006,1,20081006,allocated
lacnic,EC,28011,1,20081022,allocated
lacnic,EC,28021,1,20081205,allocated
lacnic,EC,28025,1,20081218,allocated
lacnic,EC,28027,1,20081229,allocated
lacnic,EC,28041,1,20090303,allocated
lacnic,EC,28058,1,20090515,allocated
lacnic,EC,28097,1,20091118,allocated
lacnic,EC,52238,1,20100423,allocated
lacnic,EC,52257,1,20100610,allocated
lacnic,EC,52274,1,20100819,allocated
lacnic,EC,52331,1,20110621,allocated
lacnic,EC,52343,1,20110829,allocated
lacnic,EC,52345,1,20110907,allocated
lacnic,EC,52377,1,20120621,allocated
lacnic,EC,52417,1,20121029,allocated
lacnic,EC,52458,1,20130412,allocated
lacnic,EC,52466,1,20130503,allocated
lacnic,EC,52482,1,20130603,allocated
lacnic,EC,52483,1,20130603,allocated
lacnic,EC,61468,1,20140725,allocated
lacnic,EC,64110,1,20180426,allocated
lacnic,EC,64133,1,20210804,allocated
lacnic,EC,64169,1,20250502,allocated
lacnic,EC,262154,1,20110209,allocated
lacnic,EC,262157,1,20110630,allocated
lacnic,EC,262169,1,20110823,allocated
lacnic,EC,262212,1,20120118,allocated
lacnic,EC,262223,1,20120314,allocated
lacnic,EC,262257,1,20130109,allocated
lacnic,EC,263174,1,20130830,allocated
lacnic,EC,263238,1,20140523,allocated
lacnic,EC,263243,1,20140603,allocated
lacnic,EC,263245,1,20140603,allocated
lacnic,EC,263738,1,20150313,allocated
lacnic,EC,263792,1,20150701,allocated
lacnic,EC,263805,1,20150724,allocated
lacnic,EC,264668,1,20160115,allocated
lacnic,EC,264717,1,20160606,allocated
lacnic,EC,264744,1,20160801,allocated
lacnic,EC,264746,1,20160802,allocated
lacnic,EC,264788,1,20161003,allocated
lacnic,EC,264801,1,20161025,allocated
lacnic,EC,264824,1,20161205,allocated
lacnic,EC,264825,1,20161205,allocated
lacnic,EC,264826,1,20161205,allocated
lacnic,EC,264836,1,20161219,allocated
lacnic,EC,264841,1,20161223,allocated
lacnic,EC,264851,1,20170106,allocated
lacnic,EC,265629,1,20170123,allocated
lacnic,EC,265632,1,20170125,allocated
lacnic,EC,265657,1,20170214,allocated
lacnic,EC,265677,1,20170317,allocated
lacnic,EC,265711,1,20170428,allocated
lacnic,EC,265724,1,20170519,allocated
lacnic,EC,265734,1,20170601,allocated
lacnic,EC,265762,1,20170706,allocated
lacnic,EC,265775,1,20170714,allocated
lacnic,EC,265787,1,20170810,allocated
lacnic,EC,265799,1,20170821,allocated
lacnic,EC,265815,1,20170905,allocated
lacnic,EC,265838,1,20171010,allocated
lacnic,EC,265863,1,20171103,allocated
lacnic,EC,266664,1,20171206,allocated
lacnic,EC,266667,1,20171208,allocated
lacnic,EC,266672,1,20171213,allocated
lacnic,EC,266676,1,20171218,allocated
lacnic,EC,266679,1,20171220,allocated
lacnic,EC,266681,1,20171221,allocated
lacnic,EC,266728,1,20180207,allocated
lacnic,EC,266756,1,20180319,allocated
lacnic,EC,266783,1,20180420,allocated
lacnic,EC,266790,1,20180429,allocated
lacnic,EC,266802,1,20180516,allocated
lacnic,EC,266812,1,20180524,allocated
lacnic,EC,266834,1,20180621,allocated
lacnic,EC,266839,1,20180703,allocated
lacnic,EC,266856,1,20180717,allocated
lacnic,EC,266867,1,20180727,allocated
lacnic,EC,266880,1,20180809,allocated
lacnic,EC,266894,1,20180827,allocated
lacnic,EC,266904,1,20180910,allocated
lacnic,EC,267684,1,20180921,allocated
lacnic,EC,267699,1,20181005,allocated
lacnic,EC,267756,1,20190122,allocated
lacnic,EC,267778,1,20190221,allocated
lacnic,EC,267787,1,20190306,allocated
lacnic,EC,267849,1,20190509,allocated
lacnic,EC,267881,1,20190531,allocated
lacnic,EC,267907,1,20190617,allocated
lacnic,EC,267916,1,20190626,allocated
lacnic,EC,267924,1,20190703,allocated
lacnic,EC,267931,1,20190710,allocated
lacnic,EC,269728,1,20190723,allocated
lacnic,EC,269756,1,20190820,allocated
lacnic,EC,269761,1,20190823,allocated
lacnic,EC,269789,1,20190925,allocated
lacnic,EC,269790,1,20190925,allocated
lacnic,EC,269791,1,20190925,allocated
lacnic,EC,269792,1,20190926,allocated
lacnic,EC,269799,1,20191003,allocated
lacnic,EC,269805,1,20191008,allocated
lacnic,EC,269806,1,20191008,allocated
lacnic,EC,269825,1,20191030,allocated
lacnic,EC,269831,1,20191119,allocated
lacnic,EC,269838,1,20191111,allocated
lacnic,EC,269842,1,20191118,allocated
lacnic,EC,269844,1,20191120,allocated
lacnic,EC,269848,1,20191125,allocated
lacnic,EC,269852,1,20191126,allocated
lacnic,EC,269853,1,20191126,allocated
lacnic,EC,269935,1,20200212,allocated
lacnic,EC,269936,1,20200213,allocated
lacnic,EC,269941,1,20200217,allocated
lacnic,EC,269953,1,20200227,allocated
lacnic,EC,269955,1,20200228,allocated
lacnic,EC,269992,1,20200511,allocated
lacnic,EC,270009,1,20200527,allocated
lacnic,EC,270016,1,20200601,allocated
lacnic,EC,270049,1,20200707,allocated
lacnic,EC,270071,1,20200729,allocated
lacnic,EC,270074,1,20200730,allocated
lacnic,EC,270084,1,20200813,allocated
lacnic,EC,270085,1,20200813,allocated
lacnic,EC,270092,1,20200818,allocated
lacnic,EC,270095,1,20200820,allocated
lacnic,EC,270100,1,20200821,allocated
lacnic,EC,270104,1,20200826,allocated
lacnic,EC,271785,1,20200904,allocated
lacnic,EC,271795,1,20200914,allocated
lacnic,EC,271821,1,20201109,allocated
lacnic,EC,271822,1,20201112,allocated
lacnic,EC,271837,1,20201214,allocated
lacnic,EC,271840,1,20201223,allocated
lacnic,EC,271873,1,20210308,allocated
lacnic,EC,271874,1,20210308,allocated
lacnic,EC,271882,1,20210315,allocated
lacnic,EC,271911,1,20210505,allocated
lacnic,EC,271919,1,20210528,allocated
lacnic,EC,271923,1,20210617,allocated
lacnic,EC,271929,1,20210701,allocated
lacnic,EC,271933,1,20210705,allocated
lacnic,EC,271936,1,20210707,allocated
lacnic,EC,271941,1,20210716,allocated
lacnic,EC,271967,1,20210824,allocated
lacnic,EC,271975,1,20210908,allocated
lacnic,EC,271977,1,20210913,allocated
lacnic,EC,271983,1,20210917,allocated
lacnic,EC,272019,1,20211201,allocated
lacnic,EC,272032,1,20211229,allocated
lacnic,EC,272034,1,20211230,allocated
lacnic,EC,272067,1,20220207,allocated
lacnic,EC,272074,1,20220216,allocated
lacnic,EC,272075,1,20220218,allocated
lacnic,EC,272080,1,20220303,allocated
lacnic,EC,272094,1,20220323,allocated
lacnic,EC,272097,1,20220323,allocated
lacnic,EC,272101,1,20220325,allocated
lacnic,EC,272121,1,20220411,allocated
lacnic,EC,272140,1,20220510,allocated
lacnic,EC,272147,1,20220516,allocated
lacnic,EC,272808,1,20220621,allocated
lacnic,EC,272811,1,20220623,allocated
lacnic,EC,272817,1,20220701,allocated
lacnic,EC,272819,1,20220712,allocated
lacnic,EC,272823,1,20220712,allocated
lacnic,EC,272827,1,20220720,allocated
lacnic,EC,272863,1,20220909,allocated
lacnic,EC,272877,1,20220921,allocated
lacnic,EC,272880,1,20220928,allocated
lacnic,EC,272883,1,20220928,allocated
lacnic,EC,272889,1,20221017,allocated
lacnic,EC,272890,1,20221017,allocated
lacnic,EC,272910,1,20221109,allocated
lacnic,EC,272914,1,20221116,allocated
lacnic,EC,272936,1,20230113,allocated
lacnic,EC,272939,1,20230123,allocated
lacnic,EC,272954,1,20230216,allocated
lacnic,EC,272966,1,20230317,allocated
lacnic,EC,272972,1,20230329,allocated
lacnic,EC,272998,1,20230511,allocated
lacnic,EC,272999,1,20230512,allocated
lacnic,EC,273003,1,20230517,allocated
lacnic,EC,273017,1,20230531,allocated
lacnic,EC,273034,1,20230711,allocated
lacnic,EC,273035,1,20230711,allocated
lacnic,EC,273040,1,20230719,allocated
lacnic,EC,273068,1,20230831,allocated
lacnic,EC,273072,1,20230904,allocated
lacnic,EC,273079,1,20230912,allocated
lacnic,EC,273081,1,20230915,allocated
lacnic,EC,273098,1,20231005,allocated
lacnic,EC,273123,1,20231108,allocated
lacnic,EC,273127,1,20231109,allocated
lacnic,EC,273140,1,20231201,allocated
lacnic,EC,273141,1,20231201,allocated
lacnic,EC,273142,1,20231205,allocated
lacnic,EC,273163,1,20240117,allocated
lacnic,EC,273167,1,20240122,allocated
lacnic,EC,273177,1,20240130,allocated
lacnic,EC,273190,1,20240227,allocated
lacnic,EC,273195,1,20240307,allocated
lacnic,EC,273196,1,20240311,allocated
lacnic,EC,273219,1,20240412,allocated
lacnic,EC,273229,1,20240416,allocated
lacnic,EC,273233,1,20240425,allocated
lacnic,EC,273826,1,20240509,allocated
lacnic,EC,273832,1,20240521,allocated
lacnic,EC,273839,1,20240522,allocated
lacnic,EC,273855,1,20240618,allocated
lacnic,EC,273858,1,20240620,allocated
lacnic,EC,273877,1,20240709,allocated
lacnic,EC,273883,1,20240723,allocated
lacnic,EC,273921,1,20240904,allocated
lacnic,EC,273923,1,20240906,allocated
lacnic,EC,273944,1,20240926,allocated
lacnic,EC,273951,1,20241004,allocated
lacnic,EC,273966,1,20241025,allocated
lacnic,EC,274004,1,20241212,allocated
lacnic,EC,274053,1,20250218,allocated
lacnic,EC,274055,1,20250220,allocated
lacnic,EC,274063,1,20250305,allocated
lacnic,EC,274083,1,20250408,allocated
lacnic,EC,274090,1,20250416,allocated
lacnic,EC,274106,1,20250502,allocated
lacnic,EC,274114,1,20250509,allocated
lacnic,EC,274134,1,20250609,allocated
lacnic,EC,274144,1,20250616,allocated
