Registry,Country,ASN,Value,Date,Status
ripencc,EE,2586,1,19950320,allocated
ripencc,EE,2876,1,20051102,allocated
ripencc,EE,3130,1,19970317,allocated
ripencc,EE,3204,1,20120503,allocated
ripencc,EE,3221,1,19940510,allocated
ripencc,EE,3249,1,19940818,allocated
ripencc,EE,3332,1,19950310,allocated
ripencc,EE,3920,1,19941012,allocated
ripencc,EE,3927,1,19941012,allocated
ripencc,EE,3970,1,19970317,allocated
ripencc,EE,4128,1,19970317,allocated
ripencc,EE,5608,1,19960424,allocated
ripencc,EE,8240,1,19970319,allocated
ripencc,EE,8728,1,19980325,allocated
ripencc,EE,8756,1,19980417,allocated
ripencc,EE,9204,1,20091204,allocated
ripencc,EE,12293,1,20030131,allocated
ripencc,EE,12757,1,20111014,allocated
ripencc,EE,13272,1,20000518,allocated
ripencc,EE,16014,1,20001124,allocated
ripencc,EE,16255,1,20150820,allocated
ripencc,EE,20948,1,20151112,allocated
ripencc,EE,21147,1,20010910,allocated
ripencc,EE,24984,1,20020617,allocated
ripencc,EE,31081,1,20040224,allocated
ripencc,EE,31365,1,20041216,allocated
ripencc,EE,31605,1,20040622,allocated
ripencc,EE,34702,1,20050318,allocated
ripencc,EE,34729,1,20050324,allocated
ripencc,EE,35713,1,20181220,allocated
ripencc,EE,39038,1,20051202,allocated
ripencc,EE,39632,1,20080708,allocated
ripencc,EE,39755,1,20180524,allocated
ripencc,EE,39823,1,20060428,allocated
ripencc,EE,41909,1,20200928,allocated
ripencc,EE,42012,1,20061204,allocated
ripencc,EE,42016,1,20061204,allocated
ripencc,EE,42300,1,20070129,allocated
ripencc,EE,42380,1,20070213,allocated
ripencc,EE,42472,1,20070227,allocated
ripencc,EE,42474,1,20191107,allocated
ripencc,EE,43682,1,20070912,allocated
ripencc,EE,43881,1,20071015,allocated
ripencc,EE,43883,1,20071016,allocated
ripencc,EE,43937,1,20100714,allocated
ripencc,EE,43958,1,20071026,allocated
ripencc,EE,43993,1,20071031,allocated
ripencc,EE,44794,1,20200511,allocated
ripencc,EE,44839,1,20080319,allocated
ripencc,EE,44929,1,20080403,allocated
ripencc,EE,47105,1,20080428,allocated
ripencc,EE,47294,1,20230920,allocated
ripencc,EE,47416,1,20220218,allocated
ripencc,EE,47525,1,20080702,allocated
ripencc,EE,47713,1,20180914,allocated
ripencc,EE,47736,1,20141121,allocated
