Registry,Country,ASN,Value,Date,Status
afrinic,EG,2561,1,20070920,allocated
afrinic,EG,6127,1,20070920,allocated
afrinic,EG,6879,1,19961216,allocated
ripencc,EG,8452,1,19970901,allocated
afrinic,EG,8524,1,20070920,allocated
afrinic,EG,15475,1,20070921,allocated
afrinic,EG,20858,1,20070920,allocated
afrinic,EG,20928,1,20070920,allocated
afrinic,EG,24736,1,20070920,allocated
afrinic,EG,24835,1,20070920,allocated
afrinic,EG,24863,1,20070920,allocated
afrinic,EG,24878,1,20070920,allocated
afrinic,EG,24987,1,20070920,allocated
afrinic,EG,25364,1,20070920,allocated
afrinic,EG,25576,1,20070920,allocated
afrinic,EG,29428,1,20070920,allocated
afrinic,EG,30993,1,20041222,allocated
afrinic,EG,30995,1,20050202,allocated
afrinic,EG,31065,1,20070920,allocated
afrinic,EG,31619,1,20070920,allocated
afrinic,EG,33777,1,20091118,allocated
afrinic,EG,33778,1,20050606,allocated
afrinic,EG,33782,1,20050711,allocated
afrinic,EG,33785,1,20050714,allocated
afrinic,EG,33789,1,20050725,allocated
afrinic,EG,36870,1,20050829,allocated
afrinic,EG,36885,1,20060104,allocated
afrinic,EG,36906,1,20060607,allocated
afrinic,EG,36929,1,20061213,allocated
afrinic,EG,36935,1,20070202,allocated
afrinic,EG,36971,1,20070824,allocated
afrinic,EG,36978,1,20070925,allocated
afrinic,EG,36990,1,20110204,allocated
afrinic,EG,36992,1,20071210,allocated
afrinic,EG,37003,1,20080116,allocated
afrinic,EG,37031,1,20080722,allocated
afrinic,EG,37066,1,20081111,allocated
afrinic,EG,37069,1,20081112,allocated
afrinic,EG,37091,1,20171229,allocated
afrinic,EG,37112,1,20090706,allocated
afrinic,EG,37191,1,20100330,allocated
afrinic,EG,37193,1,20100401,allocated
afrinic,EG,37250,1,20100819,allocated
afrinic,EG,37252,1,20100824,allocated
afrinic,EG,37279,1,20101123,allocated
afrinic,EG,37339,1,20110609,allocated
afrinic,EG,37348,1,20110614,allocated
afrinic,EG,37437,1,20120401,allocated
afrinic,EG,37444,1,20120430,allocated
afrinic,EG,37583,1,20130329,allocated
afrinic,EG,37585,1,20130329,allocated
afrinic,EG,37664,1,20130520,allocated
afrinic,EG,37726,1,20190411,allocated
afrinic,EG,37728,1,20220126,allocated
ripencc,EG,207740,1,20191203,allocated
afrinic,EG,327838,1,20150202,allocated
afrinic,EG,327846,1,20150225,allocated
afrinic,EG,328011,1,20160429,allocated
afrinic,EG,328052,1,20160805,allocated
afrinic,EG,328062,1,20160819,allocated
afrinic,EG,328067,1,20160901,allocated
afrinic,EG,328105,1,20161122,allocated
afrinic,EG,328299,1,20210322,allocated
afrinic,EG,328308,1,20180420,allocated
afrinic,EG,328405,1,20181126,allocated
afrinic,EG,328430,1,20190206,allocated
afrinic,EG,328484,1,20190515,allocated
afrinic,EG,328553,1,20191014,allocated
afrinic,EG,328587,1,20191205,allocated
afrinic,EG,328629,1,20200318,allocated
afrinic,EG,328645,1,20200422,allocated
afrinic,EG,328654,1,20200507,allocated
afrinic,EG,328762,1,20201117,allocated
afrinic,EG,328786,1,20210112,allocated
afrinic,EG,328794,1,20210208,allocated
afrinic,EG,328876,1,20210618,allocated
afrinic,EG,328927,1,20210901,allocated
afrinic,EG,328969,1,20211103,allocated
afrinic,EG,328972,1,20211111,allocated
afrinic,EG,329003,1,20220126,allocated
afrinic,EG,329114,1,20220810,allocated
afrinic,EG,329131,1,20220912,allocated
afrinic,EG,329132,1,20220912,allocated
afrinic,EG,329325,1,20230907,allocated
afrinic,EG,329336,1,20231004,allocated
afrinic,EG,329352,1,20231030,allocated
afrinic,EG,329358,1,20231106,allocated
afrinic,EG,329359,1,20231106,allocated
afrinic,EG,329397,1,20240213,allocated
afrinic,EG,329431,1,20240516,allocated
afrinic,EG,329520,1,20241127,allocated
