Registry,Country,ASN,Value,Date,Status
arin,ES,711,1,19900615,assigned
ripencc,ES,766,1,19930901,allocated
ripencc,ES,2114,1,20110609,allocated
ripencc,ES,2134,1,19930423,allocated
ripencc,ES,2606,1,20151124,allocated
ripencc,ES,3262,1,19941020,allocated
ripencc,ES,3273,1,19941121,allocated
ripencc,ES,3324,1,19950223,allocated
ripencc,ES,3339,1,20060712,allocated
ripencc,ES,3348,1,20151102,allocated
ripencc,ES,3352,1,19950531,allocated
ripencc,ES,5505,1,20151029,allocated
ripencc,ES,6739,1,19991124,allocated
ripencc,ES,6750,1,20060727,allocated
ripencc,ES,6813,1,19961101,allocated
ripencc,ES,6895,1,19970108,allocated
ripencc,ES,8216,1,19970218,allocated
ripencc,ES,8239,1,19970317,allocated
ripencc,ES,8311,1,19970513,allocated
ripencc,ES,8318,1,19970526,allocated
ripencc,ES,8637,1,20151014,allocated
ripencc,ES,8903,1,19980724,allocated
ripencc,ES,9052,1,19981106,allocated
ripencc,ES,9075,1,19981130,allocated
ripencc,ES,9094,1,19981211,allocated
ripencc,ES,9165,1,19990122,allocated
ripencc,ES,9192,1,19990211,allocated
ripencc,ES,12319,1,20040216,allocated
ripencc,ES,12321,1,19990309,allocated
ripencc,ES,12334,1,19990319,allocated
ripencc,ES,12338,1,19990322,allocated
ripencc,ES,12357,1,19990407,allocated
ripencc,ES,12367,1,19990414,allocated
ripencc,ES,12386,1,19990423,allocated
ripencc,ES,12430,1,19990518,allocated
ripencc,ES,12462,1,19990601,allocated
ripencc,ES,12479,1,19990609,allocated
ripencc,ES,12521,1,19990628,allocated
ripencc,ES,12540,1,19990707,allocated
ripencc,ES,12541,1,19990707,allocated
ripencc,ES,12569,1,19990728,allocated
ripencc,ES,12715,1,19991008,allocated
ripencc,ES,12924,1,20000105,allocated
ripencc,ES,12946,1,20000119,allocated
ripencc,ES,12956,1,20000126,allocated
ripencc,ES,13041,1,20000225,allocated
ripencc,ES,13137,1,20000330,allocated
ripencc,ES,13186,1,20000426,allocated
ripencc,ES,13195,1,20000428,allocated
ripencc,ES,13287,1,20000525,allocated
ripencc,ES,15364,1,20120525,allocated
ripencc,ES,15450,1,20000703,allocated
ripencc,ES,15488,1,20000714,allocated
ripencc,ES,15548,1,20000802,allocated
ripencc,ES,15608,1,20000821,allocated
ripencc,ES,15616,1,20000824,allocated
ripencc,ES,15630,1,20000829,allocated
ripencc,ES,15633,1,20000830,allocated
ripencc,ES,15699,1,20000919,allocated
