Registry,Country,ASN,Value,Date,Status
ripencc,EU,7,1,19930901,allocated
ripencc,EU,248,1,19930901,allocated
ripencc,EU,249,1,19930901,allocated
ripencc,EU,250,1,19930901,allocated
ripencc,EU,251,1,19930901,allocated
ripencc,EU,261,1,19930901,allocated
ripencc,EU,294,1,19930901,allocated
ripencc,EU,528,1,19930901,allocated
ripencc,EU,529,1,19930901,allocated
ripencc,EU,544,1,19930901,allocated
ripencc,EU,590,1,19930901,allocated
ripencc,EU,593,1,19930901,allocated
ripencc,EU,669,1,19930901,allocated
ripencc,EU,697,1,19930901,allocated
ripencc,EU,709,1,19930901,allocated
ripencc,EU,710,1,19930901,allocated
ripencc,EU,712,1,19930901,allocated
ripencc,EU,761,1,19930901,allocated
ripencc,EU,764,1,19930901,allocated
ripencc,EU,774,1,19930901,allocated
ripencc,EU,775,1,19930901,allocated
ripencc,EU,776,1,19930901,allocated
ripencc,EU,777,1,19930901,allocated
ripencc,EU,778,1,19930901,allocated
ripencc,EU,779,1,19930901,allocated
ripencc,EU,780,1,19930901,allocated
ripencc,EU,781,1,19930901,allocated
ripencc,EU,782,1,19930901,allocated
ripencc,EU,783,1,19930901,allocated
ripencc,EU,789,1,19930901,allocated
ripencc,EU,1117,1,19930901,allocated
ripencc,EU,1118,1,19930901,allocated
ripencc,EU,1119,1,19930901,allocated
ripencc,EU,1120,1,19930901,allocated
ripencc,EU,1121,1,19930901,allocated
ripencc,EU,1122,1,19930901,allocated
ripencc,EU,1123,1,19930901,allocated
ripencc,EU,1124,1,19930901,allocated
ripencc,EU,1126,1,19930901,allocated
ripencc,EU,1135,1,19930901,allocated
ripencc,EU,1137,1,19930901,allocated
ripencc,EU,1203,1,19930901,allocated
ripencc,EU,1234,1,19930901,allocated
ripencc,EU,1235,1,19930901,allocated
ripencc,EU,1253,1,19930901,allocated
ripencc,EU,1257,1,19930901,allocated
ripencc,EU,1270,1,19930901,allocated
ripencc,EU,1271,1,19930901,allocated
ripencc,EU,1272,1,19930901,allocated
ripencc,EU,1273,1,19930901,allocated
ripencc,EU,1274,1,19930901,allocated
ripencc,EU,1275,1,19930901,allocated
ripencc,EU,1279,1,19930901,allocated
ripencc,EU,1290,1,19930901,allocated
ripencc,EU,1300,1,19930901,allocated
ripencc,EU,1301,1,19930901,allocated
ripencc,EU,1302,1,19930901,allocated
ripencc,EU,1303,1,19930901,allocated
ripencc,EU,1304,1,19930901,allocated
ripencc,EU,1305,1,19930901,allocated
ripencc,EU,1306,1,19930901,allocated
ripencc,EU,1307,1,19930901,allocated
ripencc,EU,1308,1,19930901,allocated
ripencc,EU,1309,1,19930901,allocated
ripencc,EU,1318,1,19930901,allocated
ripencc,EU,1342,1,19930901,allocated
ripencc,EU,1352,1,19930901,allocated
ripencc,EU,1353,1,19930901,allocated
ripencc,EU,1653,1,19930901,allocated
ripencc,EU,1654,1,19930901,allocated
ripencc,EU,1663,1,19930901,allocated
ripencc,EU,1707,1,19930901,allocated
ripencc,EU,1708,1,19930901,allocated
ripencc,EU,1709,1,19930901,allocated
ripencc,EU,1710,1,19930901,allocated
ripencc,EU,1711,1,19930901,allocated
ripencc,EU,1712,1,19930901,allocated
ripencc,EU,1713,1,19930901,allocated
ripencc,EU,1714,1,19930901,allocated
ripencc,EU,1715,1,19930901,allocated
ripencc,EU,1716,1,19930901,allocated
ripencc,EU,1717,1,19930901,allocated
ripencc,EU,1718,1,19930901,allocated
ripencc,EU,1719,1,19930901,allocated
ripencc,EU,1720,1,19930901,allocated
ripencc,EU,1721,1,19930901,allocated
ripencc,EU,1722,1,19930901,allocated
ripencc,EU,1723,1,19930901,allocated
ripencc,EU,1724,1,19930901,allocated
ripencc,EU,1725,1,19930901,allocated
ripencc,EU,1726,1,19930901,allocated
ripencc,EU,1732,1,19930901,allocated
ripencc,EU,1739,1,19930901,allocated
ripencc,EU,1748,1,19930901,allocated
ripencc,EU,1752,1,19930901,allocated
ripencc,EU,1770,1,19930901,allocated
ripencc,EU,1771,1,19930901,allocated
ripencc,EU,1774,1,19930901,allocated
ripencc,EU,1835,1,19930901,allocated
ripencc,EU,1837,1,19930901,allocated
ripencc,EU,1841,1,19930901,allocated
ripencc,EU,1849,1,19930901,allocated
ripencc,EU,1854,1,19930901,allocated
ripencc,EU,1889,1,19920820,allocated
ripencc,EU,1903,1,19930901,allocated
ripencc,EU,1923,1,19930901,allocated
ripencc,EU,1935,1,19930901,allocated
ripencc,EU,1936,1,19930901,allocated
ripencc,EU,1937,1,19930901,allocated
ripencc,EU,1938,1,19930901,allocated
ripencc,EU,1939,1,19930901,allocated
ripencc,EU,1940,1,19930901,allocated
ripencc,EU,1941,1,19930901,allocated
ripencc,EU,1942,1,19930901,allocated
ripencc,EU,1943,1,19930901,allocated
ripencc,EU,1944,1,19930901,allocated
ripencc,EU,1945,1,19930901,allocated
ripencc,EU,1946,1,19930901,allocated
ripencc,EU,1947,1,19930901,allocated
ripencc,EU,1948,1,19930901,allocated
ripencc,EU,1949,1,19930901,allocated
ripencc,EU,1950,1,19930901,allocated
ripencc,EU,1951,1,19930901,allocated
ripencc,EU,1952,1,19930901,allocated
ripencc,EU,1953,1,19930901,allocated
ripencc,EU,1954,1,19930901,allocated
ripencc,EU,1960,1,19930901,allocated
ripencc,EU,1961,1,19930901,allocated
ripencc,EU,1962,1,19930901,allocated
ripencc,EU,1967,1,19930901,allocated
ripencc,EU,2016,1,19930901,allocated
ripencc,EU,2028,1,19930901,allocated
ripencc,EU,2029,1,19930901,allocated
ripencc,EU,2045,1,19930901,allocated
ripencc,EU,2057,1,19930901,allocated
ripencc,EU,2058,1,19930901,allocated
ripencc,EU,2059,1,19930901,allocated
ripencc,EU,2060,1,19930901,allocated
ripencc,EU,2061,1,19930901,allocated
ripencc,EU,2062,1,19930901,allocated
ripencc,EU,2063,1,19930901,allocated
ripencc,EU,2064,1,19930901,allocated
ripencc,EU,2065,1,19930901,allocated
ripencc,EU,2066,1,19930901,allocated
ripencc,EU,2067,1,19930901,allocated
ripencc,EU,2068,1,19930901,allocated
ripencc,EU,2069,1,19930901,allocated
ripencc,EU,2070,1,19930901,allocated
ripencc,EU,2071,1,19930901,allocated
ripencc,EU,2072,1,19930901,allocated
ripencc,EU,2073,1,19930901,allocated
ripencc,EU,2074,1,19930901,allocated
ripencc,EU,2075,1,19930901,allocated
ripencc,EU,2076,1,19930901,allocated
ripencc,EU,2077,1,19930901,allocated
ripencc,EU,2078,1,19930901,allocated
ripencc,EU,2079,1,19930901,allocated
ripencc,EU,2080,1,19930901,allocated
ripencc,EU,2081,1,19930901,allocated
ripencc,EU,2082,1,19930901,allocated
ripencc,EU,2083,1,19930901,allocated
ripencc,EU,2084,1,19930901,allocated
ripencc,EU,2085,1,19930901,allocated
ripencc,EU,2086,1,19930901,allocated
ripencc,EU,2087,1,19930901,allocated
ripencc,EU,2088,1,19930901,allocated
ripencc,EU,2089,1,19930901,allocated
ripencc,EU,2090,1,19930901,allocated
ripencc,EU,2091,1,19930901,allocated
ripencc,EU,2092,1,19930901,allocated
ripencc,EU,2093,1,19930901,allocated
ripencc,EU,2094,1,19930901,allocated
ripencc,EU,2095,1,19930901,allocated
ripencc,EU,2096,1,19930901,allocated
ripencc,EU,2097,1,19930901,allocated
ripencc,EU,2098,1,19930901,allocated
ripencc,EU,2099,1,19930901,allocated
ripencc,EU,2100,1,19930901,allocated
ripencc,EU,2101,1,19930901,allocated
ripencc,EU,2102,1,19930901,allocated
ripencc,EU,2103,1,19930901,allocated
ripencc,EU,2104,1,19930901,allocated
ripencc,EU,2105,1,19930901,allocated
ripencc,EU,2106,1,19930901,allocated
ripencc,EU,2147,1,19930901,allocated
ripencc,EU,2174,1,19930901,allocated
ripencc,EU,2175,1,19930901,allocated
ripencc,EU,2176,1,19930901,allocated
ripencc,EU,2177,1,19930901,allocated
ripencc,EU,2178,1,19930901,allocated
ripencc,EU,2179,1,19930901,allocated
ripencc,EU,2180,1,19930901,allocated
ripencc,EU,2181,1,19930901,allocated
ripencc,EU,2182,1,19930901,allocated
ripencc,EU,2183,1,19930901,allocated
ripencc,EU,2184,1,19930901,allocated
ripencc,EU,2185,1,19930901,allocated
ripencc,EU,2186,1,19930901,allocated
ripencc,EU,2187,1,19930901,allocated
ripencc,EU,2188,1,19930901,allocated
ripencc,EU,2189,1,19930901,allocated
ripencc,EU,2190,1,19930901,allocated
ripencc,EU,2191,1,19930901,allocated
ripencc,EU,2192,1,19930901,allocated
ripencc,EU,2193,1,19930901,allocated
ripencc,EU,2194,1,19930901,allocated
ripencc,EU,2195,1,19930901,allocated
ripencc,EU,2196,1,19930901,allocated
ripencc,EU,2197,1,19930901,allocated
ripencc,EU,2198,1,19930901,allocated
ripencc,EU,2199,1,19930901,allocated
ripencc,EU,2201,1,19930901,allocated
ripencc,EU,2202,1,19930901,allocated
ripencc,EU,2203,1,19930901,allocated
ripencc,EU,2204,1,19930901,allocated
ripencc,EU,2205,1,19930901,allocated
ripencc,EU,2206,1,19930901,allocated
ripencc,EU,2207,1,19930901,allocated
ripencc,EU,2208,1,19930901,allocated
ripencc,EU,2209,1,19930901,allocated
ripencc,EU,2210,1,19930901,allocated
ripencc,EU,2211,1,19930901,allocated
ripencc,EU,2212,1,19930901,allocated
ripencc,EU,2213,1,19930901,allocated
ripencc,EU,2214,1,19930901,allocated
ripencc,EU,2215,1,19930901,allocated
ripencc,EU,2216,1,19930901,allocated
ripencc,EU,2217,1,19930901,allocated
ripencc,EU,2218,1,19930901,allocated
ripencc,EU,2219,1,19930901,allocated
ripencc,EU,2220,1,19930901,allocated
ripencc,EU,2221,1,19930901,allocated
ripencc,EU,2222,1,19930901,allocated
ripencc,EU,2223,1,19930901,allocated
ripencc,EU,2224,1,19930901,allocated
ripencc,EU,2225,1,19930901,allocated
ripencc,EU,2226,1,19930901,allocated
ripencc,EU,2227,1,19930901,allocated
ripencc,EU,2228,1,19930901,allocated
ripencc,EU,2229,1,19930901,allocated
ripencc,EU,2230,1,19930901,allocated
ripencc,EU,2231,1,19930901,allocated
ripencc,EU,2232,1,19930901,allocated
ripencc,EU,2233,1,19930901,allocated
ripencc,EU,2234,1,19930901,allocated
ripencc,EU,2235,1,19930901,allocated
ripencc,EU,2236,1,19930901,allocated
ripencc,EU,2237,1,19930901,allocated
ripencc,EU,2238,1,19930901,allocated
ripencc,EU,2239,1,19930901,allocated
ripencc,EU,2240,1,19930901,allocated
ripencc,EU,2241,1,19930901,allocated
ripencc,EU,2242,1,19930901,allocated
ripencc,EU,2243,1,19930901,allocated
ripencc,EU,2244,1,19930901,allocated
ripencc,EU,2245,1,19930901,allocated
ripencc,EU,2246,1,19930901,allocated
ripencc,EU,2247,1,19930901,allocated
ripencc,EU,2248,1,19930901,allocated
ripencc,EU,2249,1,19930901,allocated
ripencc,EU,2250,1,19930901,allocated
ripencc,EU,2251,1,19930901,allocated
ripencc,EU,2252,1,19930901,allocated
ripencc,EU,2253,1,19930901,allocated
ripencc,EU,2254,1,19930901,allocated
ripencc,EU,2255,1,19930901,allocated
ripencc,EU,2256,1,19930901,allocated
ripencc,EU,2257,1,19930901,allocated
ripencc,EU,2258,1,19930901,allocated
ripencc,EU,2259,1,19930901,allocated
ripencc,EU,2260,1,19930901,allocated
ripencc,EU,2261,1,19930901,allocated
ripencc,EU,2262,1,19930901,allocated
ripencc,EU,2263,1,19930901,allocated
ripencc,EU,2264,1,19930901,allocated
ripencc,EU,2265,1,19930901,allocated
ripencc,EU,2266,1,19930901,allocated
ripencc,EU,2267,1,19930901,allocated
ripencc,EU,2268,1,19930901,allocated
ripencc,EU,2269,1,19930901,allocated
ripencc,EU,2270,1,19930901,allocated
ripencc,EU,2271,1,19930901,allocated
ripencc,EU,2272,1,19930901,allocated
ripencc,EU,2273,1,19930901,allocated
ripencc,EU,2387,1,19930901,allocated
ripencc,EU,2388,1,19930901,allocated
ripencc,EU,2389,1,19930901,allocated
ripencc,EU,2390,1,19930901,allocated
ripencc,EU,2391,1,19930901,allocated
ripencc,EU,2392,1,19930901,allocated
ripencc,EU,2393,1,19930901,allocated
ripencc,EU,2394,1,19930901,allocated
ripencc,EU,2395,1,19930901,allocated
ripencc,EU,2396,1,19930901,allocated
ripencc,EU,2397,1,19930901,allocated
ripencc,EU,2398,1,19930901,allocated
ripencc,EU,2399,1,19930901,allocated
ripencc,EU,2400,1,19930901,allocated
ripencc,EU,2401,1,19930901,allocated
ripencc,EU,2402,1,19930901,allocated
ripencc,EU,2403,1,19930901,allocated
ripencc,EU,2404,1,19930901,allocated
