Registry,Country,ASN,Value,Date,Status
ripencc,FI,375,1,19930901,allocated
ripencc,FI,565,1,19930901,allocated
ripencc,FI,719,1,19930901,allocated
ripencc,FI,790,1,19930901,allocated
ripencc,FI,1738,1,19930901,allocated
ripencc,FI,1741,1,19930901,allocated
ripencc,FI,1759,1,19930901,allocated
ripencc,FI,1780,1,19930901,allocated
ripencc,FI,1926,1,19930901,allocated
ripencc,FI,2017,1,19921113,allocated
ripencc,FI,2026,1,19930901,allocated
ripencc,FI,3222,1,19940707,allocated
ripencc,FI,3238,1,19940721,allocated
ripencc,FI,3274,1,19941125,allocated
ripencc,FI,5411,1,19950911,allocated
ripencc,FI,5420,1,19950921,allocated
ripencc,FI,5469,1,19951124,allocated
ripencc,FI,5487,1,19951206,allocated
ripencc,FI,5515,1,19960115,allocated
ripencc,FI,5575,1,19960311,allocated
ripencc,FI,6667,1,19960613,allocated
ripencc,FI,6781,1,19961007,allocated
ripencc,FI,6793,1,19961015,allocated
ripencc,FI,6852,1,20090727,allocated
arin,FI,8145,1,19970429,assigned
ripencc,FI,8236,1,19970313,allocated
ripencc,FI,8275,1,20151020,allocated
ripencc,FI,8624,1,20051003,allocated
ripencc,FI,8829,1,20070313,allocated
ripencc,FI,8983,1,19980918,allocated
ripencc,FI,9061,1,20151006,allocated
ripencc,FI,12330,1,19990316,allocated
ripencc,FI,12582,1,19990804,allocated
ripencc,FI,12630,1,19990830,allocated
ripencc,FI,12659,1,19990916,allocated
ripencc,FI,12712,1,19991008,allocated
ripencc,FI,13170,1,20000418,allocated
ripencc,FI,13276,1,20000522,allocated
ripencc,FI,15424,1,20000627,allocated
ripencc,FI,15496,1,20000717,allocated
ripencc,FI,16023,1,20001127,allocated
ripencc,FI,16048,1,20001201,allocated
ripencc,FI,16086,1,20001218,allocated
ripencc,FI,16228,1,20020131,allocated
ripencc,FI,16302,1,20010221,allocated
ripencc,FI,16331,1,20010228,allocated
ripencc,FI,20494,1,20091111,allocated
ripencc,FI,20542,1,20010328,allocated
ripencc,FI,20569,1,20010405,allocated
ripencc,FI,20571,1,20010406,allocated
ripencc,FI,20798,1,20010531,allocated
ripencc,FI,20904,1,20010703,allocated
ripencc,FI,21348,1,20011107,allocated
ripencc,FI,21490,1,20011231,allocated
ripencc,FI,24713,1,20020301,allocated
ripencc,FI,24714,1,20020304,allocated
ripencc,FI,24751,1,20020313,allocated
ripencc,FI,24752,1,20020314,allocated
ripencc,FI,25033,1,20020703,allocated
ripencc,FI,25213,1,20020903,allocated
ripencc,FI,25391,1,20021113,allocated
ripencc,FI,28723,1,20030207,allocated
ripencc,FI,28883,1,20030326,allocated
ripencc,FI,29093,1,20030530,allocated
ripencc,FI,29132,1,20030612,allocated
ripencc,FI,29150,1,20030616,allocated
ripencc,FI,29154,1,20030617,allocated
ripencc,FI,29240,1,20030707,allocated
ripencc,FI,29243,1,20030708,allocated
ripencc,FI,29282,1,20030721,allocated
ripencc,FI,29293,1,20030723,allocated
ripencc,FI,29422,1,20030904,allocated
ripencc,FI,29432,1,20030905,allocated
ripencc,FI,29601,1,20031021,allocated
ripencc,FI,30754,1,20031126,allocated
ripencc,FI,30759,1,20031127,allocated
ripencc,FI,30798,1,20031208,allocated
ripencc,FI,30978,1,20040202,allocated
ripencc,FI,31389,1,20040503,allocated
ripencc,FI,31639,1,20150508,allocated
ripencc,FI,33801,1,20150508,allocated
ripencc,FI,33935,1,20040909,allocated
ripencc,FI,34263,1,20041202,allocated
ripencc,FI,34273,1,20041203,allocated
ripencc,FI,34384,1,20050104,allocated
ripencc,FI,34387,1,20050104,allocated
ripencc,FI,34414,1,20050113,allocated
ripencc,FI,34484,1,20050131,allocated
ripencc,FI,34541,1,20050209,allocated
ripencc,FI,34801,1,20191003,allocated
ripencc,FI,35175,1,20150917,allocated
ripencc,FI,39098,1,20051214,allocated
ripencc,FI,39194,1,20060103,allocated
ripencc,FI,39242,1,20060117,allocated
ripencc,FI,39278,1,20180601,allocated
ripencc,FI,39287,1,20060124,allocated
ripencc,FI,39324,1,20060131,allocated
ripencc,FI,39484,1,20201201,allocated
ripencc,FI,39662,1,20060404,allocated
ripencc,FI,39665,1,20060405,allocated
ripencc,FI,39699,1,20060411,allocated
ripencc,FI,39784,1,20060425,allocated
ripencc,FI,39857,1,20060505,allocated
ripencc,FI,41194,1,20170901,allocated
ripencc,FI,41242,1,20060710,allocated
ripencc,FI,41369,1,20060802,allocated
ripencc,FI,41561,1,20060914,allocated
ripencc,FI,41581,1,20060918,allocated
ripencc,FI,41648,1,20060928,allocated
ripencc,FI,41666,1,20061003,allocated
ripencc,FI,41701,1,20061010,allocated
ripencc,FI,41747,1,20061018,allocated
ripencc,FI,41785,1,20180524,allocated
ripencc,FI,41993,1,20141229,allocated
ripencc,FI,42122,1,20061220,allocated
ripencc,FI,42252,1,20070123,allocated
ripencc,FI,42343,1,20070206,allocated
ripencc,FI,42540,1,20070308,allocated
ripencc,FI,42621,1,20070322,allocated
ripencc,FI,42885,1,20070504,allocated
ripencc,FI,42977,1,20170227,allocated
ripencc,FI,43016,1,20170224,allocated
ripencc,FI,43024,1,20070524,allocated
ripencc,FI,43161,1,20200512,allocated
ripencc,FI,43499,1,20070810,allocated
ripencc,FI,43558,1,20150311,allocated
ripencc,FI,43692,1,20070913,allocated
ripencc,FI,43792,1,20070928,allocated
ripencc,FI,44146,1,20190918,allocated
ripencc,FI,44506,1,20090731,allocated
ripencc,FI,45010,1,20080418,allocated
ripencc,FI,47605,1,20080721,allocated
ripencc,FI,47732,1,20080811,allocated
ripencc,FI,47983,1,20161024,allocated
ripencc,FI,48156,1,20081021,allocated
