Registry,Country,ASN,Value,Date,Status
apnic,FJ,4638,1,19951026,allocated
apnic,FJ,9241,1,20000525,allocated
apnic,FJ,24390,1,20050329,allocated
apnic,FJ,37976,1,20200119,allocated
apnic,FJ,38442,1,20070208,allocated
apnic,FJ,45349,1,20080814,allocated
apnic,FJ,45355,1,20080818,allocated
apnic,FJ,132248,1,20160811,allocated
apnic,FJ,133067,1,20171004,allocated
apnic,FJ,133625,1,20161004,allocated
apnic,FJ,134208,1,20220622,allocated
apnic,FJ,135647,1,20161026,allocated
apnic,FJ,136415,1,20190130,allocated
apnic,FJ,136921,1,20170818,allocated
apnic,FJ,137890,1,20180601,allocated
apnic,FJ,140046,1,20200119,allocated
apnic,FJ,141470,1,20210119,allocated
apnic,FJ,149429,1,20220110,allocated
