Registry,Country,ASN,Value,Date,Status
arin,FR,886,1,20220607,assigned
arin,FR,887,1,20220607,assigned
ripencc,FR,2027,1,20110112,allocated
ripencc,FR,2200,1,19930901,allocated
ripencc,FR,2278,1,19930901,allocated
ripencc,FR,2279,1,19930901,allocated
ripencc,FR,2280,1,19930901,allocated
ripencc,FR,2281,1,19930901,allocated
ripencc,FR,2282,1,19930901,allocated
ripencc,FR,2283,1,19930901,allocated
ripencc,FR,2284,1,19930901,allocated
ripencc,FR,2285,1,19930901,allocated
ripencc,FR,2286,1,19930901,allocated
ripencc,FR,2287,1,19930901,allocated
ripencc,FR,2288,1,19930901,allocated
ripencc,FR,2289,1,19930901,allocated
ripencc,FR,2290,1,19930901,allocated
ripencc,FR,2291,1,19930901,allocated
ripencc,FR,2292,1,19930901,allocated
ripencc,FR,2293,1,19930901,allocated
ripencc,FR,2294,1,19930901,allocated
ripencc,FR,2295,1,19930901,allocated
ripencc,FR,2296,1,19930901,allocated
ripencc,FR,2297,1,19930901,allocated
ripencc,FR,2298,1,19930901,allocated
ripencc,FR,2299,1,19930901,allocated
ripencc,FR,2300,1,19930901,allocated
ripencc,FR,2301,1,19930901,allocated
ripencc,FR,2302,1,19930901,allocated
ripencc,FR,2303,1,19930901,allocated
ripencc,FR,2304,1,19930901,allocated
ripencc,FR,2305,1,19930901,allocated
ripencc,FR,2306,1,19930901,allocated
ripencc,FR,2307,1,19930901,allocated
ripencc,FR,2308,1,19930901,allocated
ripencc,FR,2309,1,19930901,allocated
ripencc,FR,2340,1,19930901,allocated
ripencc,FR,2341,1,19930901,allocated
ripencc,FR,2342,1,19930901,allocated
ripencc,FR,2343,1,19930901,allocated
ripencc,FR,2344,1,19930901,allocated
ripencc,FR,2345,1,19930901,allocated
ripencc,FR,2346,1,19930901,allocated
ripencc,FR,2347,1,19930901,allocated
ripencc,FR,2348,1,19930901,allocated
ripencc,FR,2349,1,19930901,allocated
ripencc,FR,2370,1,19930901,allocated
ripencc,FR,2371,1,19930901,allocated
ripencc,FR,2372,1,19930901,allocated
ripencc,FR,2373,1,19930901,allocated
ripencc,FR,2374,1,19930901,allocated
ripencc,FR,2375,1,19930901,allocated
ripencc,FR,2376,1,19930901,allocated
ripencc,FR,2377,1,19930901,allocated
ripencc,FR,2481,1,19930901,allocated
ripencc,FR,2482,1,19930901,allocated
ripencc,FR,2483,1,19930901,allocated
ripencc,FR,2484,1,19930901,allocated
ripencc,FR,2485,1,19930901,allocated
ripencc,FR,2486,1,19930901,allocated
ripencc,FR,2917,1,19930901,allocated
ripencc,FR,3196,1,20120502,allocated
ripencc,FR,3215,1,19940415,allocated
ripencc,FR,3256,1,19940927,allocated
ripencc,FR,3259,1,19941005,allocated
ripencc,FR,3294,1,19950123,allocated
ripencc,FR,3295,1,19950124,allocated
ripencc,FR,3296,1,19950124,allocated
ripencc,FR,3297,1,19950124,allocated
ripencc,FR,3298,1,19950124,allocated
ripencc,FR,3299,1,19950124,allocated
ripencc,FR,3305,1,19941028,allocated
ripencc,FR,5410,1,19950908,allocated
ripencc,FR,5436,1,19951027,allocated
ripencc,FR,5511,1,19960108,allocated
ripencc,FR,5583,1,19960318,allocated
ripencc,FR,5630,1,20060407,allocated
ripencc,FR,6738,1,20060621,allocated
ripencc,FR,8218,1,20040709,allocated
ripencc,FR,8228,1,19970305,allocated
ripencc,FR,8255,1,19970404,allocated
ripencc,FR,8304,1,19970509,allocated
ripencc,FR,8309,1,20090414,allocated
ripencc,FR,8310,1,19970513,allocated
ripencc,FR,8352,1,20151020,allocated
ripencc,FR,8361,1,19970630,allocated
ripencc,FR,8362,1,19970630,allocated
ripencc,FR,8399,1,19970729,allocated
ripencc,FR,8487,1,20070816,allocated
ripencc,FR,8528,1,19971029,allocated
ripencc,FR,8554,1,19971118,allocated
ripencc,FR,8565,1,20100325,allocated
ripencc,FR,8635,1,19980127,allocated
ripencc,FR,8677,1,19980219,allocated
ripencc,FR,8723,1,19980324,allocated
ripencc,FR,8784,1,19980513,allocated
ripencc,FR,8839,1,19980617,allocated
ripencc,FR,8891,1,19980717,allocated
ripencc,FR,8908,1,19980729,allocated
ripencc,FR,8921,1,19980810,allocated
ripencc,FR,8975,1,19980914,allocated
ripencc,FR,8999,1,19981002,allocated
ripencc,FR,9003,1,19981005,allocated
ripencc,FR,9036,1,19981029,allocated
ripencc,FR,9089,1,19981209,allocated
ripencc,FR,9149,1,20091015,allocated
ripencc,FR,9159,1,19990119,allocated
ripencc,FR,9168,1,20090115,allocated
ripencc,FR,9180,1,19990202,allocated
ripencc,FR,12318,1,19990308,allocated
ripencc,FR,12322,1,19990311,allocated
ripencc,FR,12362,1,19990412,allocated
ripencc,FR,12395,1,19990428,allocated
ripencc,FR,12409,1,19990507,allocated
ripencc,FR,12472,1,19990607,allocated
ripencc,FR,12516,1,20010115,allocated
ripencc,FR,12523,1,19990630,allocated
ripencc,FR,12536,1,19990706,allocated
ripencc,FR,12565,1,20081229,allocated
ripencc,FR,12566,1,19990726,allocated
ripencc,FR,12601,1,19990816,allocated
ripencc,FR,12626,1,19990826,allocated
ripencc,FR,12629,1,19990830,allocated
ripencc,FR,12645,1,19990909,allocated
ripencc,FR,12664,1,19990917,allocated
ripencc,FR,12670,1,19990922,allocated
ripencc,FR,12696,1,19991001,allocated
