Registry,Country,ASN,Value,Date,Status
afrinic,GA,16058,1,20070920,allocated
afrinic,GA,37390,1,20111104,allocated
afrinic,GA,37582,1,20130325,allocated
afrinic,GA,37616,1,20130905,allocated
afrinic,GA,37780,1,20180829,allocated
afrinic,GA,327796,1,20140923,allocated
afrinic,GA,327876,1,20150421,allocated
afrinic,GA,328124,1,20170120,allocated
afrinic,GA,328304,1,20180409,allocated
afrinic,GA,328429,1,20190206,allocated
afrinic,GA,328502,1,20190626,allocated
afrinic,GA,329118,1,20220812,allocated
