Registry,Country,ASN,Value,Date,Status
ripencc,GB,786,1,19930901,allocated
ripencc,GB,2129,1,19930323,allocated
ripencc,GB,2529,1,19930216,allocated
ripencc,GB,2589,1,20110401,allocated
ripencc,GB,2818,1,19931118,allocated
ripencc,GB,2855,1,19931222,allocated
ripencc,GB,2856,1,19931222,allocated
ripencc,GB,3170,1,20120426,allocated
ripencc,GB,3206,1,20120503,allocated
ripencc,GB,3213,1,19940412,allocated
ripencc,GB,3220,1,19940509,allocated
ripencc,GB,3223,1,20090723,allocated
ripencc,GB,3232,1,20151116,allocated
ripencc,GB,3252,1,19940909,allocated
ripencc,GB,3300,1,19941028,allocated
ripencc,GB,3344,1,20031120,allocated
ripencc,GB,4455,1,20140127,allocated
ripencc,GB,5089,1,19930901,allocated
ripencc,GB,5378,1,19950608,allocated
ripencc,GB,5388,1,19950728,allocated
ripencc,GB,5400,1,19950815,allocated
ripencc,GB,5413,1,19950912,allocated
ripencc,GB,5428,1,19951005,allocated
ripencc,GB,5459,1,19960529,allocated
ripencc,GB,5462,1,19951106,allocated
ripencc,GB,5464,1,20000630,allocated
ripencc,GB,5482,1,19951205,allocated
ripencc,GB,5497,1,20151030,allocated
ripencc,GB,5500,1,19960521,allocated
ripencc,GB,5503,1,19951222,allocated
ripencc,GB,5519,1,19960117,allocated
ripencc,GB,5551,1,19960219,allocated
ripencc,GB,5552,1,19960219,allocated
ripencc,GB,5555,1,20041111,allocated
ripencc,GB,5564,1,19960229,allocated
ripencc,GB,5571,1,19960311,allocated
ripencc,GB,5586,1,19980825,allocated
ripencc,GB,5587,1,19960328,allocated
ripencc,GB,5600,1,19960419,allocated
ripencc,GB,5604,1,19960419,allocated
ripencc,GB,5607,1,19960424,allocated
ripencc,GB,5614,1,19960426,allocated
ripencc,GB,5622,1,19960503,allocated
ripencc,GB,5631,1,19960515,allocated
ripencc,GB,6656,1,19960521,allocated
ripencc,GB,6660,1,19960530,allocated
ripencc,GB,6675,1,19960621,allocated
ripencc,GB,6685,1,19960625,allocated
ripencc,GB,6717,1,19960718,allocated
ripencc,GB,6727,1,19960723,allocated
ripencc,GB,6728,1,19960725,allocated
ripencc,GB,6745,1,19960821,allocated
ripencc,GB,6749,1,19960828,allocated
ripencc,GB,6757,1,19960905,allocated
ripencc,GB,6759,1,20151023,allocated
ripencc,GB,6763,1,19960912,allocated
ripencc,GB,6779,1,19961003,allocated
ripencc,GB,6838,1,19961119,allocated
ripencc,GB,6847,1,19961126,allocated
ripencc,GB,6859,1,20020314,allocated
ripencc,GB,6871,1,19961213,allocated
ripencc,GB,6894,1,19970107,allocated
ripencc,GB,6908,1,20060110,allocated
ripencc,GB,6911,1,20021003,allocated
ripencc,GB,7042,1,19960805,allocated
ripencc,GB,8180,1,20020226,allocated
ripencc,GB,8220,1,19970224,allocated
ripencc,GB,8266,1,20060407,allocated
ripencc,GB,8272,1,19970414,allocated
ripencc,GB,8276,1,20050119,allocated
ripencc,GB,8282,1,20030616,allocated
ripencc,GB,8296,1,20060407,allocated
ripencc,GB,8330,1,19970602,allocated
ripencc,GB,8336,1,20151020,allocated
ripencc,GB,8356,1,20041108,allocated
ripencc,GB,8372,1,19970703,allocated
ripencc,GB,8401,1,19970729,allocated
ripencc,GB,8419,1,19970812,allocated
ripencc,GB,8426,1,19970815,allocated
ripencc,GB,8435,1,19970820,allocated
ripencc,GB,8444,1,20151016,allocated
ripencc,GB,8457,1,19970903,allocated
ripencc,GB,8468,1,19970910,allocated
ripencc,GB,8472,1,19970912,allocated
ripencc,GB,8530,1,20061101,allocated
ripencc,GB,8546,1,19971113,allocated
ripencc,GB,8548,1,19971113,allocated
ripencc,GB,8550,1,20050222,allocated
ripencc,GB,8553,1,19971118,allocated
ripencc,GB,8576,1,19971210,allocated
ripencc,GB,8577,1,20060228,allocated
ripencc,GB,8586,1,19971217,allocated
ripencc,GB,8607,1,19971230,allocated
ripencc,GB,8613,1,19980108,allocated
ripencc,GB,8619,1,20151014,allocated
ripencc,GB,8621,1,20090819,allocated
ripencc,GB,8622,1,19980115,allocated
ripencc,GB,8651,1,20060815,allocated
ripencc,GB,8656,1,19980211,allocated
ripencc,GB,8669,1,19980217,allocated
ripencc,GB,8676,1,19980218,allocated
ripencc,GB,8680,1,19980220,allocated
ripencc,GB,8683,1,20020123,allocated
ripencc,GB,8686,1,19980227,allocated
ripencc,GB,8689,1,19980303,allocated
ripencc,GB,8698,1,20130911,allocated
ripencc,GB,8709,1,19980312,allocated
ripencc,GB,8714,1,19980316,allocated
ripencc,GB,8716,1,20010207,allocated
ripencc,GB,8718,1,19980319,allocated
ripencc,GB,8760,1,19980417,allocated
ripencc,GB,8789,1,20100721,allocated
ripencc,GB,8791,1,20151012,allocated
ripencc,GB,8801,1,19980528,allocated
ripencc,GB,8802,1,19980528,allocated
ripencc,GB,8835,1,19980612,allocated
ripencc,GB,8838,1,19980615,allocated
ripencc,GB,8844,1,19980617,allocated
ripencc,GB,8851,1,19980623,allocated
ripencc,GB,8897,1,19980723,allocated
ripencc,GB,8898,1,20151008,allocated
ripencc,GB,8902,1,19980723,allocated
ripencc,GB,8912,1,19980731,allocated
ripencc,GB,8916,1,20090812,allocated
ripencc,GB,8942,1,19980824,allocated
ripencc,GB,8943,1,19980827,allocated
ripencc,GB,8952,1,19980827,allocated
ripencc,GB,9002,1,20080325,allocated
ripencc,GB,9011,1,19981015,allocated
ripencc,GB,9014,1,20051103,allocated
ripencc,GB,9057,1,19981112,allocated
ripencc,GB,9084,1,19981203,allocated
ripencc,GB,9086,1,20021106,allocated
ripencc,GB,9090,1,19981209,allocated
ripencc,GB,9105,1,19981216,allocated
ripencc,GB,9126,1,19981231,allocated
ripencc,GB,9140,1,20121008,allocated
ripencc,GB,9153,1,19990113,allocated
ripencc,GB,9156,1,19990119,allocated
ripencc,GB,9161,1,19990120,allocated
ripencc,GB,9179,1,19990202,allocated
ripencc,GB,9191,1,19990209,allocated
ripencc,GB,9194,1,19990212,allocated
ripencc,GB,9248,1,20000531,allocated
apnic,GB,9786,1,20231201,allocated
arin,GB,11856,1,20061101,assigned
ripencc,GB,12290,1,20110707,allocated
ripencc,GB,12390,1,19990427,allocated
ripencc,GB,12433,1,20091102,allocated
ripencc,GB,12471,1,19990604,allocated
ripencc,GB,12488,1,20070410,allocated
ripencc,GB,12496,1,19990615,allocated
ripencc,GB,12519,1,19990629,allocated
ripencc,GB,12554,1,19990713,allocated
ripencc,GB,12576,1,19990730,allocated
ripencc,GB,12606,1,19990817,allocated
ripencc,GB,12613,1,20031121,allocated
ripencc,GB,12628,1,19990827,allocated
ripencc,GB,12640,1,19990907,allocated
ripencc,GB,12641,1,19990908,allocated
ripencc,GB,12647,1,20150924,allocated
ripencc,GB,12701,1,19991004,allocated
ripencc,GB,12703,1,19991005,allocated
ripencc,GB,12708,1,19991116,allocated
ripencc,GB,12755,1,19991027,allocated
ripencc,GB,12761,1,19991028,allocated
ripencc,GB,12775,1,19991105,allocated
ripencc,GB,12789,1,20001016,allocated
ripencc,GB,12852,1,19991210,allocated
ripencc,GB,12870,1,19991216,allocated
ripencc,GB,12878,1,19991220,allocated
ripencc,GB,12884,1,20090115,allocated
ripencc,GB,12953,1,20000124,allocated
ripencc,GB,13002,1,20000216,allocated
ripencc,GB,13005,1,20000216,allocated
ripencc,GB,13009,1,20000217,allocated
ripencc,GB,13017,1,20000222,allocated
ripencc,GB,13037,1,20000225,allocated
ripencc,GB,13076,1,20000310,allocated
ripencc,GB,13126,1,20000327,allocated
