Registry,Country,ASN,Value,Date,Status
ripencc,GE,9144,1,20120523,allocated
ripencc,GE,15491,1,20000714,allocated
ripencc,GE,16010,1,20001123,allocated
ripencc,GE,20545,1,20010330,allocated
ripencc,GE,20771,1,20050908,allocated
ripencc,GE,21214,1,20011001,allocated
ripencc,GE,21276,1,20150722,allocated
ripencc,GE,24997,1,20020619,allocated
ripencc,GE,25249,1,20020911,allocated
ripencc,GE,28751,1,20030214,allocated
ripencc,GE,29289,1,20150529,allocated
ripencc,GE,34666,1,20050311,allocated
ripencc,GE,34797,1,20050406,allocated
ripencc,GE,35076,1,20050530,allocated
ripencc,GE,35805,1,20051031,allocated
ripencc,GE,39248,1,20060118,allocated
ripencc,GE,39452,1,20060224,allocated
ripencc,GE,41161,1,20060623,allocated
ripencc,GE,41738,1,20061017,allocated
ripencc,GE,41877,1,20061107,allocated
ripencc,GE,42082,1,20061215,allocated
ripencc,GE,42140,1,20170608,allocated
ripencc,GE,42223,1,20111202,allocated
ripencc,GE,42896,1,20070508,allocated
ripencc,GE,42938,1,20170302,allocated
ripencc,GE,43715,1,20180508,allocated
ripencc,GE,44327,1,20071224,allocated
ripencc,GE,44621,1,20080214,allocated
ripencc,GE,47270,1,20230922,allocated
ripencc,GE,47282,1,20141121,allocated
ripencc,GE,47575,1,20161027,allocated
ripencc,GE,47644,1,20091012,allocated
ripencc,GE,47810,1,20080825,allocated
ripencc,GE,48393,1,20081121,allocated
ripencc,GE,48415,1,20110318,allocated
ripencc,GE,48538,1,20210720,allocated
ripencc,GE,49016,1,20170220,allocated
ripencc,GE,49129,1,20090416,allocated
ripencc,GE,49254,1,20090507,allocated
ripencc,GE,49297,1,20090514,allocated
ripencc,GE,49628,1,20160920,allocated
ripencc,GE,50053,1,20230327,allocated
ripencc,GE,50151,1,20170227,allocated
ripencc,GE,50514,1,20230525,allocated
ripencc,GE,50647,1,20161213,allocated
ripencc,GE,51010,1,20100517,allocated
ripencc,GE,51142,1,20170213,allocated
ripencc,GE,51481,1,20180706,allocated
ripencc,GE,51841,1,20161228,allocated
ripencc,GE,56811,1,20110520,allocated
ripencc,GE,56855,1,20110530,allocated
ripencc,GE,56966,1,20110623,allocated
ripencc,GE,57127,1,20211108,allocated
ripencc,GE,57445,1,20111026,allocated
ripencc,GE,57473,1,20111107,allocated
ripencc,GE,57743,1,20170223,allocated
ripencc,GE,57768,1,20120203,allocated
ripencc,GE,57814,1,20120215,allocated
ripencc,GE,57881,1,20120302,allocated
ripencc,GE,58185,1,20120523,allocated
ripencc,GE,58227,1,20120529,allocated
ripencc,GE,59447,1,20120712,allocated
ripencc,GE,59503,1,20120727,allocated
ripencc,GE,60392,1,20220714,allocated
ripencc,GE,61167,1,20130125,allocated
ripencc,GE,62252,1,20131209,allocated
ripencc,GE,197229,1,20100818,allocated
ripencc,GE,197328,1,20121002,allocated
ripencc,GE,197335,1,20101022,allocated
ripencc,GE,198150,1,20230614,allocated
ripencc,GE,198512,1,20120221,allocated
ripencc,GE,198561,1,20120306,allocated
ripencc,GE,198874,1,20120910,allocated
ripencc,GE,199045,1,20120726,allocated
ripencc,GE,199242,1,20230321,allocated
ripencc,GE,199469,1,20130111,allocated
ripencc,GE,199625,1,20230303,allocated
ripencc,GE,199872,1,20131223,allocated
ripencc,GE,199899,1,20230213,allocated
ripencc,GE,200476,1,20221215,allocated
ripencc,GE,200488,1,20150623,allocated
ripencc,GE,200568,1,20150603,allocated
ripencc,GE,200883,1,20150319,allocated
ripencc,GE,201141,1,20180710,allocated
ripencc,GE,201174,1,20150108,allocated
ripencc,GE,201356,1,20141117,allocated
ripencc,GE,201575,1,20221104,allocated
ripencc,GE,201598,1,20140910,allocated
ripencc,GE,201651,1,20140825,allocated
ripencc,GE,202065,1,20221019,allocated
