Registry,Country,ASN,Value,Date,Status
afrinic,GH,15825,1,20070919,allocated
afrinic,GH,29340,1,20090114,allocated
afrinic,GH,29614,1,20070920,allocated
afrinic,GH,29674,1,20070920,allocated
afrinic,GH,30986,1,20040614,allocated
afrinic,GH,30997,1,20050308,allocated
afrinic,GH,33786,1,20050725,allocated
afrinic,GH,37012,1,20080318,allocated
afrinic,GH,37030,1,20080722,allocated
afrinic,GH,37032,1,20080724,allocated
afrinic,GH,37074,1,20081121,allocated
afrinic,GH,37087,1,20090211,allocated
afrinic,GH,37140,1,20090827,allocated
afrinic,GH,37212,1,20100512,allocated
afrinic,GH,37232,1,20100701,allocated
afrinic,GH,37255,1,20100902,allocated
afrinic,GH,37263,1,20100929,allocated
afrinic,GH,37289,1,20110207,allocated
afrinic,GH,37304,1,20110317,allocated
afrinic,GH,37313,1,20110401,allocated
afrinic,GH,37350,1,20110629,allocated
afrinic,GH,37373,1,20110907,allocated
afrinic,GH,37392,1,20111107,allocated
afrinic,GH,37478,1,20120713,allocated
afrinic,GH,37534,1,20121206,allocated
afrinic,GH,37539,1,20121221,allocated
afrinic,GH,37570,1,20130306,allocated
afrinic,GH,37613,1,20130823,allocated
afrinic,GH,37647,1,20131031,allocated
afrinic,GH,37727,1,20211206,allocated
afrinic,GH,37806,1,20250703,allocated
afrinic,GH,327695,1,20101013,allocated
afrinic,GH,327814,1,20141030,allocated
afrinic,GH,327845,1,20150224,allocated
afrinic,GH,327848,1,20150226,allocated
afrinic,GH,327853,1,20150303,allocated
afrinic,GH,327886,1,20160621,allocated
afrinic,GH,327890,1,20150526,allocated
afrinic,GH,327928,1,20150902,allocated
afrinic,GH,327944,1,20151019,allocated
afrinic,GH,327947,1,20151027,allocated
afrinic,GH,327965,1,20151214,allocated
afrinic,GH,327992,1,20160323,allocated
afrinic,GH,328054,1,20160809,allocated
afrinic,GH,328076,1,20160928,allocated
afrinic,GH,328141,1,20170322,allocated
afrinic,GH,328182,1,20170621,allocated
afrinic,GH,328184,1,20170621,allocated
afrinic,GH,328185,1,20170622,allocated
afrinic,GH,328212,1,20170818,allocated
afrinic,GH,328213,1,20170818,allocated
afrinic,GH,328224,1,20170914,allocated
afrinic,GH,328252,1,20171204,allocated
afrinic,GH,328261,1,20171219,allocated
afrinic,GH,328264,1,20180105,allocated
afrinic,GH,328303,1,20180404,allocated
afrinic,GH,328353,1,20180817,allocated
afrinic,GH,328367,1,20180904,allocated
afrinic,GH,328372,1,20180919,allocated
afrinic,GH,328439,1,20211025,allocated
afrinic,GH,328454,1,20190327,allocated
afrinic,GH,328494,1,20190603,allocated
afrinic,GH,328530,1,20190823,allocated
afrinic,GH,328532,1,20190902,allocated
afrinic,GH,328571,1,20191113,allocated
afrinic,GH,328574,1,20191115,allocated
afrinic,GH,328639,1,20200415,allocated
afrinic,GH,328647,1,20200427,allocated
afrinic,GH,328648,1,20200427,allocated
afrinic,GH,328659,1,20200518,allocated
afrinic,GH,328662,1,20200525,allocated
afrinic,GH,328663,1,20200528,allocated
afrinic,GH,328717,1,20200818,allocated
afrinic,GH,328752,1,20201028,allocated
afrinic,GH,328769,1,20201202,allocated
afrinic,GH,328770,1,20201214,allocated
afrinic,GH,328797,1,20210211,allocated
afrinic,GH,328827,1,20210409,allocated
afrinic,GH,328842,1,20210426,allocated
afrinic,GH,328887,1,20210715,allocated
afrinic,GH,328890,1,20210721,allocated
afrinic,GH,328891,1,20210721,allocated
afrinic,GH,328896,1,20210723,allocated
afrinic,GH,328957,1,20211014,allocated
afrinic,GH,328983,1,20211202,allocated
afrinic,GH,328984,1,20211202,allocated
afrinic,GH,329009,1,20220208,allocated
afrinic,GH,329066,1,20220522,allocated
afrinic,GH,329154,1,20221011,allocated
afrinic,GH,329169,1,20221107,allocated
afrinic,GH,329176,1,20221121,allocated
afrinic,GH,329180,1,20221125,allocated
afrinic,GH,329238,1,20230331,allocated
afrinic,GH,329309,1,20230821,allocated
afrinic,GH,329326,1,20230908,allocated
afrinic,GH,329332,1,20231002,allocated
afrinic,GH,329338,1,20231016,allocated
afrinic,GH,329389,1,20240119,allocated
afrinic,GH,329410,1,20240229,allocated
afrinic,GH,329416,1,20240321,allocated
afrinic,GH,329436,1,20240524,allocated
afrinic,GH,329447,1,20240622,allocated
afrinic,GH,329449,1,20240626,allocated
afrinic,GH,329459,1,20240717,allocated
afrinic,GH,329477,1,20240814,allocated
afrinic,GH,329482,1,20240820,allocated
afrinic,GH,329486,1,20240905,allocated
afrinic,GH,329566,1,20250703,allocated
afrinic,GH,329580,1,20250716,allocated
