Registry,Country,ASN,Value,Date,Status
ripencc,GI,8301,1,19970507,allocated
ripencc,GI,8446,1,20151016,allocated
ripencc,GI,8652,1,20100512,allocated
ripencc,GI,12786,1,20061107,allocated
ripencc,GI,12798,1,19991006,allocated
ripencc,GI,21110,1,20010829,allocated
ripencc,GI,34803,1,20050407,allocated
ripencc,GI,34810,1,20050407,allocated
ripencc,GI,39882,1,20060509,allocated
ripencc,GI,47448,1,20080620,allocated
ripencc,GI,49061,1,20090402,allocated
ripencc,GI,56775,1,20110513,allocated
ripencc,GI,60412,1,20220125,allocated
ripencc,GI,60817,1,20130506,allocated
ripencc,GI,196775,1,20090525,allocated
ripencc,GI,196904,1,20100122,allocated
ripencc,GI,198849,1,20120531,allocated
ripencc,GI,199926,1,20131205,allocated
ripencc,GI,201071,1,20180712,allocated
ripencc,GI,202087,1,20140415,allocated
ripencc,GI,203335,1,20160211,allocated
ripencc,GI,203976,1,20220711,allocated
ripencc,GI,205772,1,20170607,allocated
ripencc,GI,207402,1,20200210,allocated
ripencc,GI,208700,1,20190619,allocated
ripencc,GI,212734,1,20200827,allocated
