Registry,Country,ASN,Value,Date,Status
afrinic,GM,25250,1,20070920,allocated
afrinic,GM,37309,1,20110325,allocated
afrinic,GM,37323,1,20110426,allocated
afrinic,GM,37503,1,20121015,allocated
afrinic,GM,37524,1,20121120,allocated
afrinic,GM,37552,1,20130205,allocated
afrinic,GM,37698,1,20140523,allocated
afrinic,GM,327719,1,20140106,allocated
afrinic,GM,328140,1,20170317,allocated
afrinic,GM,328488,1,20190522,allocated
afrinic,GM,329179,1,20221124,allocated
afrinic,GM,329329,1,20230912,allocated
