Registry,Country,ASN,Value,Date,Status
afrinic,GN,37067,1,20161202,allocated
afrinic,GN,37141,1,20090831,allocated
afrinic,GN,37427,1,20120301,allocated
afrinic,GN,37430,1,20120308,allocated
afrinic,GN,37461,1,20120614,allocated
afrinic,GN,37612,1,20130820,allocated
afrinic,GN,37665,1,20130605,allocated
afrinic,GN,37784,1,20181106,allocated
afrinic,GN,328107,1,20161123,allocated
afrinic,GN,328108,1,20161202,allocated
afrinic,GN,328244,1,20171108,allocated
afrinic,GN,328398,1,20181106,allocated
afrinic,GN,328899,1,20210728,allocated
afrinic,GN,328923,1,20210830,allocated
afrinic,GN,328965,1,20211025,allocated
afrinic,GN,329293,1,20230724,allocated
afrinic,GN,329399,1,20240215,allocated
afrinic,GN,329509,1,20241016,allocated
afrinic,GN,329594,1,20250801,allocated
