Registry,Country,ASN,Value,Date,Status
ripencc,GR,1241,1,19930901,allocated
ripencc,GR,2546,1,19930901,allocated
ripencc,GR,3260,1,19941007,allocated
ripencc,GR,3323,1,19950223,allocated
ripencc,GR,3329,1,19950308,allocated
ripencc,GR,4492,1,19950308,allocated
ripencc,GR,4601,1,19950501,allocated
ripencc,GR,5408,1,19950906,allocated
ripencc,GR,5470,1,19951124,allocated
ripencc,GR,5489,1,19980522,allocated
ripencc,GR,6674,1,20060925,allocated
ripencc,GR,6744,1,19960820,allocated
ripencc,GR,6799,1,19961022,allocated
ripencc,GR,6867,1,19961211,allocated
ripencc,GR,8248,1,19991118,allocated
ripencc,GR,8253,1,19970327,allocated
ripencc,GR,8278,1,19970416,allocated
ripencc,GR,8280,1,20070618,allocated
ripencc,GR,8388,1,19970721,allocated
ripencc,GR,8396,1,19970725,allocated
ripencc,GR,8499,1,19971010,allocated
ripencc,GR,8522,1,19971024,allocated
ripencc,GR,8581,1,19971215,allocated
ripencc,GR,8611,1,19980106,allocated
ripencc,GR,8617,1,19980112,allocated
ripencc,GR,8618,1,19980112,allocated
ripencc,GR,8643,1,19980204,allocated
ripencc,GR,8762,1,19980421,allocated
ripencc,GR,8951,1,19980828,allocated
ripencc,GR,8991,1,19980929,allocated
ripencc,GR,9069,1,19981123,allocated
ripencc,GR,9128,1,19990104,allocated
ripencc,GR,12361,1,19991130,allocated
ripencc,GR,12364,1,19990413,allocated
ripencc,GR,12402,1,19990504,allocated
ripencc,GR,12713,1,19991008,allocated
ripencc,GR,13038,1,20000225,allocated
ripencc,GR,13153,1,20000411,allocated
ripencc,GR,15430,1,20000627,allocated
ripencc,GR,15439,1,20000629,allocated
ripencc,GR,15536,1,20000728,allocated
ripencc,GR,15544,1,20000801,allocated
ripencc,GR,15617,1,20000824,allocated
ripencc,GR,15690,1,20000912,allocated
ripencc,GR,15853,1,20001024,allocated
ripencc,GR,15948,1,20001109,allocated
ripencc,GR,16013,1,20001124,allocated
ripencc,GR,16200,1,20150824,allocated
ripencc,GR,20506,1,20060725,allocated
ripencc,GR,20813,1,20010608,allocated
ripencc,GR,20962,1,20010712,allocated
ripencc,GR,24849,1,20020422,allocated
ripencc,GR,25472,1,20021204,allocated
ripencc,GR,28953,1,20030417,allocated
ripencc,GR,28969,1,20030424,allocated
ripencc,GR,29162,1,20030618,allocated
ripencc,GR,29229,1,20030703,allocated
ripencc,GR,29241,1,20030707,allocated
ripencc,GR,29247,1,20030709,allocated
ripencc,GR,29353,1,20030813,allocated
ripencc,GR,30850,1,20031219,allocated
ripencc,GR,31563,1,20040614,allocated
ripencc,GR,31579,1,20040615,allocated
ripencc,GR,34239,1,20041125,allocated
ripencc,GR,34516,1,20050414,allocated
ripencc,GR,34780,1,20050405,allocated
ripencc,GR,35372,1,20190301,allocated
ripencc,GR,35459,1,20050812,allocated
ripencc,GR,35472,1,20050816,allocated
ripencc,GR,35499,1,20190213,allocated
ripencc,GR,35506,1,20050823,allocated
ripencc,GR,39062,1,20051206,allocated
ripencc,GR,39481,1,20060303,allocated
ripencc,GR,39867,1,20060508,allocated
ripencc,GR,40990,1,20060526,allocated
ripencc,GR,41125,1,20060616,allocated
ripencc,GR,41372,1,20060802,allocated
ripencc,GR,41579,1,20060918,allocated
ripencc,GR,42070,1,20061213,allocated
ripencc,GR,42680,1,20070330,allocated
ripencc,GR,42817,1,20070420,allocated
ripencc,GR,44036,1,20071107,allocated
ripencc,GR,47180,1,20231004,allocated
ripencc,GR,47521,1,20080701,allocated
ripencc,GR,47616,1,20080723,allocated
ripencc,GR,48053,1,20081003,allocated
ripencc,GR,48172,1,20170406,allocated
ripencc,GR,48380,1,20081120,allocated
ripencc,GR,48449,1,20230717,allocated
ripencc,GR,48489,1,20081202,allocated
ripencc,GR,49582,1,20090708,allocated
ripencc,GR,49968,1,20220622,allocated
ripencc,GR,50148,1,20091123,allocated
ripencc,GR,50311,1,20091217,allocated
ripencc,GR,50501,1,20100129,allocated
ripencc,GR,50520,1,20160118,allocated
ripencc,GR,50745,1,20141105,allocated
ripencc,GR,50919,1,20100421,allocated
ripencc,GR,51505,1,20231128,allocated
ripencc,GR,51537,1,20100922,allocated
ripencc,GR,51574,1,20210702,allocated
ripencc,GR,51810,1,20101109,allocated
ripencc,GR,51900,1,20200604,allocated
ripencc,GR,56457,1,20191230,allocated
ripencc,GR,56815,1,20160613,allocated
ripencc,GR,56858,1,20200603,allocated
ripencc,GR,56910,1,20110609,allocated
ripencc,GR,57794,1,20120210,allocated
ripencc,GR,60325,1,20130813,allocated
ripencc,GR,60342,1,20130808,allocated
ripencc,GR,60597,1,20130619,allocated
ripencc,GR,60723,1,20130522,allocated
ripencc,GR,60911,1,20130415,allocated
ripencc,GR,62061,1,20200205,allocated
ripencc,GR,196945,1,20100824,allocated
ripencc,GR,197389,1,20230804,allocated
ripencc,GR,197515,1,20230727,allocated
ripencc,GR,197534,1,20110124,allocated
ripencc,GR,197580,1,20110215,allocated
ripencc,GR,197746,1,20110412,allocated
ripencc,GR,197899,1,20230706,allocated
ripencc,GR,197980,1,20230629,allocated
ripencc,GR,198188,1,20111031,allocated
ripencc,GR,198477,1,20120210,allocated
ripencc,GR,199081,1,20120807,allocated
ripencc,GR,199141,1,20120822,allocated
ripencc,GR,199246,1,20121002,allocated
ripencc,GR,199370,1,20130220,allocated
ripencc,GR,199375,1,20130219,allocated
ripencc,GR,199382,1,20130215,allocated
ripencc,GR,199399,1,20130204,allocated
ripencc,GR,200128,1,20131001,allocated
ripencc,GR,200314,1,20180808,allocated
ripencc,GR,200368,1,20221221,allocated
ripencc,GR,200736,1,20150428,allocated
