Registry,Country,ASN,Value,Date,Status
lacnic,GT,6133,1,19951122,allocated
lacnic,GT,6458,1,19960422,allocated
lacnic,GT,6487,1,19960502,allocated
lacnic,GT,10586,1,19970929,allocated
lacnic,GT,13682,1,19990727,allocated
lacnic,GT,14754,1,20000203,allocated
lacnic,GT,19767,1,20010212,allocated
lacnic,GT,20299,1,20010420,allocated
lacnic,GT,23243,1,20020213,allocated
lacnic,GT,26617,1,20021031,allocated
lacnic,GT,27654,1,20041109,allocated
lacnic,GT,27737,1,20040415,allocated
lacnic,GT,27799,1,20051121,allocated
lacnic,GT,27825,1,20060529,allocated
lacnic,GT,27910,1,20070625,allocated
lacnic,GT,27929,1,20070913,allocated
lacnic,GT,27933,1,20070927,allocated
lacnic,GT,28049,1,20090331,allocated
lacnic,GT,28069,1,20090722,allocated
lacnic,GT,28087,1,20091009,allocated
lacnic,GT,28105,1,20091210,allocated
lacnic,GT,52276,1,20100820,allocated
lacnic,GT,52286,1,20101013,allocated
lacnic,GT,52362,1,20120305,allocated
lacnic,GT,52451,1,20130319,allocated
lacnic,GT,52454,1,20130327,allocated
lacnic,GT,61472,1,20140729,allocated
lacnic,GT,64157,1,20231221,allocated
lacnic,GT,64158,1,20231221,allocated
ripencc,GT,211604,1,20220718,allocated
lacnic,GT,262166,1,20110707,allocated
lacnic,GT,262206,1,20120328,allocated
lacnic,GT,262207,1,20130719,allocated
lacnic,GT,263218,1,20140225,allocated
lacnic,GT,263231,1,20140507,allocated
lacnic,GT,263247,1,20140606,allocated
lacnic,GT,263714,1,20141211,allocated
lacnic,GT,263761,1,20150428,allocated
lacnic,GT,263763,1,20150508,allocated
lacnic,GT,263781,1,20150612,allocated
lacnic,GT,264637,1,20151111,allocated
lacnic,GT,264639,1,20151113,allocated
lacnic,GT,264764,1,20160901,allocated
lacnic,GT,265684,1,20170323,allocated
lacnic,GT,266678,1,20171219,allocated
lacnic,GT,266688,1,20171227,allocated
lacnic,GT,266696,1,20180109,allocated
lacnic,GT,266755,1,20180315,allocated
lacnic,GT,267713,1,20181105,allocated
lacnic,GT,267715,1,20181106,allocated
lacnic,GT,267774,1,20190218,allocated
lacnic,GT,267828,1,20190409,allocated
lacnic,GT,267927,1,20190705,allocated
lacnic,GT,269740,1,20190805,allocated
lacnic,GT,269745,1,20190808,allocated
lacnic,GT,269824,1,20191028,allocated
lacnic,GT,269830,1,20191104,allocated
lacnic,GT,269840,1,20191115,allocated
lacnic,GT,269899,1,20200110,allocated
lacnic,GT,269923,1,20200129,allocated
lacnic,GT,269926,1,20200203,allocated
lacnic,GT,269951,1,20200226,allocated
lacnic,GT,269964,1,20200309,allocated
lacnic,GT,269989,1,20200507,allocated
lacnic,GT,270036,1,20200622,allocated
lacnic,GT,271885,1,20210316,allocated
lacnic,GT,271946,1,20210730,allocated
lacnic,GT,271990,1,20211005,allocated
lacnic,GT,272012,1,20211108,allocated
lacnic,GT,272013,1,20211110,allocated
lacnic,GT,272061,1,20220121,allocated
lacnic,GT,272089,1,20220310,allocated
lacnic,GT,272818,1,20220701,allocated
lacnic,GT,272832,1,20220725,allocated
lacnic,GT,272853,1,20220826,allocated
lacnic,GT,272860,1,20220907,allocated
lacnic,GT,272876,1,20220921,allocated
lacnic,GT,272969,1,20230329,allocated
lacnic,GT,273041,1,20230720,allocated
lacnic,GT,273149,1,20231221,allocated
lacnic,GT,273150,1,20231221,allocated
lacnic,GT,273152,1,20231227,allocated
lacnic,GT,273228,1,20240416,allocated
lacnic,GT,273243,1,20240507,allocated
lacnic,GT,273831,1,20240517,allocated
lacnic,GT,273842,1,20240524,allocated
lacnic,GT,273871,1,20240709,allocated
lacnic,GT,273884,1,20240723,allocated
lacnic,GT,273897,1,20240807,allocated
lacnic,GT,274033,1,20250123,allocated
lacnic,GT,274038,1,20250128,allocated
lacnic,GT,274121,1,20250522,allocated
lacnic,GT,274151,1,20250623,allocated
