Registry,Country,ASN,Value,Date,Status
apnic,HK,2042,1,20161013,allocated
apnic,HK,2706,1,20030514,allocated
apnic,HK,2772,1,20100720,allocated
apnic,HK,3363,1,20031124,allocated
apnic,HK,3661,1,20020801,allocated
apnic,HK,3662,1,20020801,allocated
apnic,HK,3689,5,20100720,allocated
apnic,HK,4058,1,20020801,allocated
apnic,HK,4142,1,20020801,allocated
apnic,HK,4158,1,20020801,allocated
apnic,HK,4431,1,20020801,allocated
apnic,HK,4515,1,20020801,allocated
apnic,HK,4528,1,20040130,allocated
apnic,HK,4594,1,20020801,allocated
apnic,HK,4605,1,20020801,allocated
apnic,HK,4612,1,19950930,allocated
apnic,HK,4614,1,19950704,allocated
apnic,HK,4616,1,19950707,allocated
apnic,HK,4619,1,19950811,allocated
apnic,HK,4623,1,19950818,allocated
apnic,HK,4624,1,19950805,allocated
apnic,HK,4625,1,19950905,allocated
apnic,HK,4626,1,19950908,allocated
apnic,HK,4627,1,19950819,allocated
apnic,HK,4630,1,19950925,allocated
apnic,HK,4633,1,19950925,allocated
apnic,HK,4635,1,19951020,allocated
apnic,HK,4637,1,19951030,allocated
apnic,HK,4639,1,19951030,allocated
apnic,HK,4640,1,19951108,allocated
apnic,HK,4641,1,19951124,allocated
apnic,HK,4642,1,19951130,allocated
apnic,HK,4644,1,19951206,allocated
apnic,HK,4645,1,19951207,allocated
apnic,HK,4646,1,20160104,allocated
apnic,HK,4649,1,19951224,allocated
apnic,HK,4650,1,19951121,allocated
apnic,HK,4654,1,19951224,allocated
apnic,HK,4655,1,19960109,allocated
apnic,HK,4656,1,19960113,allocated
apnic,HK,4658,1,19951224,allocated
apnic,HK,4746,1,19960319,allocated
apnic,HK,4748,1,19960319,allocated
apnic,HK,4760,1,19960612,allocated
apnic,HK,4803,1,20220919,allocated
apnic,HK,4828,1,20011231,allocated
apnic,HK,4848,1,19951015,allocated
apnic,HK,4849,1,19960219,allocated
apnic,HK,4862,1,19961206,allocated
apnic,HK,4899,1,20090924,allocated
apnic,HK,5017,2,20100720,allocated
apnic,HK,5085,1,20020801,allocated
apnic,HK,7468,1,19970106,allocated
apnic,HK,7479,1,19970220,allocated
apnic,HK,7484,1,19970225,allocated
apnic,HK,7489,1,20151223,allocated
apnic,HK,7493,1,19970318,allocated
apnic,HK,7499,1,19970411,allocated
apnic,HK,7540,1,19970414,allocated
apnic,HK,7577,1,19970604,allocated
apnic,HK,7581,1,19970609,allocated
apnic,HK,7614,1,19970829,allocated
apnic,HK,7617,1,20041119,allocated
apnic,HK,7646,1,19971023,allocated
apnic,HK,7650,2,19971110,allocated
apnic,HK,7659,1,19971128,allocated
apnic,HK,7695,1,20060418,allocated
apnic,HK,7705,1,19971222,allocated
apnic,HK,9221,1,20000508,allocated
apnic,HK,9225,1,20000510,allocated
apnic,HK,9229,1,20000515,allocated
apnic,HK,9231,1,20000518,allocated
apnic,HK,9232,1,20220614,allocated
apnic,HK,9237,1,20000523,allocated
apnic,HK,9242,1,20001129,allocated
apnic,HK,9253,1,20000602,allocated
apnic,HK,9259,1,20000607,allocated
apnic,HK,9263,1,19980126,allocated
apnic,HK,9266,1,19980205,allocated
apnic,HK,9269,1,19980213,allocated
apnic,HK,9289,1,20020925,allocated
apnic,HK,9293,1,19980403,allocated
apnic,HK,9302,1,20220224,allocated
apnic,HK,9304,1,19980512,allocated
apnic,HK,9312,1,20170705,allocated
apnic,HK,9337,1,19980710,allocated
apnic,HK,9381,1,19980817,allocated
apnic,HK,9440,1,19981111,allocated
apnic,HK,9444,1,19981116,allocated
apnic,HK,9468,1,19981211,allocated
apnic,HK,9474,1,19990107,allocated
apnic,HK,9478,1,19990128,allocated
apnic,HK,9502,1,19990318,allocated
apnic,HK,9512,1,20090320,allocated
apnic,HK,9513,1,19990413,allocated
apnic,HK,9516,1,20210202,allocated
apnic,HK,9520,1,19990512,allocated
apnic,HK,9536,1,19990520,allocated
apnic,HK,9542,1,20160726,allocated
apnic,HK,9554,1,20160523,allocated
apnic,HK,9581,2,19990723,allocated
apnic,HK,9584,1,19990727,allocated
apnic,HK,9586,1,19990802,allocated
apnic,HK,9589,1,19990805,allocated
apnic,HK,9590,1,19990805,allocated
apnic,HK,9660,1,19990906,allocated
apnic,HK,9665,1,19990916,allocated
apnic,HK,9726,1,19991102,allocated
apnic,HK,9729,1,19991108,allocated
apnic,HK,9732,1,19991117,allocated
apnic,HK,9735,1,20070403,allocated
apnic,HK,9740,1,19991125,allocated
apnic,HK,9744,1,20080303,allocated
apnic,HK,9793,1,19991229,allocated
apnic,HK,9826,1,20000114,allocated
apnic,HK,9828,1,20000119,allocated
apnic,HK,9886,1,20190916,allocated
apnic,HK,9899,1,20000308,allocated
apnic,HK,9906,1,20000317,allocated
apnic,HK,9908,1,20000317,allocated
apnic,HK,9914,1,20000324,allocated
apnic,HK,9925,1,20000328,allocated
apnic,HK,10032,1,20000615,allocated
apnic,HK,10087,1,20000628,allocated
apnic,HK,10098,1,20071024,allocated
apnic,HK,10099,1,20000706,allocated
apnic,HK,10103,1,20000710,allocated
apnic,HK,10108,1,20011103,allocated
apnic,HK,10116,1,20000725,allocated
apnic,HK,10118,1,20000727,allocated
apnic,HK,10127,1,20011120,allocated
apnic,HK,10132,1,20000807,allocated
apnic,HK,10136,1,20110722,allocated
apnic,HK,10138,1,20000815,allocated
apnic,HK,10147,1,20000824,allocated
apnic,HK,10202,1,20100506,allocated
apnic,HK,10205,1,20000908,allocated
apnic,HK,10222,1,20161024,allocated
apnic,HK,10228,1,20001005,allocated
apnic,HK,10231,1,20001009,allocated
apnic,HK,10232,1,20001009,allocated
apnic,HK,10236,1,20190204,allocated
apnic,HK,10238,1,20001010,allocated
ripencc,HK,13006,1,20150921,allocated
apnic,HK,17424,1,20001016,allocated
apnic,HK,17433,1,20240223,allocated
apnic,HK,17444,1,20001031,allocated
apnic,HK,17449,1,20001103,allocated
apnic,HK,17476,1,20240315,allocated
apnic,HK,17485,1,20001127,allocated
apnic,HK,17487,1,20001128,allocated
apnic,HK,17497,1,20181023,allocated
apnic,HK,17500,1,20001212,allocated
apnic,HK,17537,1,20001213,allocated
apnic,HK,17540,1,20001215,allocated
apnic,HK,17554,1,20010105,allocated
apnic,HK,17555,1,20020430,allocated
apnic,HK,17561,1,20240606,allocated
apnic,HK,17619,1,20010118,allocated
