Registry,Country,ASN,Value,Date,Status
lacnic,HN,4914,1,19950504,allocated
lacnic,HN,7727,1,19961220,allocated
lacnic,HN,22869,1,20011207,allocated
lacnic,HN,23383,1,20020311,allocated
lacnic,HN,26612,1,20050114,allocated
lacnic,HN,27696,1,20030521,allocated
lacnic,HN,27729,1,20040906,allocated
lacnic,HN,27793,1,20051103,allocated
lacnic,HN,27804,1,20060125,allocated
lacnic,HN,27884,1,20070308,allocated
lacnic,HN,27912,1,20070713,allocated
lacnic,HN,27920,1,20070817,allocated
lacnic,HN,27923,1,20070820,allocated
lacnic,HN,27932,1,20070927,allocated
lacnic,HN,27966,1,20080407,allocated
lacnic,HN,28055,1,20090424,allocated
lacnic,HN,28084,1,20090922,allocated
lacnic,HN,28088,1,20091013,allocated
lacnic,HN,52262,1,20100629,allocated
lacnic,HN,52287,1,20101014,allocated
lacnic,HN,52390,1,20120822,allocated
lacnic,HN,52393,1,20120829,allocated
lacnic,HN,52422,1,20121112,allocated
lacnic,HN,52485,1,20130610,allocated
lacnic,HN,64150,1,20230517,allocated
ripencc,HN,214172,1,20240918,allocated
lacnic,HN,262146,1,20101020,allocated
lacnic,HN,262205,1,20120320,allocated
lacnic,HN,262234,1,20130613,allocated
lacnic,HN,262262,1,20130909,allocated
lacnic,HN,263170,1,20130812,allocated
lacnic,HN,263179,1,20130924,allocated
lacnic,HN,263193,1,20131122,allocated
lacnic,HN,263234,1,20140512,allocated
lacnic,HN,263239,1,20140526,allocated
lacnic,HN,263686,1,20140924,allocated
lacnic,HN,263690,1,20141003,allocated
lacnic,HN,263694,1,20141020,allocated
lacnic,HN,263725,1,20150127,allocated
lacnic,HN,263735,1,20150311,allocated
lacnic,HN,263740,1,20150316,allocated
lacnic,HN,263744,1,20150320,allocated
lacnic,HN,263794,1,20150707,allocated
lacnic,HN,263821,1,20150814,allocated
lacnic,HN,263829,1,20150827,allocated
lacnic,HN,264655,1,20151230,allocated
lacnic,HN,264658,1,20160108,allocated
lacnic,HN,264661,1,20160112,allocated
lacnic,HN,264696,1,20160425,allocated
lacnic,HN,264719,1,20161221,allocated
lacnic,HN,264773,1,20160913,allocated
lacnic,HN,264812,1,20161116,allocated
lacnic,HN,264819,1,20161128,allocated
lacnic,HN,264847,1,20161229,allocated
lacnic,HN,264850,1,20170102,allocated
lacnic,HN,265631,1,20170124,allocated
lacnic,HN,265645,1,20170206,allocated
lacnic,HN,265665,1,20170307,allocated
lacnic,HN,265671,1,20170309,allocated
lacnic,HN,265680,1,20170317,allocated
lacnic,HN,265706,1,20170421,allocated
lacnic,HN,265735,1,20170601,allocated
lacnic,HN,265753,1,20170623,allocated
lacnic,HN,265767,1,20170710,allocated
lacnic,HN,265770,1,20170712,allocated
lacnic,HN,265788,1,20170810,allocated
lacnic,HN,265820,1,20170914,allocated
lacnic,HN,265827,1,20170926,allocated
lacnic,HN,265849,1,20171019,allocated
lacnic,HN,265850,1,20171019,allocated
lacnic,HN,266820,1,20180606,allocated
lacnic,HN,266827,1,20180613,allocated
lacnic,HN,266842,1,20220121,allocated
lacnic,HN,266865,1,20180726,allocated
lacnic,HN,267737,1,20181207,allocated
lacnic,HN,267739,1,20181211,allocated
lacnic,HN,267760,1,20190125,allocated
lacnic,HN,267761,1,20190125,allocated
lacnic,HN,267803,1,20190320,allocated
lacnic,HN,269729,1,20190723,allocated
lacnic,HN,269780,1,20190916,allocated
lacnic,HN,269800,1,20191003,allocated
lacnic,HN,269866,1,20191205,allocated
lacnic,HN,269869,1,20191210,allocated
lacnic,HN,269880,1,20191219,allocated
lacnic,HN,269919,1,20200124,allocated
lacnic,HN,269934,1,20200207,allocated
lacnic,HN,269940,1,20200217,allocated
lacnic,HN,269960,1,20200303,allocated
lacnic,HN,269962,1,20200306,allocated
lacnic,HN,269973,1,20200317,allocated
lacnic,HN,271781,1,20200903,allocated
lacnic,HN,271971,1,20210830,allocated
lacnic,HN,271981,1,20210917,allocated
lacnic,HN,272009,1,20211103,allocated
lacnic,HN,272056,1,20220119,allocated
lacnic,HN,272825,1,20220720,allocated
lacnic,HN,272916,1,20221121,allocated
lacnic,HN,272991,1,20230428,allocated
lacnic,HN,273054,1,20230810,allocated
lacnic,HN,273160,1,20240116,allocated
lacnic,HN,273189,1,20240226,allocated
lacnic,HN,273241,1,20240505,allocated
lacnic,HN,273887,1,20240726,allocated
lacnic,HN,273916,1,20240829,allocated
lacnic,HN,273919,1,20240904,allocated
lacnic,HN,273972,1,20241105,allocated
lacnic,HN,273980,1,20241111,allocated
lacnic,HN,274023,1,20250114,allocated
lacnic,HN,274067,1,20250310,allocated
lacnic,HN,274074,1,20250319,allocated
lacnic,HN,274085,1,20250408,allocated
lacnic,HN,274086,1,20250409,allocated
lacnic,HN,274112,1,20250508,allocated
lacnic,HN,274120,1,20250519,allocated
lacnic,HN,274125,1,20250529,allocated
