Registry,Country,ASN,Value,Date,Status
ripencc,HR,1886,1,20100226,allocated
ripencc,HR,2108,1,19921106,allocated
ripencc,HR,5391,1,19950804,allocated
ripencc,HR,5620,1,20070201,allocated
ripencc,HR,6794,1,19961016,allocated
ripencc,HR,12417,1,20120910,allocated
ripencc,HR,12810,1,19991118,allocated
ripencc,HR,13046,1,20000229,allocated
ripencc,HR,15719,1,20150902,allocated
ripencc,HR,15994,1,20001121,allocated
ripencc,HR,16163,1,20110426,allocated
ripencc,HR,21323,1,20011031,allocated
ripencc,HR,25045,1,20020708,allocated
ripencc,HR,25277,1,20020920,allocated
ripencc,HR,25328,1,20021007,allocated
ripencc,HR,25365,1,20021021,allocated
ripencc,HR,25528,1,20021224,allocated
ripencc,HR,28766,1,20030219,allocated
ripencc,HR,28837,1,20030311,allocated
ripencc,HR,28862,1,20030320,allocated
ripencc,HR,29485,1,20030923,allocated
ripencc,HR,29647,1,20031030,allocated
ripencc,HR,30841,1,20031218,allocated
ripencc,HR,30905,1,20040112,allocated
ripencc,HR,31012,1,20040204,allocated
ripencc,HR,31215,1,20091103,allocated
ripencc,HR,34362,1,20041223,allocated
ripencc,HR,34463,1,20050125,allocated
ripencc,HR,34519,1,20050414,allocated
ripencc,HR,34522,1,20050207,allocated
ripencc,HR,34540,1,20050209,allocated
ripencc,HR,34594,1,20050221,allocated
ripencc,HR,34748,1,20050329,allocated
ripencc,HR,35128,1,20050608,allocated
ripencc,HR,35225,1,20050627,allocated
ripencc,HR,35416,1,20050803,allocated
ripencc,HR,35549,1,20050902,allocated
ripencc,HR,35648,1,20050923,allocated
ripencc,HR,38937,1,20051115,allocated
ripencc,HR,39416,1,20171215,allocated
ripencc,HR,41121,1,20150227,allocated
ripencc,HR,41336,1,20060726,allocated
ripencc,HR,41452,1,20060823,allocated
ripencc,HR,41454,1,20060823,allocated
ripencc,HR,42488,1,20070302,allocated
ripencc,HR,42593,1,20170420,allocated
ripencc,HR,42679,1,20070330,allocated
ripencc,HR,42937,1,20190613,allocated
ripencc,HR,43023,1,20170222,allocated
ripencc,HR,43083,1,20070604,allocated
ripencc,HR,43394,1,20070724,allocated
ripencc,HR,43540,1,20070820,allocated
ripencc,HR,43804,1,20071002,allocated
ripencc,HR,43823,1,20190816,allocated
ripencc,HR,43953,1,20071025,allocated
ripencc,HR,44260,1,20161118,allocated
ripencc,HR,44306,1,20071221,allocated
ripencc,HR,44325,1,20071224,allocated
ripencc,HR,44330,1,20170725,allocated
ripencc,HR,44377,1,20080109,allocated
ripencc,HR,44475,1,20181231,allocated
