Registry,Country,ASN,Value,Date,Status
lacnic,HT,10824,1,19971208,allocated
lacnic,HT,27653,1,20041021,allocated
lacnic,HT,27759,1,20050304,allocated
lacnic,HT,27774,1,20050622,allocated
lacnic,HT,27777,1,20050630,allocated
lacnic,HT,28056,1,20090429,allocated
lacnic,HT,52260,1,20100624,allocated
lacnic,HT,52297,1,20101118,allocated
lacnic,HT,52382,1,20120719,allocated
lacnic,HT,263685,1,20140922,allocated
lacnic,HT,264616,1,20170117,allocated
lacnic,HT,264828,1,20161208,allocated
lacnic,HT,271897,1,20210331,allocated
