Registry,Country,ASN,Value,Date,Status
ripencc,HU,1955,1,19930901,allocated
ripencc,HU,2012,1,19930901,allocated
ripencc,HU,2547,1,19930901,allocated
ripencc,HU,3219,1,19940502,allocated
ripencc,HU,3244,1,19940729,allocated
ripencc,HU,3314,1,19950210,allocated
ripencc,HU,3338,1,19950328,allocated
ripencc,HU,3340,1,19950331,allocated
ripencc,HU,5483,1,19951205,allocated
ripencc,HU,5507,1,19951228,allocated
ripencc,HU,5513,1,19960108,allocated
ripencc,HU,5565,1,19960305,allocated
ripencc,HU,5594,1,20070418,allocated
ripencc,HU,6711,1,19960715,allocated
ripencc,HU,6784,1,19961008,allocated
ripencc,HU,6790,1,19961014,allocated
ripencc,HU,8229,1,19970305,allocated
ripencc,HU,8294,1,19970428,allocated
ripencc,HU,8358,1,19970625,allocated
ripencc,HU,8448,1,19970827,allocated
ripencc,HU,8462,1,19970905,allocated
ripencc,HU,8536,1,19971111,allocated
ripencc,HU,8579,1,19971212,allocated
ripencc,HU,8696,1,19980304,allocated
ripencc,HU,8990,1,19980928,allocated
ripencc,HU,12301,1,19990225,allocated
ripencc,HU,12303,1,20050614,allocated
ripencc,HU,12589,1,19990809,allocated
ripencc,HU,12594,1,19990813,allocated
ripencc,HU,12673,1,19990923,allocated
ripencc,HU,15410,1,20000622,allocated
ripencc,HU,15545,1,20000801,allocated
ripencc,HU,15555,1,20000803,allocated
ripencc,HU,15566,1,20000804,allocated
ripencc,HU,15629,1,20000828,allocated
ripencc,HU,15985,1,20010731,allocated
ripencc,HU,16015,1,20001124,allocated
ripencc,HU,16280,1,20020304,allocated
ripencc,HU,20510,1,20010316,allocated
ripencc,HU,20523,1,20010322,allocated
ripencc,HU,20568,1,20010404,allocated
ripencc,HU,20624,1,20010420,allocated
ripencc,HU,20742,1,20010516,allocated
ripencc,HU,20845,1,20010615,allocated
ripencc,HU,20922,1,20080408,allocated
ripencc,HU,21146,1,20010910,allocated
ripencc,HU,21209,1,20010928,allocated
ripencc,HU,21229,1,20011002,allocated
ripencc,HU,21334,1,20011102,allocated
ripencc,HU,24686,1,20020218,allocated
ripencc,HU,24690,1,20020221,allocated
ripencc,HU,24794,1,20020402,allocated
ripencc,HU,24822,1,20020411,allocated
ripencc,HU,24991,1,20020618,allocated
ripencc,HU,25274,1,20150622,allocated
ripencc,HU,25539,1,20021227,allocated
ripencc,HU,28728,1,20030211,allocated
ripencc,HU,28794,1,20030225,allocated
ripencc,HU,28924,1,20030408,allocated
ripencc,HU,29278,1,20030718,allocated
ripencc,HU,29657,1,20031104,allocated
ripencc,HU,30723,1,20031117,allocated
ripencc,HU,30836,1,20031217,allocated
ripencc,HU,30904,1,20040112,allocated
ripencc,HU,30917,1,20040115,allocated
ripencc,HU,30942,1,20040123,allocated
ripencc,HU,31297,1,20090807,allocated
ripencc,HU,31581,1,20040615,allocated
ripencc,HU,33947,1,20040914,allocated
ripencc,HU,33959,1,20040915,allocated
ripencc,HU,34059,1,20041012,allocated
ripencc,HU,34262,1,20041202,allocated
ripencc,HU,34489,1,20050131,allocated
ripencc,HU,34563,1,20050215,allocated
ripencc,HU,34588,1,20050218,allocated
ripencc,HU,35190,1,20050620,allocated
ripencc,HU,35263,1,20050705,allocated
ripencc,HU,35311,1,20050713,allocated
ripencc,HU,35740,1,20051014,allocated
