Registry,Country,ASN,Value,Date,Status
apnic,ID,3382,1,20020801,allocated
apnic,ID,3583,1,20020801,allocated
apnic,ID,4382,1,20020801,allocated
apnic,ID,4434,1,20020801,allocated
apnic,ID,4622,1,19941221,allocated
apnic,ID,4761,1,19960716,allocated
apnic,ID,4787,1,19961015,allocated
apnic,ID,4796,1,19961106,allocated
apnic,ID,4800,1,19961225,allocated
apnic,ID,4821,1,20011211,allocated
apnic,ID,4832,2,20010613,allocated
apnic,ID,4855,1,19961203,allocated
apnic,ID,7543,1,19970422,allocated
apnic,ID,7587,1,19970701,allocated
apnic,ID,7597,1,19970717,allocated
apnic,ID,7632,1,20011204,allocated
apnic,ID,7713,1,19980106,allocated
apnic,ID,7717,1,20050907,allocated
apnic,ID,9228,1,20000515,allocated
apnic,ID,9235,1,20241223,allocated
apnic,ID,9251,1,20000601,allocated
apnic,ID,9326,1,19980609,allocated
apnic,ID,9340,1,19980730,allocated
apnic,ID,9341,1,20020911,allocated
apnic,ID,9422,1,20110708,allocated
apnic,ID,9448,1,19981124,allocated
apnic,ID,9462,1,20011203,allocated
apnic,ID,9657,1,19990903,allocated
apnic,ID,9785,1,20021001,allocated
apnic,ID,9791,1,19991220,allocated
apnic,ID,9794,1,19991229,allocated
apnic,ID,9875,1,20000211,allocated
apnic,ID,9905,1,20000316,allocated
apnic,ID,10114,1,20000724,allocated
apnic,ID,10137,1,20000815,allocated
apnic,ID,10208,1,20000913,allocated
apnic,ID,10217,1,20000927,allocated
apnic,ID,10220,1,20011004,allocated
apnic,ID,17440,1,20001030,allocated
apnic,ID,17450,1,20001106,allocated
apnic,ID,17451,1,20001107,allocated
apnic,ID,17454,1,20070405,allocated
apnic,ID,17538,1,20001214,allocated
apnic,ID,17553,1,20100324,allocated
apnic,ID,17658,1,20010309,allocated
apnic,ID,17670,2,20010320,allocated
apnic,ID,17725,1,20010412,allocated
apnic,ID,17727,1,20010417,allocated
apnic,ID,17769,1,20010531,allocated
apnic,ID,17800,1,20011004,allocated
apnic,ID,17817,1,20010711,allocated
apnic,ID,17826,1,20011019,allocated
apnic,ID,17884,1,20010725,allocated
apnic,ID,17885,1,20011030,allocated
apnic,ID,17910,1,20010816,allocated
apnic,ID,17922,1,20010831,allocated
apnic,ID,17974,1,20011008,allocated
apnic,ID,17995,1,20021118,allocated
apnic,ID,17996,1,20020215,allocated
apnic,ID,18004,1,20020220,allocated
apnic,ID,18007,1,20071114,allocated
apnic,ID,18051,1,20080108,allocated
apnic,ID,18052,1,20011114,allocated
apnic,ID,18056,1,20011119,allocated
apnic,ID,18059,1,20011128,allocated
apnic,ID,18103,1,20020123,allocated
apnic,ID,18112,1,20020205,allocated
apnic,ID,18153,1,20020325,allocated
apnic,ID,18156,1,20020402,allocated
apnic,ID,18189,1,20020415,allocated
apnic,ID,18237,1,20020614,allocated
apnic,ID,18251,1,20020619,allocated
apnic,ID,18347,1,20020716,allocated
apnic,ID,18351,1,20080707,allocated
apnic,ID,18355,1,20091002,allocated
apnic,ID,18364,1,20020809,allocated
apnic,ID,18365,1,20020813,allocated
apnic,ID,18379,1,20020830,allocated
apnic,ID,18393,2,20021029,allocated
apnic,ID,23651,1,20030217,allocated
apnic,ID,23666,1,20030311,allocated
apnic,ID,23671,1,20030313,allocated
apnic,ID,23679,1,20030319,allocated
apnic,ID,23691,10,20030328,allocated
apnic,ID,23756,1,20030527,allocated
apnic,ID,23861,1,20141009,allocated
apnic,ID,23945,10,20031103,allocated
apnic,ID,24048,1,20040408,allocated
apnic,ID,24057,1,20040422,allocated
apnic,ID,24180,1,20051024,allocated
apnic,ID,24194,20,20040826,allocated
apnic,ID,24225,1,20160629,allocated
apnic,ID,24518,20,20060112,allocated
apnic,ID,24538,1,20060113,allocated
apnic,ID,38060,1,20060613,allocated
apnic,ID,38141,25,20060712,allocated
apnic,ID,38171,1,20060714,allocated
apnic,ID,38202,1,20100618,allocated
apnic,ID,38211,1,20060830,allocated
apnic,ID,38274,1,20061102,allocated
apnic,ID,38320,1,20061229,allocated
apnic,ID,38331,1,20070124,allocated
apnic,ID,38482,1,20070316,allocated
apnic,ID,38494,1,20070326,allocated
apnic,ID,38496,32,20070328,allocated
apnic,ID,38567,1,20070517,allocated
apnic,ID,38569,1,20070518,allocated
apnic,ID,38750,40,20070928,allocated
apnic,ID,38896,1,20080208,allocated
ripencc,ID,44817,1,20231106,allocated
ripencc,ID,44822,1,20231106,allocated
apnic,ID,45146,2,20080313,allocated
apnic,ID,45239,1,20080623,allocated
apnic,ID,45286,40,20080728,allocated
apnic,ID,45493,1,20081023,allocated
apnic,ID,45658,1,20090319,allocated
apnic,ID,45696,5,20090406,allocated
apnic,ID,45701,1,20090406,allocated
apnic,ID,45702,34,20090406,allocated
apnic,ID,45770,1,20090507,allocated
apnic,ID,45786,1,20100514,allocated
apnic,ID,46016,50,20091112,allocated
ripencc,ID,47311,1,20230920,allocated
ripencc,ID,50104,1,20230117,allocated
apnic,ID,55652,50,20100804,allocated
apnic,ID,55794,1,20100930,allocated
apnic,ID,55818,1,20101018,allocated
apnic,ID,56060,1,20110131,allocated
apnic,ID,56088,1,20110214,allocated
apnic,ID,56232,30,20110503,allocated
apnic,ID,56306,1,20110615,allocated
apnic,ID,56868,1,20220325,allocated
apnic,ID,58369,1,20110812,allocated
apnic,ID,58375,30,20110818,allocated
apnic,ID,58425,1,20110923,allocated
apnic,ID,58449,1,20111104,allocated
apnic,ID,58452,1,20111115,allocated
apnic,ID,58463,1,20111202,allocated
apnic,ID,58474,13,20111221,allocated
apnic,ID,58487,1,20111221,allocated
apnic,ID,58488,16,20111221,allocated
apnic,ID,58514,1,20120125,allocated
apnic,ID,58549,10,20120313,allocated
apnic,ID,58815,1,20130227,allocated
apnic,ID,58816,10,20130301,allocated
apnic,ID,58961,1,20130719,allocated
apnic,ID,59131,30,20130909,allocated
apnic,ID,59271,20,20140205,allocated
apnic,ID,63488,30,20140523,allocated
apnic,ID,63827,1,20141001,allocated
apnic,ID,63858,30,20141118,allocated
apnic,ID,63941,1,20150209,allocated
apnic,ID,64020,1,20150825,allocated
apnic,ID,64023,10,20150909,allocated
apnic,ID,64297,20,20160823,allocated
apnic,ID,131111,10,20080729,allocated
apnic,ID,131205,1,20140825,allocated
apnic,ID,131237,1,20161107,allocated
apnic,ID,131687,100,20110725,allocated
apnic,ID,132105,1,20111223,allocated
apnic,ID,132164,1,20120227,allocated
apnic,ID,132628,1,20170504,allocated
apnic,ID,132629,50,20130301,allocated
apnic,ID,133062,1,20240905,allocated
apnic,ID,133166,1,20131119,allocated
apnic,ID,133207,1,20160919,allocated
apnic,ID,133335,30,20140205,allocated
apnic,ID,133520,1,20250605,allocated
apnic,ID,133579,1,20250725,allocated
apnic,ID,133637,1,20250123,allocated
apnic,ID,133796,10,20141118,allocated
apnic,ID,133806,1,20141118,allocated
apnic,ID,133807,39,20141118,allocated
apnic,ID,134127,1,20250724,allocated
apnic,ID,134129,1,20250619,allocated
apnic,ID,134451,1,20150807,allocated
apnic,ID,134462,1,20201216,allocated
apnic,ID,134493,1,20201230,allocated
apnic,ID,134516,1,20200228,allocated
apnic,ID,134526,1,20250618,allocated
apnic,ID,134612,50,20150904,allocated
apnic,ID,135167,1,20250618,allocated
apnic,ID,135360,1,20160419,allocated
apnic,ID,135370,1,20160422,allocated
apnic,ID,135414,1,20220310,allocated
apnic,ID,135438,1,20250724,allocated
apnic,ID,135439,50,20160519,allocated
apnic,ID,135636,1,20161017,allocated
apnic,ID,135648,1,20240315,allocated
apnic,ID,135649,1,20250123,allocated
apnic,ID,135659,1,20250123,allocated
apnic,ID,136002,1,20161117,allocated
apnic,ID,136052,80,20161205,allocated
apnic,ID,136170,1,20170104,allocated
apnic,ID,136221,1,20170120,allocated
apnic,ID,136401,1,20170223,allocated
apnic,ID,136445,1,20250519,allocated
apnic,ID,136453,1,20250520,allocated
apnic,ID,136516,1,20250616,allocated
apnic,ID,136820,70,20170724,allocated
apnic,ID,137002,1,20171003,allocated
apnic,ID,137019,1,20181012,allocated
apnic,ID,137053,1,20220914,allocated
apnic,ID,137285,100,20180103,allocated
apnic,ID,137428,1,20250724,allocated
apnic,ID,137832,1,20180514,allocated
apnic,ID,137909,1,20250228,allocated
apnic,ID,138045,100,20180814,allocated
apnic,ID,138428,1,20181114,allocated
apnic,ID,138517,1,20250421,allocated
apnic,ID,138533,1,20190102,allocated
apnic,ID,138598,1,20190204,allocated
apnic,ID,138802,100,20190221,allocated
apnic,ID,138932,1,20250619,allocated
apnic,ID,139328,1,20250716,allocated
apnic,ID,139361,100,20190731,allocated
apnic,ID,139676,1,20190924,allocated
apnic,ID,139693,1,20250228,allocated
apnic,ID,139932,100,20191213,allocated
apnic,ID,140101,1,20250520,allocated
apnic,ID,140383,100,20200327,allocated
apnic,ID,140940,1,20200722,allocated
apnic,ID,141048,100,20200901,allocated
apnic,ID,141350,1,20250124,allocated
apnic,ID,141461,1,20201209,allocated
apnic,ID,141576,100,20201218,allocated
apnic,ID,141887,100,20210308,allocated
apnic,ID,142303,100,20210601,allocated
apnic,ID,147072,100,20210917,allocated
apnic,ID,149176,1,20211208,allocated
apnic,ID,149314,100,20211229,allocated
apnic,ID,149661,100,20220330,allocated
apnic,ID,149877,100,20220616,allocated
apnic,ID,150185,100,20220829,allocated
apnic,ID,150346,1,20221004,allocated
apnic,ID,150460,100,20221201,allocated
apnic,ID,150690,1,20250630,allocated
apnic,ID,150913,100,20230224,allocated
apnic,ID,151043,1,20250429,allocated
apnic,ID,151502,100,20230707,allocated
apnic,ID,151991,100,20231020,allocated
apnic,ID,152344,100,20240124,allocated
apnic,ID,152743,100,20240508,allocated
apnic,ID,153052,1,20250714,allocated
apnic,ID,153059,100,20240705,allocated
apnic,ID,153176,1,20240725,allocated
apnic,ID,153317,1,20240906,allocated
apnic,ID,153327,1,20240911,allocated
apnic,ID,153382,1,20241028,allocated
apnic,ID,153479,3,20250103,allocated
apnic,ID,153484,3,20250105,allocated
apnic,ID,153488,1,20250106,allocated
apnic,ID,153492,1,20250108,allocated
apnic,ID,153511,1,20250110,allocated
apnic,ID,153514,2,20250109,allocated
apnic,ID,153519,2,20250110,allocated
apnic,ID,153521,1,20250120,allocated
apnic,ID,153524,1,20250120,allocated
apnic,ID,153538,1,20250122,allocated
apnic,ID,153546,1,20250122,allocated
apnic,ID,153552,1,20250122,allocated
apnic,ID,153553,3,20250124,allocated
apnic,ID,153559,1,20250130,allocated
apnic,ID,153565,1,20250130,allocated
apnic,ID,153570,1,20250130,allocated
apnic,ID,153572,1,20250204,allocated
apnic,ID,153573,1,20250205,allocated
apnic,ID,153575,6,20250207,allocated
apnic,ID,153582,3,20250210,allocated
apnic,ID,153600,2,20250213,allocated
apnic,ID,153607,1,20250216,allocated
apnic,ID,153608,2,20250217,allocated
apnic,ID,153615,1,20250218,allocated
apnic,ID,153618,1,20250218,allocated
apnic,ID,153636,1,20250226,allocated
apnic,ID,153639,1,20250228,allocated
apnic,ID,153646,1,20250304,allocated
apnic,ID,153658,1,20250305,allocated
apnic,ID,153664,3,20250306,allocated
apnic,ID,153670,1,20250307,allocated
apnic,ID,153673,1,20250307,allocated
apnic,ID,153682,1,20250310,allocated
apnic,ID,153690,1,20250311,allocated
apnic,ID,153693,1,20250312,allocated
apnic,ID,153697,1,20250314,allocated
apnic,ID,153699,1,20250317,allocated
apnic,ID,153707,1,20250318,allocated
apnic,ID,153716,1,20250320,allocated
apnic,ID,153717,2,20250320,allocated
apnic,ID,153727,2,20250321,allocated
apnic,ID,153729,1,20250324,allocated
apnic,ID,153745,1,20250328,allocated
apnic,ID,153767,3,20250409,allocated
apnic,ID,153774,1,20250410,allocated
apnic,ID,153796,2,20250417,allocated
apnic,ID,153801,7,20250421,allocated
apnic,ID,153815,1,20250423,allocated
apnic,ID,153816,3,20250424,allocated
apnic,ID,153820,1,20250425,allocated
apnic,ID,153822,4,20250425,allocated
