Registry,Country,ASN,Value,Date,Status
ripencc,IE,1197,1,20101118,allocated
ripencc,IE,1213,1,19920617,allocated
ripencc,IE,2110,1,19921118,allocated
ripencc,IE,2128,1,19930322,allocated
ripencc,IE,2647,1,19930901,allocated
ripencc,IE,2850,1,19931214,allocated
ripencc,IE,3286,1,19941222,allocated
ripencc,IE,5466,1,19951115,allocated
ripencc,IE,6812,1,20151022,allocated
ripencc,IE,8918,1,19980805,allocated
ripencc,IE,8987,1,19980924,allocated
ripencc,IE,9055,1,19981110,allocated
ripencc,IE,9059,1,19981113,allocated
ripencc,IE,12372,1,20150930,allocated
ripencc,IE,12388,1,19990423,allocated
ripencc,IE,12415,1,19990510,allocated
ripencc,IE,13280,1,20000523,allocated
ripencc,IE,15405,1,20080528,allocated
ripencc,IE,15502,1,20000718,allocated
ripencc,IE,15612,1,20000822,allocated
ripencc,IE,15751,1,20001004,allocated
ripencc,IE,15806,1,20050712,allocated
ripencc,IE,16171,1,20010111,allocated
ripencc,IE,16282,1,20010216,allocated
ripencc,IE,24622,1,20150715,allocated
ripencc,IE,24675,1,20020214,allocated
ripencc,IE,24784,1,20020327,allocated
ripencc,IE,25441,1,20021122,allocated
ripencc,IE,28867,1,20030324,allocated
ripencc,IE,29644,1,20031030,allocated
ripencc,IE,29650,1,20031031,allocated
ripencc,IE,30864,1,20031223,allocated
ripencc,IE,30900,1,20040108,allocated
ripencc,IE,31122,1,20040303,allocated
ripencc,IE,31128,1,20050222,allocated
ripencc,IE,31411,1,20040510,allocated
ripencc,IE,31458,1,20040524,allocated
ripencc,IE,34218,1,20041122,allocated
ripencc,IE,34245,1,20041126,allocated
ripencc,IE,34778,1,20050404,allocated
ripencc,IE,34815,1,20050408,allocated
ripencc,IE,34912,1,20050427,allocated
ripencc,IE,35068,1,20050526,allocated
ripencc,IE,35226,1,20050627,allocated
ripencc,IE,35262,1,20050705,allocated
ripencc,IE,35289,1,20050711,allocated
ripencc,IE,35424,1,20190222,allocated
ripencc,IE,39093,1,20051212,allocated
ripencc,IE,39111,1,20051214,allocated
ripencc,IE,39122,1,20051216,allocated
ripencc,IE,39157,1,20051223,allocated
ripencc,IE,39319,1,20090126,allocated
ripencc,IE,39449,1,20060224,allocated
ripencc,IE,39485,1,20180525,allocated
ripencc,IE,39849,1,20060503,allocated
ripencc,IE,41073,1,20060608,allocated
ripencc,IE,41214,1,20060704,allocated
ripencc,IE,41238,1,20170821,allocated
ripencc,IE,41602,1,20120913,allocated
ripencc,IE,41607,1,20060922,allocated
ripencc,IE,41680,1,20061006,allocated
ripencc,IE,41736,1,20061017,allocated
ripencc,IE,41883,1,20061108,allocated
ripencc,IE,41973,1,20061124,allocated
ripencc,IE,42090,1,20061215,allocated
ripencc,IE,42213,1,20170602,allocated
ripencc,IE,42227,1,20070117,allocated
ripencc,IE,42310,1,20070131,allocated
ripencc,IE,42326,1,20181212,allocated
ripencc,IE,42342,1,20070206,allocated
ripencc,IE,42953,1,20170228,allocated
ripencc,IE,43192,1,20070621,allocated
ripencc,IE,43406,1,20070726,allocated
ripencc,IE,43484,1,20070808,allocated
ripencc,IE,43515,1,20070815,allocated
ripencc,IE,43760,1,20070925,allocated
ripencc,IE,43984,1,20071030,allocated
ripencc,IE,44196,1,20071203,allocated
ripencc,IE,44212,1,20071204,allocated
ripencc,IE,44348,1,20161115,allocated
ripencc,IE,44384,1,20080114,allocated
ripencc,IE,44451,1,20080122,allocated
ripencc,IE,44786,1,20080311,allocated
ripencc,IE,44815,1,20080314,allocated
ripencc,IE,47115,1,20200225,allocated
ripencc,IE,47417,1,20080616,allocated
ripencc,IE,47443,1,20080620,allocated
ripencc,IE,47446,1,20080620,allocated
ripencc,IE,47490,1,20080625,allocated
ripencc,IE,47680,1,20080731,allocated
ripencc,IE,47720,1,20080807,allocated
ripencc,IE,47870,1,20080909,allocated
ripencc,IE,47931,1,20161024,allocated
ripencc,IE,47941,1,20080918,allocated
ripencc,IE,47942,1,20080919,allocated
ripencc,IE,48150,1,20190705,allocated
ripencc,IE,48255,1,20081030,allocated
ripencc,IE,48305,1,20150224,allocated
ripencc,IE,48342,1,20081114,allocated
ripencc,IE,48406,1,20081121,allocated
ripencc,IE,48970,1,20160217,allocated
ripencc,IE,49221,1,20110426,allocated
ripencc,IE,49406,1,20090603,allocated
ripencc,IE,49416,1,20090604,allocated
